species,compare_window,measure,n,pearson_r_vs_current,pearson_p,spearman_r_vs_current,spearman_p,mean_abs_delta_vs_current
C. elegans,short,EdgeStdFCV,120,0.9692441385014952,1.071106782258359e-73,0.9625390652128618,9.97222778756614e-69,0.10421805385966948
C. elegans,short,FCS,120,0.984666747507974,2.4415583819786433e-91,0.9780609764566982,3.05147759021104e-82,0.004842030428231749
C. elegans,short,ProfileCorrDistFCV,120,0.9857848070301485,2.89469903036606e-93,0.9798388776998401,2.194332988254445e-84,0.1343766108120389
C. elegans,short,FCSHalfLifeWindows,120,-0.05152229054158981,0.5762557131162714,-0.08847836655323284,0.3365655650968721,1.0303138937323701
C. elegans,short,ParticipationFlex,120,0.609240214895633,1.540535681876953e-13,0.5174387110215986,1.4354148052276208e-09,0.006773922595478518
C. elegans,long,EdgeStdFCV,120,0.958124256113435,6.276226227651631e-66,0.9603097437322036,2.8305464972639557e-67,0.0965731570340238
C. elegans,long,FCS,120,0.9934842001371844,3.7078476830185815e-113,0.9892423084936451,2.310451227893451e-100,0.003041691902762764
C. elegans,long,ProfileCorrDistFCV,120,0.9895526047534002,4.145786549697054e-101,0.9862976595596915,3.361055872964323e-94,0.14781644116062
C. elegans,long,FCSHalfLifeWindows,120,0.18755312789465947,0.04023995580425776,0.2563789152024446,0.004706018104768025,2.173949344782604
C. elegans,long,ParticipationFlex,120,0.559105921410277,3.2013962709230144e-11,0.5563650253489824,4.179095943671217e-11,0.00397667693980619
Drosophila,short,EdgeStdFCV,39,0.9829559710258721,8.060482927268145e-29,0.9823886639676113,1.470179449915558e-28,0.10702481513708217
Drosophila,short,FCS,39,0.99864449448724,4.197063229569657e-49,0.9914979757085022,2.2356952556569028e-34,0.010432676184796125
Drosophila,short,ProfileCorrDistFCV,39,0.9955548386551167,1.42507414533772e-39,0.9898785425101214,5.551146231340863e-33,0.0656924201886542
Drosophila,short,FCSHalfLifeWindows,39,0.731291611972036,1.2392061723590297e-07,0.7018218623481782,6.420370516559803e-07,0.39803186472087565
Drosophila,short,ParticipationFlex,39,0.9061252005430359,2.13933829455536e-15,0.8898785425101214,3.559188691164802e-14,0.0022112295454481544
Drosophila,long,EdgeStdFCV,39,0.9847193619148449,1.0846660755947695e-29,0.9848178137651822,9.632094198666409e-30,0.07695732097470617
Drosophila,long,FCS,39,0.9994354652504831,3.874379049129578e-56,0.9983805668016195,1.1254746829586521e-47,0.0057441930551226945
Drosophila,long,ProfileCorrDistFCV,39,0.9985559296145218,1.3524987593851628e-48,0.9969635627530365,1.2495259436371398e-42,0.08206463890045179
Drosophila,long,FCSHalfLifeWindows,39,0.5261634172014782,0.0005808291702931617,0.32408906882591093,0.044138127319556006,0.5683092557752325
Drosophila,long,ParticipationFlex,39,0.9484272411938035,4.73805076826815e-20,0.9479757085020244,5.545877071050322e-20,0.0024467817609731485
Zebrafish,short,EdgeStdFCV,66,0.9564755927479622,6.060423266482237e-36,0.9557039974950424,1.0509290324195611e-35,0.0719939693767273
Zebrafish,short,FCS,66,0.9949962567804161,9.437416058375052e-66,0.9931113662456947,2.542923706674812e-61,0.02344883652565587
Zebrafish,short,ProfileCorrDistFCV,66,0.9949145711282117,1.5825624361970054e-65,0.9927773718818497,1.1511580802568672e-60,0.09446062245677246
Zebrafish,short,FCSHalfLifeWindows,66,0.37117154927159157,0.002153475647987688,0.36674668614967126,0.0024550092169519514,0.3750141923197804
Zebrafish,short,ParticipationFlex,66,0.719018365360198,1.0498654502145306e-11,0.7171902724141531,1.2517462889519667e-11,0.006251188017970655
Zebrafish,long,EdgeStdFCV,66,0.9824045684971825,2.3311840918164434e-48,0.9780398705771841,2.620214069190333e-45,0.07231764874606159
Zebrafish,long,FCS,66,0.9977150607788257,1.2565485172459643e-76,0.9970775493163554,3.272909387595635e-73,0.018682403407682464
Zebrafish,long,ProfileCorrDistFCV,66,0.9955861125887722,1.7200915543600457e-67,0.9950735831332848,5.740049572672984e-66,0.1178881743139575
Zebrafish,long,FCSHalfLifeWindows,66,0.07067506342088278,0.5728205354515181,0.14965034965034968,0.23040997106148378,2.373418027364744
Zebrafish,long,ParticipationFlex,66,0.7550283777871329,2.416324571486841e-13,0.7333889990606409,2.5067113130712158e-12,0.0035401350731518845
