species,node,EdgeStdFCV,FCS,ProfileCorrDistFCV,FCSHalfLifeWindows,ParticipationFlex,level,window_config,window,step,highpass_hz,root_area_id
C. elegans,ADAL,0.42872501530857526,0.027579394951027205,0.7933363184157333,4.257677506218354,0.01882531020419058,neuron,short,10,4,0.03,
C. elegans,ADAR,0.44026898429681216,0.034699445713137454,0.8773389277779865,3.5172323109729895,0.02183544250991361,neuron,short,10,4,0.03,
C. elegans,ADEL,0.42298383181977606,0.0202875290287078,0.7911304666730032,4.362834692124299,0.020483793079335896,neuron,short,10,4,0.03,
C. elegans,ADER,0.427363924372377,0.00659202596024959,0.8280384747916865,4.201248690115514,0.02048341620418417,neuron,short,10,4,0.03,
C. elegans,ADLL,0.4573807853919479,0.014034205533938249,0.8530001290474527,4.644697564933234,0.019286882515249657,neuron,short,10,4,0.03,
C. elegans,ADLR,0.4533091676744001,0.015158374501976246,0.8065239262711221,4.493273351842172,0.020928769872894097,neuron,short,10,4,0.03,
C. elegans,AIBL,0.4670453453541453,0.021673132575623984,0.5744356348080547,4.459036127131001,0.01939760931400186,neuron,short,10,4,0.03,
C. elegans,AIBR,0.4650780511304435,0.019296834807324435,0.591624223897295,4.102755429033241,0.01859909428072635,neuron,short,10,4,0.03,
C. elegans,AIML,0.46196677807806025,-0.016976851785175506,0.7481195032328172,5.224689709700386,0.016016335426001796,neuron,short,10,4,0.03,
C. elegans,AIMR,0.4608645670225189,0.003262653139703829,0.7242659697072235,4.504377257123976,0.017070143703356647,neuron,short,10,4,0.03,
C. elegans,AINL,0.44746611961225774,0.008898930427344975,0.7748884963718067,4.384125796226626,0.01820012734105683,neuron,short,10,4,0.03,
C. elegans,AINR,0.43233514918954713,0.01901687408315532,0.7457942424190777,4.338122546031119,0.02022751582398059,neuron,short,10,4,0.03,
C. elegans,AIYL,0.4248705585413049,0.013890917664255592,0.7843299300081078,2.826041936302223,0.015024143744807573,neuron,short,10,4,0.03,
C. elegans,AIYR,0.445960986581175,0.003982438861048328,0.7241722031451003,4.091047980842334,0.017406384291004322,neuron,short,10,4,0.03,
C. elegans,AIZL,0.4246280771091884,0.029825084875968133,0.7861240072777989,4.817031442281622,0.018240291251189516,neuron,short,10,4,0.03,
C. elegans,AIZR,0.4187460949220427,0.025046904655767338,0.7926867258230166,4.682079479272783,0.018776628218056916,neuron,short,10,4,0.03,
C. elegans,ALA,0.43438738343917155,0.016015615628252454,0.7918799746380787,4.4810999266106615,0.019007234883479045,neuron,short,10,4,0.03,
C. elegans,AQR,0.4317876997038266,0.012310329158966741,0.711756961422354,3.8702608680547703,0.020673652333019245,neuron,short,10,4,0.03,
C. elegans,ASEL,0.457510814889739,0.011733898956797674,0.7573597528173256,4.299158874843276,0.018398614638552826,neuron,short,10,4,0.03,
C. elegans,ASER,0.4626090594362445,0.018525392439517393,0.8231616927894077,4.755024743742234,0.018751311360754565,neuron,short,10,4,0.03,
C. elegans,ASGL,0.48126024304649334,0.020023532317516204,0.71149447803322,4.180048286290844,0.019097163962971852,neuron,short,10,4,0.03,
C. elegans,ASGR,0.45659151164846296,0.024687754968905417,0.6749228827504111,4.2739861292265005,0.019397654148168693,neuron,short,10,4,0.03,
C. elegans,ASHL,0.46646356330179817,0.035826331388664576,0.7981933338413114,4.5924943920187316,0.018540547397272535,neuron,short,10,4,0.03,
C. elegans,ASIL,0.47518678129550357,0.008249473113209524,0.8506609688230053,4.619346544996956,0.01611600481715795,neuron,short,10,4,0.03,
C. elegans,ASIR,0.4583886284525609,0.00974285380253795,0.8254667938655652,4.462439993328708,0.021583346063814124,neuron,short,10,4,0.03,
C. elegans,ASKL,0.4674395419210709,0.0235060578241531,0.8647373820423915,4.513159580748257,0.01614978593128741,neuron,short,10,4,0.03,
C. elegans,ASKR,0.4507933975075888,0.007666775359296646,0.7987148546994494,5.438340260807055,0.01639726735409826,neuron,short,10,4,0.03,
C. elegans,AUAL,0.4374944374014972,0.004025410070960658,0.6947181453632467,4.390665995452777,0.019148347725524737,neuron,short,10,4,0.03,
C. elegans,AUAR,0.4329238808796397,0.005041026192261792,0.6855326261064686,4.614111800845743,0.02126209895950035,neuron,short,10,4,0.03,
C. elegans,AVAL,0.47457282222242253,0.0007972512253485095,0.593085666312972,4.400423169816429,0.01914976458318787,neuron,short,10,4,0.03,
C. elegans,AVAR,0.4663662358906053,0.0038889428353236746,0.5725745814756047,4.832793619446345,0.0195170647441019,neuron,short,10,4,0.03,
C. elegans,AVBL,0.48235864777260773,0.016669194934013264,0.7114442749879941,5.348475571333199,0.017843279611198457,neuron,short,10,4,0.03,
C. elegans,AVBR,0.42524185512634327,0.005578875311022132,0.620386106044418,4.269285705224057,0.01878538466472059,neuron,short,10,4,0.03,
C. elegans,AVDL,0.41891787195450403,0.01825013899835649,0.7134769957746926,4.043809538952503,0.019762479228148607,neuron,short,10,4,0.03,
C. elegans,AVDR,0.4149317285576224,0.006716433994835177,0.7069455759897316,4.6877200211267835,0.017954991384948073,neuron,short,10,4,0.03,
C. elegans,AVEL,0.47659630608710385,0.009854921542825027,0.5409826815795588,4.486290308454204,0.01843064044138163,neuron,short,10,4,0.03,
C. elegans,AVER,0.4637974936651851,0.0013933545968737879,0.5531933370900488,4.202428503221068,0.018747535746679003,neuron,short,10,4,0.03,
C. elegans,AVHL,0.43534718064608136,0.013263914446265705,0.7917651168399247,4.204257045434878,0.01651515075766821,neuron,short,10,4,0.03,
C. elegans,AVJL,0.42604689452897854,0.016627488783562117,0.7372092404028877,4.26584577589702,0.019095752835629618,neuron,short,10,4,0.03,
C. elegans,AVJR,0.41831187512459644,0.03020233291322764,0.7525682213385562,4.320808542232234,0.01968651797724924,neuron,short,10,4,0.03,
C. elegans,AVKL,0.4654739237704548,-0.020494121599324375,0.7479654036539993,5.315235198061718,0.024959421181843005,neuron,short,10,4,0.03,
