species,window_config,measure,n,pearson_r_vs_fcv,pearson_p,spearman_r_vs_fcv,spearman_p
C. elegans,short,FCS,120,0.10729159412888234,0.24345725402035318,0.06447669977081741,0.4841506059652536
C. elegans,short,ProfileCorrDistFCV,120,-0.45283194051032155,2.069723100886519e-07,-0.46753246753246747,7.296791907994865e-08
C. elegans,short,FCSHalfLifeWindows,120,0.06858921207804908,0.4566526620601756,-0.014653795402458501,0.8737849979260989
C. elegans,short,ParticipationFlex,120,-0.016238600906068032,0.8602667207475052,-0.05621223696090005,0.5419867512581494
Drosophila,short,FCS,39,0.7709580254067709,9.35078181002739e-09,0.6864372469635628,1.4044701602740048e-06
Drosophila,short,ProfileCorrDistFCV,39,-0.8541489523297568,4.7025638596318945e-12,-0.8906882591093118,3.126996029066112e-14
Drosophila,short,FCSHalfLifeWindows,39,0.3441707823245581,0.03191746855996476,0.3384615384615385,0.0350681656128662
Drosophila,short,ParticipationFlex,39,0.7707740334251489,9.4745827788223e-09,0.7004048582995952,6.914397880545832e-07
Zebrafish,short,FCS,66,-0.0945581177387175,0.4501225950430038,-0.16505583968270537,0.18536891435200661
Zebrafish,short,ProfileCorrDistFCV,66,0.03482809404179869,0.7813018738068763,0.1214695752009185,0.33126334134553936
Zebrafish,short,FCSHalfLifeWindows,66,-0.4301119520538856,0.0003128461800226506,-0.39772466339630524,0.0009431613505520136
Zebrafish,short,ParticipationFlex,66,-0.5187055205666075,8.131381066793572e-06,-0.4813902515395053,4.278979176913161e-05
C. elegans,current,FCS,120,0.08742569501086836,0.3423684558926548,0.061386207375512175,0.5053841042102789
C. elegans,current,ProfileCorrDistFCV,120,-0.46335844449811797,9.859607905822207e-08,-0.4951663309952079,8.958703323444093e-09
C. elegans,current,FCSHalfLifeWindows,120,0.017513972234855082,0.8494169838659154,0.012855059379123549,0.8891720675278911
C. elegans,current,ParticipationFlex,120,0.264231213288939,0.0035429335162058895,0.3278491561914021,0.00025679844124858577
Drosophila,current,FCS,39,0.8425095936304573,1.7545542299398965e-11,0.7342105263157895,1.0407452732885235e-07
Drosophila,current,ProfileCorrDistFCV,39,-0.8586238389704264,2.7492707482719806e-12,-0.8799595141700405,1.609024885150652e-13
Drosophila,current,FCSHalfLifeWindows,39,0.15895561709390577,0.3337720050444016,-0.008299595141700407,0.9600065119766708
Drosophila,current,ParticipationFlex,39,0.9180359752959913,1.9269550112422722e-16,0.879757085020243,1.6570229072840434e-13
Zebrafish,current,FCS,66,0.1250368590109001,0.3171516960117483,-0.038221480012524796,0.7606012991570745
Zebrafish,current,ProfileCorrDistFCV,66,-0.1605815977016593,0.19773821022614185,0.04444212503913997,0.7230944069571995
Zebrafish,current,FCSHalfLifeWindows,66,-0.23108005997094425,0.06193133089537382,-0.20425842813902517,0.09995076869427091
Zebrafish,current,ParticipationFlex,66,-0.37671059727620443,0.001822952503321519,-0.33472497651602134,0.006012691793379374
C. elegans,long,FCS,120,0.1092568318253221,0.23488026064320836,0.09789568720050001,0.2874527016977011
C. elegans,long,ProfileCorrDistFCV,120,-0.33333414510952175,0.00019902340346862927,-0.40096534481561213,5.670868711193739e-06
C. elegans,long,FCSHalfLifeWindows,120,0.038438201263910114,0.6768128553034618,0.11981387596360855,0.1924183375427088
C. elegans,long,ParticipationFlex,120,0.1518480966211083,0.09779937851301089,0.09763177998472115,0.28876038768474654
Drosophila,long,FCS,39,0.9020790114260611,4.508960429389741e-15,0.788259109311741,2.564689174040357e-09
Drosophila,long,ProfileCorrDistFCV,39,-0.8672499821030544,9.25862898836113e-13,-0.855263157894737,4.121162779749171e-12
Drosophila,long,FCSHalfLifeWindows,39,0.11034063922952908,0.503684264539939,0.1716599190283401,0.29606059886598246
Drosophila,long,ParticipationFlex,39,0.9290318283095124,1.474281970559845e-17,0.9289473684210527,1.5059901747443124e-17
Zebrafish,long,FCS,66,0.26342600889744516,0.032590138428043904,0.031249347667258117,0.803298057312894
Zebrafish,long,ProfileCorrDistFCV,66,-0.29702992223504443,0.015439159619768331,-0.02043628013777268,0.8706208638661813
Zebrafish,long,FCSHalfLifeWindows,66,0.09456922171856152,0.4500691534209835,0.015217618202692833,0.9034745099107957
Zebrafish,long,ParticipationFlex,66,-0.1422034530066946,0.2547062116955736,-0.19428034651915255,0.118024652280088
