species,node,class_order,class_label,broad_class_order,broad_class_label,fine_class,classification_note
C. elegans,ADAL,4,integrative relay,2,integrative relay,interneuron / integrative,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ADAR,4,integrative relay,2,integrative relay,interneuron / integrative,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ADEL,2,other sensory,0,sensory input,mechanosensory / other sensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ADER,2,other sensory,0,sensory input,mechanosensory / other sensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ADLL,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ADLR,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIBL,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIBR,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIML,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIMR,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AINL,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AINR,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIYL,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIYR,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIZL,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AIZR,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ALA,6,state-dependent / modulatory,4,state-dependent / modulatory,state-modulatory interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AQR,2,other sensory,0,sensory input,thermo/gas sensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASEL,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASER,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASGL,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASGR,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASHL,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASIL,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASIR,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASKL,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,ASKR,0,olfactory / chemosensory,0,sensory input,chemosensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
C. elegans,AUAL,5,associative / learning,3,associative / learning,associative interneuron,Literature-guided species-specific functional mapping for current FCV comparison plot.
