species,unit_type,node,n_edge_values,summary_from_sample,edge_target_dca_mean,edge_target_dca_median,edge_target_dca_q05,edge_target_dca_q25,edge_target_dca_q75,edge_target_dca_q95,edge_target_dca_frac_positive,edge_target_dca_frac_negative,edge_target_dca_weighted_mean,edge_weight_sum,EdgeStdFCV,PostDCA
C. elegans,neuron,AVBL,21,False,-0.028481316706669757,-0.003250824157204,-0.3475908601190945,-0.0074271883097858,0.0181694406675091,0.0372639044041498,0.42857142857142855,0.5714285714285714,-0.13135199334167194,63.0,0.3873349817527458,-0.1313519933416719
C. elegans,neuron,BAGL,19,False,-0.005244161790289353,0.0045425003663694,-0.08375134342786439,-0.01598617282121045,0.02277671439773035,0.0806984608548709,0.5789473684210527,0.42105263157894735,0.030090714340722427,78.0,0.3871291779914279,0.0300907143407224
C. elegans,neuron,ASIL,17,False,0.03221310856769127,0.0100271030810712,-0.019342897145851638,0.0051962142656811,0.0599798831078108,0.14090679640530593,0.8823529411764706,0.11764705882352941,0.03156597016792155,43.0,0.3802040399089336,0.0315659701679215
C. elegans,neuron,RID,8,False,0.0265366973585774,-0.00108400377088455,-0.01637520760853631,-0.005520907421932225,0.0027414653261970496,0.15876705215401293,0.375,0.625,0.010822756926895882,16.0,0.3786347558989021,0.0108227569268958
C. elegans,neuron,AIML,18,False,0.006664600541131877,0.0052842964029961,-0.015528853665447486,3.2786220679675035e-05,0.01659725233447515,0.026172404354281448,0.7222222222222222,0.2777777777777778,0.0033093562078470844,59.0,0.3765584426919707,0.003309356207847
C. elegans,neuron,RIS,25,False,-0.029347954774243755,-0.0059273917601516,-0.18740557057733773,-0.0662653662660051,0.0181694406675091,0.07753802603428461,0.4,0.6,-0.021928778822639633,181.0,0.3748638452544535,-0.0219287788226396
C. elegans,neuron,RMDL,26,False,-0.002428880623637037,-0.00097263377153585,-0.1870192034615193,-0.017947848374420098,0.04984260936482042,0.1254072452323553,0.46153846153846156,0.5384615384615384,0.05939491241775403,95.0,0.3733656436131191,0.059394912417754
C. elegans,neuron,OLQVL,7,False,-0.048854043843316,-0.0032604183071342,-0.29339257214734327,-0.0856193089879282,0.0458539647402523,0.08686441420233146,0.42857142857142855,0.5714285714285714,-0.0640467284785841,36.0,0.3733040284769133,-0.0640467284785841
C. elegans,neuron,RMEL,4,False,0.02337033090798518,0.02514662272751455,-0.028418106630958354,-0.012542307898624176,0.0610592615341239,0.07267195989958758,0.5,0.5,0.029940392169424273,5.0,0.3729178332574723,0.0299403921694242
C. elegans,neuron,SMDVL,17,False,-0.0027890397590147786,0.0020318444577313,-0.16140191814754076,-0.0119750738279496,0.0084350888489262,0.1610513763590281,0.5294117647058824,0.47058823529411764,0.035337588241974985,163.0,0.3722961878975545,0.0353375882419749
