species,node_i,node_j,profile_corr
C. elegans,ADAL,ADAR,0.9722606670612961
C. elegans,ADAL,ADEL,0.9815366216373062
C. elegans,ADAL,ADER,0.9487307936818586
C. elegans,ADAL,ADLL,0.7964878746972428
C. elegans,ADAL,ADLR,0.43793179530831
C. elegans,ADAL,AIBL,-0.9772421455483321
C. elegans,ADAL,AIBR,-0.9720953521567116
C. elegans,ADAL,AIML,-0.31899922477361115
C. elegans,ADAL,AIMR,-0.5208111602746457
C. elegans,ADAL,AINL,0.30082292398558763
C. elegans,ADAL,AINR,0.6651922358788745
C. elegans,ADAL,AIYL,0.7809583712505487
C. elegans,ADAL,AIYR,0.04557591448883543
C. elegans,ADAL,AIZL,0.9671397275062119
C. elegans,ADAL,AIZR,0.981203358156302
C. elegans,ADAL,ALA,0.8349692921323706
C. elegans,ADAL,AQR,0.2545094793315599
C. elegans,ADAL,ASEL,-0.04977158219985975
C. elegans,ADAL,ASER,0.3331406869619654
C. elegans,ADAL,ASGL,-0.8126295637101578
C. elegans,ADAL,ASGR,-0.8604581378996536
C. elegans,ADAL,ASHL,0.29823247562426075
C. elegans,ADAL,ASIL,0.18210480541189866
C. elegans,ADAL,ASIR,0.3317281224190164
C. elegans,ADAL,ASKL,0.5241745424575064
C. elegans,ADAL,ASKR,0.7659750340258988
C. elegans,ADAL,AUAL,-0.2747870197981731
C. elegans,ADAL,AUAR,-0.641981615164386
C. elegans,ADAL,AVAL,-0.8800471464090519
C. elegans,ADAL,AVAR,-0.8736762798626851
C. elegans,ADAL,AVBL,-0.990748444457347
C. elegans,ADAL,AVBR,-0.6663087813850246
C. elegans,ADAL,AVDL,0.9062388264232837
C. elegans,ADAL,AVDR,0.903050341500054
C. elegans,ADAL,AVEL,-0.9164826357869749
C. elegans,ADAL,AVER,-0.9497152903779069
C. elegans,ADAL,AVHL,0.9933882824760685
C. elegans,ADAL,AVJL,0.8286246149137416
C. elegans,ADAL,AVJR,0.9168254620623205
C. elegans,ADAL,AVKL,-0.022836731021462636
C. elegans,ADAL,AVKR,0.18864951007953093
C. elegans,ADAL,AVL,0.3066074674234761
C. elegans,ADAL,AWAL,-0.347660611627282
