epsilon,run,layer,dynamic_fc_state,potential,fc_state_mean,fc_state_std
0.0,0,Layer 1,-1.059142083171713,,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-1.045389428513064,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-1.0316367738544148,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-1.0178841191957657,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-1.0041314645371164,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.9903788098784674,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.9766261552198182,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.962873500561169,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.9491208459025199,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.9353681912438707,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.9216155365852216,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.9078628819265724,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.8941102272679233,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.880357572609274,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.866604917950625,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.8528522632919758,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.8390996086333267,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.8253469539746775,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.8115942993160283,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.7978416446573793,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.78408898999873,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.770336335340081,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.7565836806814318,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.7428310260227826,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.7290783713641334,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.7153257167054843,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.7015730620468351,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.687820407388186,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.6740677527295369,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.6603150980708876,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.6465624434122386,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.6328097887535894,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.6190571340949402,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.6053044794362911,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.5915518247776419,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.5777991701189928,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.5640465154603436,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.5502938608016945,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.5365412061430453,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.5227885514843962,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.509035896825747,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.49528324216709785,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.4815305875084487,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.4677779328497995,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.45402527819115046,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.4402726235325013,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.42651996887385213,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.41276731421520296,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.3990146595565538,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.38526200489790463,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.37150935023925546,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.3577566955806063,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.34400404092195713,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.3302513862633081,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.3164987316046589,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.30274607694600975,18.769182716737237,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.2889934222873606,10.34789537504929,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.2752407676287114,6.453454909559019,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.26148811297006225,5.392894195834815,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.24773545831141308,4.662704138493647,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.23398280365276403,4.014365047778511,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.22023014899411486,3.690606258655079,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.2064774943354657,3.446168372866885,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.19272483967681653,3.4461683728668846,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.17897218501816736,3.5934786219180435,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.1652195303595182,3.9172374110414743,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.15146687570086903,4.412810145712073,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.13771422104221986,4.994935770244779,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.1239615663835707,5.007833105008272,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.11020891172492164,4.887215707787179,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.09645625706627248,4.204719363973681,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.08270360240762331,3.5873195932061765,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.06895094774897415,3.125489598701136,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.05519829309032498,2.7701058856109326,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.041445638431675924,2.5190606067788415,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.027692983773026647,2.347350396996079,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.013940329114377592,2.2072632566945236,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,-0.00018767445572831498,2.0612308745964216,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.01356498020292074,1.922740337531768,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.027317634861570017,1.835662143361505,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.04107028952021907,1.8054110835573818,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.05482294417886813,1.8830492208831757,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.0685755988375174,2.0064530015639144,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.08232825349616646,2.1665517575472637,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.09608090815481574,2.250087022558748,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.10983356281346479,2.3101027838076313,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.12358621747211407,2.2967009263633713,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.13733887213076312,2.2766511079174254,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.15109152678941218,2.235607515222875,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.16484418144806146,2.212078231437066,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.1785968361067105,2.215374661296293,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.1923494907653598,2.27476525673272,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.20610214542400884,2.370779315645169,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.21985480008265812,2.4456988597517952,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.23360745474130717,2.5135504473862333,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.24736010939995645,2.492496425027461,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.2611127640586055,2.4717609105271134,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.27486541871725456,2.4520622407573827,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.28861807337590384,2.4765262492418247,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.3023707280345529,2.5560695530769797,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.31612338269320217,2.6874695357146643,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.3298760373518512,2.8461833415384126,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.3436286920105005,2.8610700326870857,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.35738134666914956,2.8402090644571705,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.37113400132779883,2.655306708709083,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.3848866559864479,2.481267606995956,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.39863931064509694,2.3344819320722845,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.4123919653037462,2.215319102313217,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.4261446199623953,2.12433715499481,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.43989727462104455,2.0326950674543762,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.4536499292796936,1.9407767510267135,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.4674025839383429,1.898367282123684,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.48115523859699194,1.866382096670902,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.494907893255641,1.875172617471311,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.5086605479142903,1.8716242402382226,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.5224132025729393,1.8435822295953548,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.5361658572315886,1.8055221692298495,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.5499185118902377,1.759098415976639,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.5636711665488869,1.7472997494978322,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.577423821207536,1.7467370383299257,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.591176475866185,1.8163880954909155,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.6049291305248343,1.8837691030660788,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.6186817851834834,1.9284429853295306,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.6324344398421327,1.9564199475093695,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.6461870945007817,1.957725206179018,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.659939749159431,1.9979404203580444,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.67369240381808,2.0646405622367316,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.6874450584767293,2.0719600246562795,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7011977131353784,2.062908797882468,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7149503677940274,1.9234074906507335,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7287030224526767,1.786550250447861,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7424556771113258,1.6588003522333017,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.756208331769975,1.5484622545466384,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7699609864286241,1.4607394839824195,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7837136410872734,1.3848275355475097,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.7974662957459224,1.3154161171217569,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8112189504045717,1.2352474639548865,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8249716050632208,1.1469765189330035,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8387242597218698,0.9683994548617566,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8524769143805191,0.7723092160690477,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8662295690391681,0.5300478802834022,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8799822236978174,0.31849904705166543,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.8937348783564665,0.13956245879986096,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9074875330151158,0.05013970465077129,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9212401876737648,0.0,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9349928423324139,0.11234720759209303,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9487454969910631,0.26839921062510597,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9624981516497124,0.6295261705805214,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9762508063083613,1.0778176363885026,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,0.9900034609670105,1.7071430758903314,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.0037561156256598,2.5058202623037262,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.017508770284309,3.4516910231355915,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.031261424942958,4.824815471108486,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.0450140796016072,6.344181114008908,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.0587667342602565,14.82468955323728,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.0725193889189053,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.0862720435775546,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.1000246982362039,22.17980409012082,0.6580290788927553,0.3215967202726918
