species,measure_a,measure_b,pearson_r,pearson_p,n,BH_FDR_q,BH_FDR_significant
C. elegans,FCV,FCS,0.05706542245060694,0.5358622873918968,120,0.5430990682124988,False
C. elegans,FCV,Profile dist.,-0.5479313393628815,9.3475023884943e-11,120,6.638190191830316e-10,True
C. elegans,FCV,NetTE,0.5441805936855993,1.3276380383660633e-10,120,6.638190191830316e-10,True
C. elegans,FCV,Neighbor NetTE,0.0560577943025312,0.5430990682124988,120,0.5430990682124988,False
C. elegans,FCS,Profile dist.,-0.06017796364280852,0.5138151473515636,120,0.5430990682124988,False
C. elegans,FCS,NetTE,0.08014876439919388,0.38419278013845876,120,0.5430990682124988,False
C. elegans,FCS,Neighbor NetTE,-0.09554627060673937,0.2992333780793322,120,0.49872229679888697,False
C. elegans,Profile dist.,NetTE,-0.5293413684206545,5.103965505111155e-10,120,1.7013218350370518e-09,True
C. elegans,Profile dist.,Neighbor NetTE,0.19572198578992972,0.03216525302097652,120,0.08041313255244129,False
C. elegans,NetTE,Neighbor NetTE,-0.10518429061788429,0.25289303387763,120,0.49872229679888697,False
Drosophila,FCV,FCS,0.8312247537073579,3.1468676011899673e-18,67,1.0489558670633225e-17,True
Drosophila,FCV,Profile dist.,-0.8718584329304917,7.945897645459052e-22,67,3.972948822729526e-21,True
Drosophila,FCV,NetTE,0.5031734723543296,1.4260422415180096e-05,67,3.565105603795024e-05,True
Drosophila,FCV,Neighbor NetTE,-0.3936352163818814,0.0009823224735910042,67,0.0014033178194157202,True
Drosophila,FCS,Profile dist.,-0.9509688594394038,7.734630499201717e-35,67,7.734630499201716e-34,True
Drosophila,FCS,NetTE,0.38094535568916543,0.0014710703946422981,67,0.0018388379933028725,True
Drosophila,FCS,Neighbor NetTE,-0.4158512117752287,0.0004656581513578087,67,0.0008698403923466316,True
Drosophila,Profile dist.,NetTE,-0.3601091242173041,0.002760076070852271,67,0.0030667511898358566,True
Drosophila,Profile dist.,Neighbor NetTE,0.4125548340332808,0.000521904235407979,67,0.0008698403923466316,True
Drosophila,NetTE,Neighbor NetTE,-0.24638922847731687,0.04443846791218643,67,0.04443846791218643,True
Zebrafish,FCV,FCS,0.008365924032849331,0.9545048522711649,49,0.9699000538258309,False
Zebrafish,FCV,Profile dist.,0.005533327192917256,0.9699000538258309,49,0.9699000538258309,False
Zebrafish,FCV,NetTE,0.6361720216484957,8.991541469513442e-07,49,4.495770734756721e-06,True
Zebrafish,FCV,Neighbor NetTE,0.47943078801149797,0.0004913581023047692,49,0.0016378603410158973,True
Zebrafish,FCS,Profile dist.,-0.8305247796147688,1.5662060129260926e-13,49,1.5662060129260927e-12,True
Zebrafish,FCS,NetTE,0.08226402656136556,0.5741593669696048,49,0.717699208712006,False
Zebrafish,FCS,Neighbor NetTE,0.15484649439281262,0.28806882116146393,49,0.4506747637085501,False
Zebrafish,Profile dist.,NetTE,-0.23849760148953408,0.09888245312687248,49,0.20728742233935266,False
Zebrafish,Profile dist.,Neighbor NetTE,-0.23528849785528644,0.10364371116967631,49,0.20728742233935266,False
Zebrafish,NetTE,Neighbor NetTE,0.14640572919714012,0.31547233459598506,49,0.4506747637085501,False
