species,node,n_recordings,level,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,class_order,class_label,class_short,fine_class,anatomy_group,fcv_rank
C. elegans,ADAL,12,neuron,-0.6864017474729437,0.3742933185867292,1.0088998651324341,-0.2591338492736975,1.7847751417462943,4,integrative relay,integrative relay,interneuron / integrative,interneurons,88.0
C. elegans,ADAR,1,neuron,-1.3842343733801772,0.38854316528152855,2.247917354479104,-0.958879937905215,-2.960137075997584,4,integrative relay,integrative relay,interneuron / integrative,interneurons,109.0
C. elegans,ADEL,15,neuron,-1.1878053546816851,0.019763699195612824,1.1516367619576837,-0.2656668664118334,1.047753114426908,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,103.0
C. elegans,ADER,8,neuron,-1.519985683729857,-0.7296859690368148,1.4449651857738728,-0.3826355370783988,0.9290734658375813,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,113.0
C. elegans,ADLL,9,neuron,-0.2749536732621406,-0.5380552564908108,2.0476279703705957,-0.011999411943942497,0.11291885739352295,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,74.0
C. elegans,ADLR,5,neuron,0.4165898291544206,-0.23438983748308617,1.232812986850276,-0.43153901078031287,-2.0269822355481217,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,52.0
C. elegans,AIBL,16,neuron,1.2753067023060662,-0.3896817117034739,-1.8615727969127218,2.225652590788053,-0.5725633799743698,5,associative / learning,associative / learning,associative interneuron,interneurons,13.0
C. elegans,AIBR,16,neuron,1.1492634161603845,-0.49760231099383007,-1.7189861609764894,1.5588251415078025,-0.42353534085314365,5,associative / learning,associative / learning,associative interneuron,interneurons,21.0
C. elegans,AIML,3,neuron,1.2576947538890786,-1.8843524850868663,0.08274397089824163,-0.14867451700071896,1.7547320358084761,5,associative / learning,associative / learning,associative interneuron,interneurons,16.0
C. elegans,AIMR,4,neuron,1.026450952315957,-0.8280043350995646,-0.015093494050745216,0.3917302738574777,1.468812949175774,5,associative / learning,associative / learning,associative interneuron,interneurons,26.0
C. elegans,AINL,12,neuron,0.49105224810065234,-0.7652673751210907,0.9253660591291242,-0.6348530759616268,-0.12705011012384335,5,associative / learning,associative / learning,associative interneuron,interneurons,49.0
C. elegans,AINR,11,neuron,-0.5064552419434784,-0.48190297151461026,0.5208343909651109,-0.9402180468315686,-0.25303961139272846,5,associative / learning,associative / learning,associative interneuron,interneurons,80.0
