species,FC_measure,SC_measure,pearson_r,pearson_p,n,BH_FDR_q,BH_FDR_significant
C. elegans,FCV,Post-DCA,0.1654607324078768,0.07091369160416318,120,0.23637897201387725,False
C. elegans,FCV,Pre-DCA,-0.16569079817355828,0.0705168625505251,120,0.23637897201387725,False
C. elegans,FCS,Post-DCA,-0.013485289377414937,0.8837758468504282,120,0.8837758468504282,False
C. elegans,FCS,Pre-DCA,0.03934534541430586,0.6696265321485004,120,0.7440294801650005,False
C. elegans,Profile dist.,Post-DCA,0.11194050372798288,0.22351230783320594,120,0.44702461566641183,False
C. elegans,Profile dist.,Pre-DCA,-0.04945887830505692,0.5916459081462848,120,0.7395573851828561,False
C. elegans,NetTE,Post-DCA,0.10167745496449176,0.2691469975412168,120,0.44857832923536134,False
C. elegans,NetTE,Pre-DCA,0.08725170853251135,0.34333360926033457,120,0.4904765846576208,False
C. elegans,Neighbor NetTE,Post-DCA,0.22650576589349175,0.012857328912987166,120,0.12857328912987165,False
C. elegans,Neighbor NetTE,Pre-DCA,-0.1450810372822276,0.11387226824797213,120,0.2846806706199303,False
Drosophila,FCV,Post-DCA,-0.28981916895218873,0.09126031846768841,35,0.13037188352526916,False
Drosophila,FCV,Pre-DCA,0.6192214407382316,7.312168414033422e-05,35,0.0007312168414033422,True
Drosophila,FCS,Post-DCA,-0.193367334649339,0.2657191222859868,35,0.29524346920665206,False
Drosophila,FCS,Pre-DCA,0.42747975292014034,0.010424578004853649,35,0.020682745927974918,True
Drosophila,Profile dist.,Post-DCA,0.2784985124757051,0.10522879006345853,35,0.13153598757932317,False
Drosophila,Profile dist.,Pre-DCA,-0.5345369658558796,0.0009400588333378108,35,0.004700294166689054,True
Drosophila,NetTE,Post-DCA,-0.44853431154645373,0.006883096776836483,35,0.01720774194209121,True
Drosophila,NetTE,Pre-DCA,0.4742363047506581,0.004000720913347509,35,0.013335736377825029,True
Drosophila,Neighbor NetTE,Post-DCA,0.1367393075586506,0.43346797926492675,35,0.43346797926492675,False
Drosophila,Neighbor NetTE,Pre-DCA,-0.4182394974020326,0.01240964755678495,35,0.020682745927974918,True
Zebrafish,FCV,Post-DCA,0.5700174229744618,6.361635938349267e-25,273,6.361635938349267e-24,True
Zebrafish,FCV,Pre-DCA,-0.30249806619454145,3.4870487557317337e-07,273,5.811747926219556e-07,True
Zebrafish,FCS,Post-DCA,-0.3442574058875001,5.173612921898723e-09,273,2.5868064609493613e-08,True
Zebrafish,FCS,Pre-DCA,0.24425718706009925,4.518522777201459e-05,273,6.455032538859227e-05,True
Zebrafish,Profile dist.,Post-DCA,0.2073665612795184,0.0005645617899840816,273,0.000705702237480102,True
Zebrafish,Profile dist.,Pre-DCA,-0.3140155555680645,1.1629457406992154e-07,273,2.9073643517480384e-07,True
Zebrafish,NetTE,Post-DCA,0.3266962649586645,3.285607988308688e-08,273,1.0952026627695627e-07,True
Zebrafish,NetTE,Pre-DCA,0.013172010961180508,0.828482578277752,273,0.8284825782777518,False
Zebrafish,Neighbor NetTE,Post-DCA,0.30628287196213033,2.443359719570732e-07,273,4.886719439141464e-07,True
Zebrafish,Neighbor NetTE,Pre-DCA,0.05149982448726868,0.3966747169773184,273,0.44074968553035376,False
