species,anatomy_group,n_nodes,EdgeStdFCV_mean,EdgeStdFCV_sem,PostDCA_mean,PostDCA_sem,PreDCA_mean,PreDCA_sem
C. elegans,olf./chemo,17,0.3006208559597261,0.1237488159484395,0.013882210872926523,0.005580828606263961,0.017140575300007066,0.0038027747586022714
C. elegans,sensory neurons,34,-0.15209042995584127,0.1290276835540535,-0.03750155219012045,0.009079607397473283,0.03067300533097142,0.005107586217677395
C. elegans,interneurons,201,-0.08381861215795722,0.15285414647276668,-0.010817562083465397,0.0031245507765471346,0.022555005125567903,0.0032028913126569366
C. elegans,motor / command,33,0.10515799110664463,0.1492603907285915,-0.059508203088747,0.014423575235840886,0.03779111137255644,0.006377691869814094
C. elegans,state-modulatory,7,-0.008259139379125782,0.3667051534176588,-0.06990652224221322,0.018188841521300264,0.019049870404362484,0.007305905580667746
Drosophila,olfactory neuropil,3,0.6759165350972575,0.21374032781235272,0.020977956330706996,0.017739144734517223,0.0638010273199725,0.06179601313814042
Drosophila,optic neuropil,6,-1.1027445358524997,0.16783184451002425,-0.0007105916964477252,0.002459796894564816,-0.0312753149200557,0.019964792542768856
Drosophila,mushroom body,2,1.06272936544758,0.21768099262988685,-0.09108781386935315,0.034131397159154545,0.0815145266042232,0.009507546616913698
Drosophila,central complex,2,,,,,,
Drosophila,protocerebrum,24,0.1009838034062517,0.13706088153017779,-2.0007736781804753e-05,0.0037870521731792547,-0.00628161590865172,0.007209306000970617
Drosophila,premotor interface,6,0.45769412324562847,0.028098261438420005,0.00035610804509175,0.0036465480493325215,0.005964813691643517,0.0011801150172116
Zebrafish,telencephalon,10,1.3211791587523627,0.10303027193173876,0.0033501718400071167,0.0017423818550661918,-0.013196972338776583,0.0058428755103247495
Zebrafish,diencephalon,8,0.06058367222639123,0.15941757369100126,-0.015570064266948761,0.0019947253742979535,-0.0024115483828410127,0.0006466721843558302
Zebrafish,mesencephalon,6,-0.9092144574537256,0.5115675287372402,-0.022106484372916124,0.00835862567188733,-0.0067585509242203,0.0015829048194420665
Zebrafish,hindbrain / motor,28,-0.39383303416663223,0.12355001046608598,-0.013873605338599548,0.0012728723679925021,0.0022150208413112917,0.001065478886470743
Zebrafish,state system,14,0.6846515707909705,0.20934657178512173,0.0007848101634435334,0.0061088015644846505,0.004805085152313835,0.0016234876872032746
