species,shared_fine_order,shared_fine_label,metric,mean,other_group_mean,mean_minus_other_group_mean,relative_z_mean,leave_one_group_out_z_delta,sem,n
C. elegans,0,olf./chemo,FCV,0.2969657508808487,-0.07546116863867822,0.3724269195195269,0.7169943240190054,0.8603931888228065,0.07054004223811262,18
C. elegans,2,other sensory,FCV,-0.12278708078653805,0.00848939769479913,-0.13127647848133717,-0.2527327779360127,-0.3032793335232152,0.04161086324593827,18
C. elegans,3,sensorimotor,FCV,0.20201437797731459,-0.05647089405797141,0.258485272035286,0.4976344704913076,0.5971613645895691,0.03065135542714282,18
C. elegans,4,integrative,FCV,-0.31831064558997285,0.047594110655486084,-0.36590475624545893,-0.7044378899839336,-0.8453254679807203,0.06243222769382735,18
C. elegans,5,assoc./learning,FCV,0.00881506689503065,-0.01783103184151461,0.02664609873654526,0.05129892752113811,0.06155871302536572,0.0738876366209949,18
C. elegans,6,state-mod.,FCV,-0.1470375616892255,0.013339493875336615,-0.1603770555645621,-0.30875705411150495,-0.37050846493380596,0.18128508540725424,18
Drosophila,0,olf./chemo,FCV,0.7478395989395312,0.040441181418698416,0.7073984175208328,0.6436299303484825,0.804537412935603,0.07679278975300415,20
Drosophila,1,visual,FCV,-1.1947900109062313,0.526098583880139,-1.7208885947863704,-1.5657589541712966,-1.9571986927141207,0.1001722128426173,20
Drosophila,3,sensorimotor,FCV,0.32715450136524205,0.14561245581227072,0.18154204555297132,0.16517692327342376,0.20647115409177966,0.08186386609627948,20
Drosophila,4,integrative,FCV,-0.03332913023179725,0.2357333637115305,-0.26906249394332776,-0.24480783381316087,-0.3060097922664511,0.018261229687254268,20
Drosophila,5,assoc./learning,FCV,1.06272936544758,-0.03828126020831383,1.1010106256558938,1.0017599343625512,1.2521999179531889,0.1321145010077904,20
Zebrafish,0,olf./chemo,FCV,1.0382328629889686,0.2689408796060011,0.7692919833829674,0.9597185819101878,1.0694007055570665,0.2149355256520725,4
Zebrafish,1,visual,FCV,-0.2210370019270362,0.47228503911422387,-0.69332204104126,-0.790805420830568,-0.9637941066372546,0.14857897880205867,7
Zebrafish,3,sensorimotor,FCV,-0.3604384253798071,0.5027791004945176,-0.8632175258743247,-0.9845887746366091,-1.199967569088367,0.08920403540928606,7
Zebrafish,4,integrative,FCV,0.17627564123252332,0.3853728984230703,-0.209097257190547,-0.23849702544974713,-0.29066824976687927,0.1394537710965038,7
Zebrafish,5,assoc./learning,FCV,1.3919157326932112,0.11945162841604486,1.2724641042771663,1.4513767800651995,1.7688654507044619,0.12800552999763135,7
Zebrafish,6,state-mod.,FCV,0.35798845141111435,0.34562322119650346,0.01236523021461089,0.014103822617331483,0.017189033814872863,0.13997622685353928,7
C. elegans,3,sensorimotor,Post-DCA,-0.059508203088747,-0.01984335914490274,-0.03966484394384426,-0.4557644472459465,-0.6286406168909607,0.014423575235840886,33
C. elegans,2,other sensory,Post-DCA,-0.035622005561199474,-0.0286636993730001,-0.006958306188199374,-0.077196615990753,-0.11028087998679004,0.008667646157323418,36
C. elegans,0,olf./chemo,Post-DCA,0.01622246737192245,-0.037461713886800245,0.053684181258722694,0.7444766393788169,0.8508304450043621,0.006083076464903756,15
C. elegans,4,integrative,Post-DCA,-0.005780012311806124,-0.0337850727802029,0.028005060468396778,0.3957634962969431,0.4438469117348895,0.010366941848576967,13
C. elegans,5,assoc./learning,Post-DCA,-0.007676952514576373,-0.034301074108672766,0.026624121594096394,0.3656992494550033,0.4219606724480808,0.011614129682398722,16
C. elegans,6,state-mod.,Post-DCA,-0.06990652224221322,-0.028325639750793778,-0.041580882491419446,-0.6205654427198887,-0.6590075497910323,0.018188841521300264,7
Drosophila,5,assoc./learning,Post-DCA,-0.09108781386935315,0.0017653708647908824,-0.09285318473414403,-3.103213557099262,-3.2805400460763625,0.034131397159154545,2
Drosophila,3,sensorimotor,Post-DCA,0.00035610804509175043,-0.003952396636825031,0.004308504681916781,0.12753667154965953,0.15222118862378725,0.0036465480493325215,6
Drosophila,4,integrative,Post-DCA,-2.0007736781804834e-05,-0.007996498484121713,0.007976490747339908,0.1142483509828389,0.2818125990910027,0.0037870521731792547,22
Drosophila,0,olf./chemo,Post-DCA,0.020977956330706996,-0.0053918093077396,0.026369765638446598,0.8561147953778173,0.9316543361464483,0.017739144734517223,3
Drosophila,1,visual,Post-DCA,-0.000710591696447725,-0.0035619782025828627,0.0028513865061351377,0.08984974428616446,0.10074062238145713,0.002459796894564816,4
Zebrafish,3,sensorimotor,Post-DCA,-0.013970729618668097,-0.008541670808051606,-0.005429058810616491,-0.23024637680617077,-0.43537496705166806,0.000539550178118883,147
Zebrafish,6,state-mod.,Post-DCA,0.00045643113612746746,-0.012799008024697881,0.013255439160825349,0.9267174464600907,1.0629994238806924,0.002278487379117125,40
Zebrafish,4,integrative,Post-DCA,-0.016728936668769,-0.010587834209387172,-0.006141102459381827,-0.45143652144249247,-0.4924762052099917,0.000926655405999863,26
Zebrafish,0,olf./chemo,Post-DCA,0.0002830224000565639,-0.011594489058439666,0.01187751145849623,0.912811201310249,0.9524986448454772,0.0023012107796118995,13
Zebrafish,5,assoc./learning,Post-DCA,0.00458350844880799,-0.012585360229440493,0.017168868678248482,1.2576820227719712,1.3768308459819474,0.0009658035332658709,27
Zebrafish,1,visual,Post-DCA,-0.018984993130579168,-0.00926070491133816,-0.009724288219241008,-0.6323574769875973,-0.7798242403957719,0.0019190713643280058,59
C. elegans,3,sensorimotor,Pre-DCA,0.03779111137255644,0.02438754256120868,0.013403568811347761,0.346568314514482,0.4780252613992855,0.006377691869814094,33
C. elegans,6,state-mod.,Pre-DCA,0.019049870404362484,0.02863251137423876,-0.009582640969876276,-0.3218198393317686,-0.34175558159125863,0.007305905580667746,7
C. elegans,4,integrative,Pre-DCA,0.017121740945707255,0.029404114446965633,-0.012282373501258378,-0.3905847034853365,-0.43803891979663895,0.004343057672897013,13
C. elegans,2,other sensory,Pre-DCA,0.02902314815485298,0.027666542196962025,0.0013566059578909544,0.033867423574633085,0.04838203367804728,0.0049550606509377515,36
C. elegans,5,assoc./learning,Pre-DCA,0.026969532271704687,0.02824336886319464,-0.0012738365914899512,-0.03937279201067987,-0.04543014462770753,0.004421464451615617,16
