source,target,source_group,target_group,mean_net_te,n_subjects_te,n_subjects_fc_sig
PO,rpRF,Tel,Hind,0.01635872695261281,7,7
MOS2,rNX,Hind,Hind,0.016378424761655234,7,7
rT,rMON,Hind,Hind,0.016425881096873745,7,7
rTh,rMON,Di,Hind,0.01643395474013529,7,7
rMOS5,raRF,Hind,Hind,0.01659732413732472,4,4
rSP,Th,Tel,Di,0.016813967670470612,7,7
PO,rHi,Tel,Di,0.01694985934354548,4,4
rSP,PrT,Tel,Di,0.017010705571181815,7,7
rP,MON,Tel,Hind,0.01701754651640455,7,7
rSP,rNX,Tel,Hind,0.01706397726497525,7,6
MOS1,rHi,Hind,Di,0.017119206646626993,4,4
SP,MOS5,Tel,Hind,0.017424373268502952,7,7
rPrT,rNX,Di,Hind,0.01746387071774549,7,7
SP,MOS4,Tel,Hind,0.017482790022297613,7,7
rMOS3,rimRF,Hind,Hind,0.017493598125393774,6,6
rT,MON,Hind,Hind,0.017521463257120083,7,7
SP,T,Tel,Hind,0.01762488530982375,7,7
rPO,rNX,Tel,Hind,0.0178121251387922,7,7
rPT,MON,Di,Hind,0.01783753759576292,7,7
rMOS3,MON,Hind,Hind,0.017841603262613897,7,7
rMOS1,rMON,Hind,Hind,0.017917647538924917,7,7
rSP,rMOS5,Tel,Hind,0.01798136882621742,7,7
rPT,NX,Di,Hind,0.018096251697376033,6,6
rP,rNX,Tel,Hind,0.018235794258952404,7,6
rTh,NX,Di,Hind,0.01825539178244619,6,6
rMOS2,rNX,Hind,Hind,0.018276921540613302,7,6
rMOS1,MON,Hind,Hind,0.018296386204327247,7,7
rT,rHi,Hind,Di,0.01840393980156296,4,4
Cb,raRF,Hind,Hind,0.01843234706605252,4,4
MOS3,Cb,Hind,Hind,0.01845029057142505,7,7
rimRF,rMON,Hind,Hind,0.018540920673068628,6,6
MOS1,rMON,Hind,Hind,0.01861323385722317,7,7
SP,Th,Tel,Di,0.01883908243313733,7,7
rP,rMON,Tel,Hind,0.019031882932958304,7,7
P,NX,Tel,Hind,0.01928901058513391,6,6
SP,rHi,Tel,Di,0.01939386539174809,4,4
rPO,MON,Tel,Hind,0.019509347765538206,7,7
Ra,raRF,Hind,Hind,0.019598542921546648,4,4
OB,rNX,Tel,Hind,0.01962242202451741,4,4
rMOS2,rimRF,Hind,Hind,0.019671322607589647,6,6
T,raRF,Hind,Hind,0.019834953838243716,4,4
MOS2,rHi,Hind,Di,0.01984625662730502,4,4
MOS3,MOS5,Hind,Hind,0.019873870416239735,7,7
rimRF,rHi,Hind,Di,0.02009234154769543,4,4
PO,MON,Tel,Hind,0.020140400970721308,7,7
SP,rNX,Tel,Hind,0.020302344459888218,7,6
rMOS3,rMON,Hind,Hind,0.02038673221207429,7,7
MOS2,rMON,Hind,Hind,0.02053713357420796,7,7
MOS3,rimRF,Hind,Hind,0.020697754626003203,6,6
rMOS1,NX,Hind,Hind,0.02078034432654008,6,6
rMOS1,rNX,Hind,Hind,0.020853996524255007,7,7
rPT,rMON,Di,Hind,0.02110925776480434,7,7
MOS2,MON,Hind,Hind,0.02121850935548644,7,7
MOS3,rpRF,Hind,Hind,0.021333973013112222,7,7
MOS1,MON,Hind,Hind,0.021401024541312454,7,7
MOS2,NX,Hind,Hind,0.021514156990852604,6,6
MOS2,rimRF,Hind,Hind,0.02159573713934959,6,6
rSP,rHi,Tel,Di,0.021723571573103537,4,4
rMOS3,NX,Hind,Hind,0.02185042578742646,6,6
rMOS3,rNX,Hind,Hind,0.021922190522716104,7,7
rHi,rMON,Di,Hind,0.021925011242400975,4,4
PO,rMON,Tel,Hind,0.02204029149848718,7,7
PT,rHi,Di,Di,0.022059981350381286,4,4
MOS3,rMON,Hind,Hind,0.022127188760169867,7,7
PT,MON,Di,Hind,0.022161608793752563,6,6
rMOS1,rpRF,Hind,Hind,0.022252335698300464,7,7
rSP,MON,Tel,Hind,0.022355730046448422,7,7
rMOS1,rHi,Hind,Di,0.02241100789467896,4,4
PT,rMON,Di,Hind,0.02243556258788153,6,6
PT,NX,Di,Hind,0.02246342868871386,6,6
MOS1,raRF,Hind,Hind,0.02258316729477955,4,4
rNX,raRF,Hind,Hind,0.022754647700666847,4,4
MOS3,MON,Hind,Hind,0.02284414550281214,7,7
SP,MON,Tel,Hind,0.023104619187981207,7,7
PrT,raRF,Di,Hind,0.02320910113458069,4,4
SP,rMON,Tel,Hind,0.023420501934585475,7,7
MOS3,rNX,Hind,Hind,0.023429658123501375,7,7
rSP,rMON,Tel,Hind,0.023512082557133135,7,7
MOS4,raRF,Hind,Hind,0.023587045109131757,4,4
rPT,raRF,Di,Hind,0.023621766207703638,4,4
rpRF,raRF,Hind,Hind,0.02412676845613675,4,4
MOS1,rNX,Hind,Hind,0.02416248564845027,7,7
rPO,raRF,Tel,Hind,0.024235096449482584,4,4
rPO,rMON,Tel,Hind,0.024248013428654357,7,7
rMOS3,TS,Hind,Mes,0.024529068471345502,4,4
PT,TS,Di,Mes,0.024788902862401114,4,4
rCb,raRF,Hind,Hind,0.024991231341936804,4,4
PO,TS,Tel,Mes,0.025016737303121685,4,4
rSP,raRF,Tel,Hind,0.025115327688994365,4,4
rMOS1,rimRF,Hind,Hind,0.02543566571904557,6,6
MOS3,TS,Hind,Mes,0.02557899976277169,4,4
PO,NX,Tel,Hind,0.025654166208120905,6,6
SP,raRF,Tel,Hind,0.025733069823286082,4,4
MOS3,rHi,Hind,Di,0.025777774432450783,4,4
rSP,TS,Tel,Mes,0.025783196058823097,4,4
MOS1,NX,Hind,Hind,0.025849605969249834,6,6
rSP,NX,Tel,Hind,0.02593940654093424,6,6
rPO,NX,Tel,Hind,0.025943124794679223,6,6
rP,NX,Tel,Hind,0.02619835290504817,6,6
SP,NX,Tel,Hind,0.026703628900631323,6,6
rPT,rHi,Di,Di,0.026722840571304897,4,4
PT,raRF,Di,Hind,0.026799770165191954,4,4
SP,TS,Tel,Mes,0.031172392254285454,4,4
PO,raRF,Tel,Hind,0.03143392616378568,4,4
MOS3,NX,Hind,Hind,0.0316284513297446,6,6
rT,raRF,Hind,Hind,0.032732637003181436,4,4
rPO,rHi,Tel,Di,0.03357160847610258,4,4
rMOS4,raRF,Hind,Hind,0.03793975769473719,4,4
MOS3,raRF,Hind,Hind,0.03931497353143415,4,4
rMOS3,raRF,Hind,Hind,0.040210944967059445,4,4
rMOS2,raRF,Hind,Hind,0.042805249011211834,4,4
rMOS1,raRF,Hind,Hind,0.0467915810810226,4,4
MOS2,raRF,Hind,Hind,0.04956817845398945,4,4
rimRF,raRF,Hind,Hind,0.050800607000222875,4,4
