figure,panel,fc_feature,sc_feature,pearson_r,p_value,p_fdr_bh,fdr_bh_significant,n_regions
figure_sc_fc_final_overview,A,FCV,$\mathbf{DCA}_{\mathbf{post}}$,0.5769873814300557,3.340407909541996e-05,0.0007991788346751394,True,45
figure_sc_fc_final_overview,A,FCV,$\mathbf{DCA}_{\mathbf{pre}}$,-0.1697603813904018,0.2649116394339103,0.36793283254709763,False,45
figure_sc_fc_final_overview,A,FCV,Modularity Q,0.16983799172256328,0.2646900210831824,0.36793283254709763,False,45
figure_sc_fc_final_overview,A,FCV,log10 (Out/In),0.344701234759957,0.020404461407643827,0.059160917435388954,False,45
figure_sc_fc_final_overview,A,FCV,OO fraction,0.5597531179701641,6.393430677401116e-05,0.0007991788346751394,True,45
figure_sc_fc_final_overview,A,FCS,$\mathbf{DCA}_{\mathbf{post}}$,-0.35221202447977146,0.01765314438261956,0.059160917435388954,False,45
figure_sc_fc_final_overview,A,FCS,$\mathbf{DCA}_{\mathbf{pre}}$,0.26658677048584273,0.07669631402520094,0.13241868832237327,False,45
figure_sc_fc_final_overview,A,FCS,Modularity Q,-0.2642194947413506,0.07945121299342396,0.13241868832237327,False,45
figure_sc_fc_final_overview,A,FCS,log10 (Out/In),-0.32661053207386526,0.028541795390021253,0.06712186769121353,False,45
figure_sc_fc_final_overview,A,FCS,OO fraction,-0.07216416810630513,0.6375803631525616,0.6641462116172517,False,45
figure_sc_fc_final_overview,A,ProfileCorrDistFCV,$\mathbf{DCA}_{\mathbf{post}}$,0.22609042864365697,0.13533377746278658,0.211459027285604,False,45
figure_sc_fc_final_overview,A,ProfileCorrDistFCV,$\mathbf{DCA}_{\mathbf{pre}}$,-0.34244576322571263,0.021297930276740023,0.059160917435388954,False,45
figure_sc_fc_final_overview,A,ProfileCorrDistFCV,Modularity Q,0.4867812229281497,0.0006968915538436611,0.005807429615363843,True,45
figure_sc_fc_final_overview,A,ProfileCorrDistFCV,log10 (Out/In),0.3661976632042376,0.013360628987876778,0.059160917435388954,False,45
figure_sc_fc_final_overview,A,ProfileCorrDistFCV,OO fraction,0.05884484570433875,0.7010020829945737,0.7010020829945737,False,45
figure_sc_fc_final_overview,A,Net TE,$\mathbf{DCA}_{\mathbf{post}}$,0.3247120494652739,0.029533621784133955,0.06712186769121353,False,45
figure_sc_fc_final_overview,A,Net TE,$\mathbf{DCA}_{\mathbf{pre}}$,0.11645755665190369,0.44615843505598723,0.5309027637717076,False,45
figure_sc_fc_final_overview,A,Net TE,Modularity Q,-0.34793762502946435,0.01917764612879364,0.059160917435388954,False,45
figure_sc_fc_final_overview,A,Net TE,log10 (Out/In),0.11117422642120947,0.4671944321191027,0.5309027637717076,False,45
figure_sc_fc_final_overview,A,Net TE,OO fraction,0.3061620046219801,0.04081448900467069,0.07851366242826521,False,45
figure_sc_fc_final_overview,A,Neighbor TE,$\mathbf{DCA}_{\mathbf{post}}$,0.3061437669852649,0.04082710446269791,0.07851366242826521,False,45
figure_sc_fc_final_overview,A,Neighbor TE,$\mathbf{DCA}_{\mathbf{pre}}$,0.13040041712520314,0.3932208281459896,0.49152603518248694,False,45
figure_sc_fc_final_overview,A,Neighbor TE,Modularity Q,0.09030434914946403,0.5552304380813772,0.6035113457406274,False,45
figure_sc_fc_final_overview,A,Neighbor TE,log10 (Out/In),0.15527686648654787,0.3084349418775315,0.4058354498388572,False,45
figure_sc_fc_final_overview,A,Neighbor TE,OO fraction,0.3699177263409693,0.01238161625257434,0.059160917435388954,False,45
