figure,panel,model,feature_set,feature,weight,left_out_region,left_out_division,standardized_beta
figure_sc_fc_final_overview,C,PLS LV1,FC,FCV,0.6821156408462008,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,FCS,-0.4268152564252515,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,ProfileCorrDistFCV,0.44244992559780466,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Net TE,0.2058507514666616,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Neighbor TE,0.3382462429277388,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,$\mathbf{DCA}_{\mathbf{post}}$,0.6262538795142953,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,$\mathbf{DCA}_{\mathbf{pre}}$,-0.2407212537743038,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Modularity Q,0.30986275915093164,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,log (Out/In),0.4706229498308794,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,OO fraction,0.48203575174303676,,,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.682182344599842,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.43111431659200833,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44494282005020436,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2047393998455221,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.32996266422480897,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6957262994737355,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4078377352437083,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.41524114071126117,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.24190618243307868,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3445134132270161,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6645848332467672,PO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4355317152742382,PO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4562806511024433,PO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.22723001847907778,PO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3298690809096453,PO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6536621609476497,SP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.44769775996585803,SP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.5099835417375747,SP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.11502523146320862,SP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.31460845244595004,SP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6686997320038388,rP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4378273452860319,rP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4526128189004747,rP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2039211433404839,rP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.33868228120681976,rP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6559327294565962,rPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4540534480784539,rPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4704520981413475,rPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.16534385615827912,rPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.33900435587290007,rPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6721997989617078,rSP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4399906932883038,rSP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.47547956389910345,rSP,Tel,
