figure,panel,metric,region,division,n,mean,sem,std,median
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,OB,Tel,7,-0.003929339519691423,0.002563967445733336,0.006783620231075904,-0.0001328771829485
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rOB,Tel,6,0.005197444639762548,0.0030598847320633814,0.007495156265288105,0.002194019965432144
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,P,Tel,7,0.0007819844131355857,0.000984211468927209,0.0026039787842789697,0.0011121227995439
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,PO,Tel,6,0.007651821933865983,0.000812525451383843,0.001990272758914995,0.0073503795278494
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,SP,Tel,7,0.004549345780713905,0.0015811032967601847,0.004183206120331805,0.0062076087374373
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,HR,Di,6,-0.012471333016970482,0.0013457401221228663,0.003296376625591742,-0.01260169183462665
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,Hb,Di,7,0.018636356785083612,0.0015313885004041572,0.004051673132693536,0.0177224078003818
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,Hi,Di,7,-0.0210191304982299,0.0019248525251014165,0.005092681091893061,-0.020548032283871
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,PT,Di,7,-0.0075546111624816715,0.0013949299478705679,0.0036906377384218164,-0.0088043265796131
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,PrT,Di,7,-0.0198879918570197,0.0008828513038815314,0.002335804994719645,-0.020453891113026
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,Th,Di,6,-0.01676472611940025,0.0016479974048491618,0.004036752739311318,-0.0167567115187971
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,TS,Mes,7,-0.009980665681655057,0.001061188823862661,0.0028076417220217267,-0.0110212672415344
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,TeO,Mes,7,-0.012911713878204802,0.0005606401814573483,0.0014833144951262693,-0.0130887983409648
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,Cb,Hind,7,-0.014129718453126426,0.0008054617547705603,0.002131051493696596,-0.0133987364924786
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,MON,Hind,7,-0.0103798661957588,0.0006638603210891611,0.0017564093148854081,-0.0108860571231844
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,MOS1,Hind,6,-0.011205884013935,0.0006373332918029915,0.0015611413610056657,-0.0106628580716248
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,MOS2,Hind,7,-0.011455358257509015,0.00128662999332966,0.003404102991706973,-0.0108553485607514
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,MOS3,Hind,7,-0.01621848456782266,0.0008589956363722575,0.0022726888311306627,-0.0163561342331094
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,MOS4,Hind,6,-0.00913068862830385,0.0015642124865427312,0.0038315224413197897,-0.00781082416715905
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,MOS5,Hind,6,-0.009557861466397,0.0006334714121108032,0.001551681726311788,-0.00901942298680475
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,NX,Hind,6,-0.0051548129889920835,0.001102744733252176,0.0027011619130093765,-0.0055573036846433
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,Ra,Hind,7,-0.01353983625957717,0.0011175574258914284,0.0029567790247422157,-0.0138342284850853
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,T,Hind,6,-0.017767134410735835,0.0007683819310313427,0.0018821436586012052,-0.01765603596171455
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,aRF,Hind,7,-0.015554482257374531,0.0007541283988865323,0.0019952362000650835,-0.0161749224951703
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,imRF,Hind,7,-0.023134597488195557,0.001129257524869006,0.0029877345769517274,-0.0234701011769656
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,pRF,Hind,6,-0.01660885607317347,0.0006085288547681097,0.0014905851879420788,-0.01618382636221925
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rCb,Hind,7,-0.0188428485475228,0.001398465783266797,0.0036999926795570977,-0.0170961834707093
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rHR,Di,6,-0.021287010073125136,0.002400759300791908,0.005880635282181093,-0.02007143918566635
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rHb,Di,7,0.006062467824932071,0.0008537418621604817,0.0022587886511218195,0.0062232765087732
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rHi,Di,7,-0.013382177597524771,0.002817271056967549,0.007453798592596218,-0.0126194662043961
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rMON,Hind,7,-0.014386165113648099,0.0020452224683437303,0.005411150027039183,-0.0118586997352598
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rMOS1,Hind,7,-0.012194726241964883,0.0008104384229178135,0.0021442185199719243,-0.0115829579622008
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rMOS2,Hind,7,-0.002178713630745457,0.00036672249508621046,0.0009702565221712193,-0.0026234666040952
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rMOS3,Hind,7,-0.017252600490713713,0.0008480515758445633,0.0022437335686411454,-0.0168823152257718
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rMOS4,Hind,7,-0.010334502479068858,0.0012698591046301135,0.0033597313909424303,-0.010504792298498
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rMOS5,Hind,6,-0.009576065698715499,0.0016155699295299579,0.003957321971132573,-0.0081210884484585
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rNX,Hind,7,-0.023138050018906238,0.0025229899971198843,0.006675204092682782,-0.0196565135181114
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rP,Tel,6,0.0080757533219854,0.0011664655338347863,0.002857245360438413,0.00759397324875335
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rPO,Tel,6,0.007052959485664333,0.0008124582556924541,0.001990108163758179,0.0076487826469181005
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rPT,Di,7,-0.008439274187510157,0.001155178855200195,0.0030563159706600085,-0.0069761662586783
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rPrT,Di,7,-0.021609463511702832,0.0008966185854070028,0.0023722297978654564,-0.0212097871472893
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rRa,Hind,7,-0.021154908789307543,0.0017705759686162633,0.004684503690305936,-0.0201237637248414
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rSP,Tel,7,0.005425842404136701,0.0026231556505791668,0.00694021750164632,0.0047638318603937
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rT,Hind,7,-0.021031803937554515,0.0013388827872928746,0.0035423508898419363,-0.0209693085801675
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rTS,Mes,4,-0.011481030598470499,0.0035221499207660233,0.007044299841532047,-0.010682478583917
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rTeO,Mes,6,-0.021608651583482383,0.0006986337775570413,0.0017112962720878368,-0.02188608957250305
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rTh,Di,7,-0.011505508949185127,0.0011609018569899857,0.0030714576101485724,-0.0112954475682798
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,raRF,Hind,6,-0.02160379933060247,0.001345858249952185,0.0032966659784979956,-0.020465141367673502
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rimRF,Hind,7,-0.02487557757937516,0.0010032280741203894,0.0026542919924008247,-0.0239927077739265
figure_supply_2_proc,A,$\mathrm{DCA}_{\mathrm{post}}$,rpRF,Hind,7,-0.00830565792733837,0.0006780927900833797,0.001794064888386548,-0.0072699438575574
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,OB,Tel,7,0.0023384373845507754,0.0017488490631380454,0.0046270197016515646,7.447734217106065e-05
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rOB,Tel,7,-0.006873298511620456,0.0015090622559860059,0.003992603442253064,-0.0061822603428277
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,P,Tel,7,-0.03412824143599904,0.0016635424461999605,0.004401319608045142,-0.0353708364349897
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,PO,Tel,5,0.00676338779465732,0.001316898653306656,0.0029446749082716107,0.0070408566713996
