species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
C. elegans,EdgeStdFCV,olf./chemo,162.0,0.2853648214000087,0.3510269992321514,0.842549103566361,,,,,,,,
C. elegans,EdgeStdFCV,sensory neurons,463.0,-0.13791424557465698,-0.1852093406109896,0.9576695858353266,,,,,,,,
C. elegans,EdgeStdFCV,interneurons,271.0,-0.14314952312046159,-0.2267906676296268,0.9926148946376474,,,,,,,,
C. elegans,EdgeStdFCV,motor / command,323.0,0.2032464080345584,0.3788612676294714,1.0545300979677672,,,,,,,,
C. elegans,EdgeStdFCV,state-modulatory,51.0,-0.18097792931869908,-0.17890095313434062,1.1430364029321975,,,,,,,,
C. elegans,EdgeStdFCV,__global_kruskal__,1270.0,,,,44.78604466959138,4.404740244094583e-09,,,,,,
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,sensory neurons,162.0,463.0,1.1181684436610515e-06,1.0063515992949464e-05
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,interneurons,162.0,271.0,1.16804144788563e-05,9.34433158308504e-05
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,motor / command,162.0,323.0,0.9619220436617445,1.0
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,state-modulatory,162.0,51.0,0.011207467698033123,0.06724480618819874
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,interneurons,463.0,271.0,0.9654731056812115,1.0
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,motor / command,463.0,323.0,4.7499948801063196e-07,4.74999488010632e-06
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,state-modulatory,463.0,51.0,0.9185049009995677,1.0
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,interneurons,motor / command,271.0,323.0,2.0881654325466434e-05,0.00014617158027826503
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,interneurons,state-modulatory,271.0,51.0,0.9607711243153818,1.0
C. elegans,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,motor / command,state-modulatory,323.0,51.0,0.02501510409861217,0.12507552049306087
C. elegans,FCS,olf./chemo,162.0,-0.2974581060521114,-0.24383400697567492,0.668896810805668,,,,,,,,
C. elegans,FCS,sensory neurons,463.0,0.42352089105838,0.3689807411071582,0.9507949694845798,,,,,,,,
C. elegans,FCS,interneurons,271.0,-0.22962896864448848,-0.28701454761095985,0.9574189406196745,,,,,,,,
C. elegans,FCS,motor / command,323.0,-0.13180195656849342,-0.14895312757581264,1.0278815276717537,,,,,,,,
C. elegans,FCS,state-modulatory,51.0,-0.8451073903001595,-0.7835079988878251,0.8820707443039825,,,,,,,,
C. elegans,FCS,__global_kruskal__,1270.0,,,,147.26652385417654,7.841751648046635e-31,,,,,,
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,sensory neurons,162.0,463.0,2.4954269701403913e-17,2.495426970140391e-16
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,interneurons,162.0,271.0,0.5674633295807893,0.5674633295807893
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,motor / command,162.0,323.0,0.06991361072449916,0.20974083217349748
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,state-modulatory,162.0,51.0,2.036916238485559e-05,0.00010184581192427796
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,interneurons,463.0,271.0,1.2280554573076515e-16,1.1052499115768864e-15
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,motor / command,463.0,323.0,5.78174139022474e-13,4.047218973157318e-12
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,state-modulatory,463.0,51.0,3.0618753407124144e-15,2.4495002725699315e-14
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,interneurons,motor / command,271.0,323.0,0.21114821250807325,0.4222964250161465
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,interneurons,state-modulatory,271.0,51.0,6.821687227740119e-05,0.00027286748910960475
C. elegans,FCS,__pairwise_mannwhitney_holm__,,,,,,,motor / command,state-modulatory,323.0,51.0,4.3516356723102095e-06,2.6109814033861257e-05
C. elegans,ProfileCorrDistFCV,olf./chemo,162.0,0.6078092146566212,0.6879539996051,0.9189833905986309,,,,,,,,
C. elegans,ProfileCorrDistFCV,sensory neurons,463.0,0.01765347774598364,-0.11322036800644103,0.9219595056180238,,,,,,,,
C. elegans,ProfileCorrDistFCV,interneurons,271.0,0.001164031667568167,0.0861041274301942,1.0299562830315407,,,,,,,,
C. elegans,ProfileCorrDistFCV,motor / command,323.0,-0.3248355794801357,-0.36511549421752154,0.9731323474567244,,,,,,,,
C. elegans,ProfileCorrDistFCV,state-modulatory,51.0,-0.0398473211880426,-0.01990534494495472,1.0566166065379192,,,,,,,,
C. elegans,ProfileCorrDistFCV,__global_kruskal__,1270.0,,,,87.1556483426604,5.2906653978166404e-18,,,,,,
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,sensory neurons,162.0,463.0,4.7412050763053735e-11,4.267084568674836e-10
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,interneurons,162.0,271.0,1.2032580904588088e-08,9.62606472367047e-08
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,motor / command,162.0,323.0,1.826824908962501e-19,1.826824908962501e-18
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,state-modulatory,162.0,51.0,0.00014186422706669003,0.0007093211353334501
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,interneurons,463.0,271.0,0.9838835134882622,1.0
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,motor / command,463.0,323.0,4.13578385719939e-06,2.895048700039573e-05
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,state-modulatory,463.0,51.0,0.7483173961582414,1.0
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,interneurons,motor / command,271.0,323.0,9.26157027761874e-05,0.0005556942166571244
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,interneurons,state-modulatory,271.0,51.0,0.6263003536852771,1.0
C. elegans,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,motor / command,state-modulatory,323.0,51.0,0.08394073194762187,0.3357629277904875
C. elegans,FCSHalfLifeWindows,olf./chemo,162.0,-0.021516872415836077,-0.12056131890692391,0.9694790247972102,,,,,,,,
C. elegans,FCSHalfLifeWindows,sensory neurons,463.0,-0.07485283914311085,-0.11098191616189672,1.0211773076355493,,,,,,,,
C. elegans,FCSHalfLifeWindows,interneurons,271.0,0.020814600586284912,-0.020623984710646397,0.9667014834048712,,,,,,,,
C. elegans,FCSHalfLifeWindows,motor / command,323.0,0.09944456220009489,0.041016598495137044,1.0218724772592909,,,,,,,,
C. elegans,FCSHalfLifeWindows,state-modulatory,51.0,0.007475441276703784,0.06298205489201647,0.9204456168833605,,,,,,,,
C. elegans,FCSHalfLifeWindows,__global_kruskal__,1270.0,,,,6.272445891474945,0.1797047762948254,,,,,,
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,sensory neurons,162.0,463.0,0.6254798675394301,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,interneurons,162.0,271.0,0.4951742935445975,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,motor / command,162.0,323.0,0.18639681557073506,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olf./chemo,state-modulatory,162.0,51.0,0.44294387174082717,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,interneurons,463.0,271.0,0.16699522828194502,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,motor / command,463.0,323.0,0.021630670246050948,0.21630670246050948
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,state-modulatory,463.0,51.0,0.2749585669453841,1.0
