species,node,EdgeStdFCV,FCS,ProfileCorrDistFCV,FCSHalfLifeWindows,n_recordings,level,window_config,root_area_id,normalization
C. elegans,ADAL,-0.5645734043288303,0.20491575451081356,0.8990326220203637,0.031231762430822246,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ADAR,-1.1131455752456976,0.2141654556094629,1.9195788501300521,-0.5327157315365787,1,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ADEL,-0.9594206912803368,-0.06426380343279711,1.0164111515509129,0.07789363286270136,15,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ADER,-1.2232546837023324,-0.6312427374859745,1.255855780987364,-0.408996458337766,8,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ADLL,-0.23924755544999904,-0.4870459327494272,1.754868713546535,-0.046790155850571724,9,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ADLR,0.3055545828186178,-0.25724449443950165,1.0847968182072416,-1.0105638132469834,5,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIBL,0.9811485212148382,-0.37302593000864415,-1.459070564356719,0.41104803804824885,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIBR,0.8820471275512428,-0.4543236098971511,-1.3415771051543717,0.3524702036034434,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIML,0.9681821108084344,-1.505868031541553,0.13902515117117772,-0.5923779883755497,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIMR,0.7860068505129321,-0.7064674115554626,0.05856745598947832,0.48554316843727163,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AINL,0.36421652515601305,-0.6589906732249817,0.8319645191688704,-0.22862353548292594,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AINR,-0.4216258862265929,-0.4445522043094712,0.499293536069961,0.3731220315858898,11,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIYL,-0.7231062055225451,-0.3847643188607111,0.6696625427354942,0.46627533004096794,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIYR,-0.13121695780028161,-0.7718486355879797,0.042425028939725676,0.34173615330117635,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIZL,-0.8896008985456061,0.32431608552188085,0.7343358738702498,-0.22383041131970877,15,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AIZR,-1.3167952854281442,0.09716834240895714,0.8873475926265519,-0.07636348314289217,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ALA,-0.36671363753403863,-0.4130799028428504,1.2033120810619045,0.08401756992619078,2,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AQR,-0.5066244403314731,-0.5581972137863191,0.09664624515445397,0.8486367392137303,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASEL,0.5999583936775703,-0.5180904408485838,0.4927206992630867,-0.3003445011778865,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASER,0.7767642771058964,-0.23548607819754716,1.4639019267992819,-0.9987971035620032,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASGL,0.8773969832466972,-0.4022201784687653,-0.26280397538715106,0.5083950809095521,15,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASGR,0.24484079512026644,-0.29348457242587106,-0.5765816763306326,0.2999660620085209,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASHL,0.6738876331718797,0.3110970173835121,0.9232957410990386,-0.20446225052079056,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASIL,1.1971120119688037,-0.6522530977963871,1.5971933407842314,-0.6273813991157547,5,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASIR,0.4849856275222814,-0.7324724324560794,1.188799583291816,0.3124598875202452,6,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASKL,0.5828654075667257,-0.040458528819841834,1.6896940861905845,-0.6017196731250393,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,ASKR,-0.11150509965186407,-0.3357990990975889,1.1896602251526422,-0.190657799673739,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AUAL,-0.2375001825649381,-0.7283014898075467,-0.3904788718032823,0.23737220503905057,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AUAR,-0.16187797891195846,-0.6984340366500934,-0.4978240832981086,-0.29424810150382114,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AVAL,0.9531506706687886,-1.0562279150462983,-1.3889007675857044,0.5799511341358765,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
C. elegans,AVAR,0.6793322880147115,-1.0562891099050224,-1.3715922272931158,0.4253059242134664,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean
