species,node,fc_fdr_q,n_recordings,NeighborNetTE,n_fc_neighbors,NeighborNetTE_z
C. elegans,ADAL,1e-05,12,0.003524883956459801,15.833333333333334,2.165962978375646
C. elegans,ADAL,3e-05,12,0.003159121458529868,17.5,1.7015619860371918
C. elegans,ADAL,0.0001,12,0.002412538970722806,20.5,1.195182409485883
C. elegans,ADAL,0.0003,12,0.00231726702254412,23.333333333333332,1.715545320532449
C. elegans,ADAL,0.001,12,0.0021135117002693093,26.833333333333332,2.071207378493949
C. elegans,ADAL,0.003,12,0.0019480854155331725,29.833333333333332,2.3293748578114486
C. elegans,ADAL,0.01,12,0.0015633819441703107,33.916666666666664,1.9431614892781748
C. elegans,ADAL,0.03,12,0.0013764368750579287,39.25,2.4870032060176466
C. elegans,ADAL,0.05,12,0.0011495076392658466,41.333333333333336,2.2427214917673126
C. elegans,ADAL,0.1,12,0.0009698488233998818,45.333333333333336,2.3804932036188675
C. elegans,ADAL,0.2,12,0.0006854663123381653,50.666666666666664,1.7843139587341208
C. elegans,ADAR,1e-05,1,-0.003755222550051655,1.0,-4.398078662276729
C. elegans,ADAR,3e-05,1,-0.0025737986747770467,3.0,-3.0242368379154683
C. elegans,ADAR,0.0001,1,0.000764787350437618,5.0,-0.2531239192438658
C. elegans,ADAR,0.0003,1,-0.0006469990864277961,6.0,-1.944040534666363
C. elegans,ADAR,0.001,1,-0.0006403521551762439,9.0,-2.2579928689054594
C. elegans,ADAR,0.003,1,0.0006504099446507876,12.0,-0.05651354713353943
C. elegans,ADAR,0.01,1,0.0016431832937669518,16.0,2.1012932321065683
C. elegans,ADAR,0.03,1,0.0002057746680417523,21.0,-0.6816472947155513
C. elegans,ADAR,0.05,1,0.0010508932687950457,28.0,1.9460080690213737
C. elegans,ADAR,0.1,1,0.0008071233829377914,33.0,1.7764951858650047
C. elegans,ADAR,0.2,1,0.0005714630784636681,42.0,1.3004648618623036
C. elegans,ADEL,1e-05,15,0.0008391218993755572,10.133333333333333,-0.2556298875827112
C. elegans,ADEL,3e-05,15,0.0012084515548172344,11.933333333333334,0.09357280730646901
C. elegans,ADEL,0.0001,15,0.0014222423081030242,14.066666666666666,0.3247521176049121
C. elegans,ADEL,0.0003,15,0.002166925411196128,16.733333333333334,1.5299384910134464
C. elegans,ADEL,0.001,15,0.0014777665500522908,20.8,1.071786852980281
C. elegans,ADEL,0.003,15,0.0015141925951456469,24.066666666666666,1.5316254417362924
C. elegans,ADEL,0.01,15,0.0010630738699362512,28.666666666666668,0.951767382165493
C. elegans,ADEL,0.03,15,0.0009395101664202808,33.06666666666667,1.3043665531806425
C. elegans,ADEL,0.05,15,0.0008287464897746594,35.93333333333333,1.2776071976226022
