species,node,fc_fdr_q,n_recordings,NeighborNetTE,n_fc_neighbors,NeighborNetTE_z
C. elegans,ADAL,0.001,12,0.0021135117002693,26.83333333333333,2.071207378493949
C. elegans,ADAR,0.001,1,-0.0006403521551762,9.0,-2.25799286890546
C. elegans,ADEL,0.001,15,0.0014777665500522,20.8,1.071786852980281
C. elegans,ADER,0.001,8,0.0024497085009544,13.375,2.5997241640361315
C. elegans,ADLL,0.001,9,0.0005944476542002,9.555555555555555,-0.3168309521060481
C. elegans,ADLR,0.001,5,-0.0003855485524081,20.0,-1.8574299224255368
C. elegans,AIBL,0.001,16,0.0003671953708854,47.1875,-0.6740819611575237
C. elegans,AIBR,0.001,16,0.0003703659042271,46.8125,-0.6690977373732186
C. elegans,AIML,0.001,3,0.0016126653808254,37.66666666666666,1.2838540001640653
C. elegans,AIMR,0.001,4,0.0014194922370561,38.75,0.9801769610312115
C. elegans,AINL,0.001,12,0.0005292472425179,24.83333333333333,-0.4193289887563531
C. elegans,AINR,0.001,11,0.0008078343431352,26.454545454545453,0.0186227068330726
C. elegans,AIYL,0.001,3,0.0020326509934112,25.0,1.9440906397915063
C. elegans,AIYR,0.001,4,0.0003271443950558,35.0,-0.7370439315277382
C. elegans,AIZL,0.001,15,0.0006612335979707,24.4,-0.2118403863152742
C. elegans,AIZR,0.001,16,-7.20592276257063e-05,19.1875,-1.3646103301564363
C. elegans,ALA,0.001,2,0.0017766181045851,23.5,1.5415951992647632
C. elegans,AQR,0.001,4,0.0010539140632592,37.25,0.4054713098002096
C. elegans,ASEL,0.001,14,0.001167719230595,28.428571428571427,0.5843782509008055
C. elegans,ASER,0.001,7,0.0010708859771355,14.142857142857142,0.4321519365881358
C. elegans,ASGL,0.001,15,0.0003469641695731,38.86666666666667,-0.705886337235639
C. elegans,ASGR,0.001,12,0.0006959342434584,41.25,-0.1572893805589923
C. elegans,ASHL,0.001,7,0.0018549737083068,30.0,1.6647738009760709
C. elegans,ASIL,0.001,5,0.0010894354485438,15.8,0.4613125561486271
C. elegans,ASIR,0.001,6,0.0018629400068351,23.83333333333333,1.6772971875230256
