species,node,n_recordings,NetTE,NeighborNetTE,NetTE_z,NeighborNetTE_z
C. elegans,ADAL,12,-0.0010149157540877412,0.0021135117002693093,-0.19346678593446548,2.071207378493949
C. elegans,ADAR,1,-0.004690664283803393,-0.0006403521551762439,-0.9804027616024935,-2.2579928689054594
C. elegans,ADEL,15,-0.001601479097868314,0.0014777665500522908,-0.3190433300036468,1.071786852980281
C. elegans,ADER,8,-0.0021634197302798142,0.0024497085009544234,-0.4393484314705476,2.5997241640361315
C. elegans,ADLL,9,-0.0007216407759210907,0.0005944476542002147,-0.13067994695001353,-0.31683095210604817
C. elegans,ADLR,5,-0.0020769851302433555,-0.0003855485524081641,-0.4208437661591727,-1.8574299224255366
C. elegans,AIBL,16,0.010253703168314983,0.00036719537088546135,2.2190164278772735,-0.6740819611575237
C. elegans,AIBR,16,0.008981422009343583,0.0003703659042271092,1.94663549456118,-0.6690977373732186
C. elegans,AIML,3,-0.001185792102789378,0.0016126653808254093,-0.2300494697326183,1.2838540001640653
C. elegans,AIMR,4,0.0010904147491212954,0.001419492237056175,0.25726054218735983,0.9801769610312117
C. elegans,AINL,12,-0.003022195031291695,0.0005292472425179489,-0.6232024611785231,-0.4193289887563531
C. elegans,AINR,11,-0.005273060954601163,0.0008078343431352753,-1.1050872683512478,0.018622706833072645
C. elegans,AIYL,3,-0.005481522160349643,0.0020326509934112565,-1.149716442792434,1.9440906397915063
C. elegans,AIYR,4,-0.0040095761971971336,0.00032714439505584397,-0.8345895446165021,-0.7370439315277382
C. elegans,AIZL,15,-0.002651505173647496,0.0006612335979707006,-0.5438419765215255,-0.21184038631527427
C. elegans,AIZR,16,-0.0032216905363290395,-7.20592276257063e-05,-0.665912181016211,-1.3646103301564363
C. elegans,ALA,2,0.0027928520522923755,0.0017766181045851806,0.6217330161213199,1.5415951992647632
C. elegans,AQR,4,-0.0041023556859162225,0.0010539140632592771,-0.8544525784684901,0.4054713098002096
C. elegans,ASEL,14,0.0011983143539692832,0.0011677192305950266,0.28036062102268056,0.5843782509008055
C. elegans,ASER,7,-0.0008406373909626712,0.001070885977135527,-0.15615576952109209,0.4321519365881358
C. elegans,ASGL,15,0.0024133728113976626,0.0003469641695731331,0.5404908244248318,-0.705886337235639
C. elegans,ASGR,12,-0.0005048393206799185,0.0006959342434584369,-0.08426521990130051,-0.1572893805589923
C. elegans,ASHL,7,0.0022690879006277897,0.001854973708306876,0.5096010652062793,1.6647738009760709
C. elegans,ASIL,5,0.00035784779866847955,0.001089435448543849,0.10042628564442538,0.4613125561486271
C. elegans,ASIR,6,-0.003000594665762663,0.001862940006835143,-0.6185780684636901,1.6772971875230256
C. elegans,ASKL,3,-0.002407101954471759,0.0020237928142285764,-0.4915180255810232,1.930165175962445
C. elegans,ASKR,3,-0.0029638469712566624,0.0007074448159341851,-0.6107108048040983,-0.13919423285908705
C. elegans,AUAL,16,-0.003933581274423151,0.001072073121647233,-0.8183198955326496,0.43401818219196775
C. elegans,AUAR,7,0.003427298575733482,0.0008490950290794564,0.7575608046376191,0.0834863969694603
C. elegans,AVAL,16,-0.0006259689736565505,0.00028497656726092827,-0.1101977016466906,-0.8033336902465871
C. elegans,AVAR,14,2.3999226890166806e-05,0.0002806406866030946,0.028953101493259442,-0.8101498934439492
C. elegans,AVBL,4,0.008923172664688053,0.0005231322082422996,1.9341649720273468,-0.4289421030163947
C. elegans,AVBR,2,0.0003135821574711188,0.0002696561415601081,0.09094951505943907,-0.8274181019008168
