species,recording_id,node,n_nodes_recording,n_time,n_finite_net_te_edges,NetTE,NeighborNetTE,NetTE_z,NeighborNetTE_z,root_area_id,n_communities,n_cells
C. elegans,2023-01-05-01,AVER,68,802,4556,0.020395505161327265,-0.00017218181854625862,1.5529639760558795,-0.6277466376452351,,,
C. elegans,2023-01-05-01,RIH,68,802,4556,-0.011130954482459099,0.0013676981237641436,-0.8475382783434715,-0.02033490582714434,,,
C. elegans,2023-01-05-01,URYVL,68,802,4556,-0.002713488985405757,0.0003238926081196515,-0.20661173187069667,-0.4320681186045163,,,
C. elegans,2023-01-05-01,RMDDR,68,802,4556,-0.013420406400014729,0.0021281937814235574,-1.0218627839025471,0.2796456132813563,,,
C. elegans,2023-01-05-01,RMDL,68,802,4556,0.029012585733836315,0.0044664190691031435,2.2090897058196957,1.2019678231799902,,,
C. elegans,2023-01-05-01,RIBL,68,802,4556,0.046327557549016844,-0.00031731011213530994,3.527494288726745,-0.684993066878197,,,
C. elegans,2023-01-05-01,SMDVL,68,802,4556,0.005452414986764169,0.000309966293099544,0.41516030076113697,-0.4375614086278386,,,
C. elegans,2023-01-05-01,IL2VR,68,802,4556,-0.015762512007828917,0.0018405918145586405,-1.2001964710695874,0.16619988029414492,,,
C. elegans,2023-01-05-01,RMED,68,802,4556,0.007802780439051252,0.0002760505140306633,0.594122912821813,-0.45093962178209235,,,
C. elegans,2023-01-05-01,URXL,68,802,4556,0.011313613303311213,0.00025259933334475636,0.861446370663246,-0.46019003272791814,,,
C. elegans,2023-01-05-01,ADEL,68,802,4556,-0.00026269241044979327,0.003473006094291936,-0.020002046871844488,0.8101121473827635,,,
C. elegans,2023-01-05-01,RMDDL,68,802,4556,-0.005114264441661271,0.001256022320475005,-0.3894126857413242,-0.06438586799258218,,,
C. elegans,2023-01-05-01,ASKR,68,802,4556,-0.005890723394051,-0.0011648029634178274,-0.44853418199304373,-1.0192899729919331,,,
C. elegans,2023-01-05-01,AUAL,68,802,4556,-0.004493713361047275,-0.00040437429076792427,-0.3421623986867343,-0.7193358763852877,,,
C. elegans,2023-01-05-01,AVAR,68,802,4556,0.002156924292966546,-0.0006399422317197309,0.16423352594414792,-0.8122565821123032,,,
C. elegans,2023-01-05-01,AIZL,68,802,4556,-0.007114688945043434,0.0017445583669977581,-0.5417299324091095,0.12831910719445927,,,
