species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group,OO_fraction,OO_count,II_fraction,II_count,out_degree,DCA_recomputed,cell_class,OO_minus_II,oo_level,oo_source,OO_fraction_edgecheck,n_oo_cells,n_cells,big_group,PostDCA_from_oo_source,oo_node,Division,InterOutDegree,NN_fraction,ON_fraction,NO_fraction,n_subjects
C. elegans,ADAL,-0.5633888275944742,-0.0506460303835138,0.0264221825014289,0.3572965606407512,1-hop induced structural neighborhood modularity Q,129.0,5.0,0.9694005571881036,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.5238095238095238,11.0,0.0,0.0,21.0,0.04323153152314494,Interneuron,0.5238095238095238,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ADAR,-1.1131455752456976,-0.0456181331762736,0.0322677412610034,0.3931455113085331,1-hop induced structural neighborhood modularity Q,120.0,6.0,0.7348198769605134,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.4444444444444444,8.0,0.0,0.0,18.0,0.03445533250061957,Interneuron,0.4444444444444444,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ADEL,-0.9583976106838344,-0.03157723490657,0.1383355165121818,0.5232073289505723,1-hop induced structural neighborhood modularity Q,114.0,5.0,1.170932950247736,node_mean,,2.0,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,0.5294117647058824,18.0,0.0,0.0,34.0,0.023733010158860923,Sensory,0.5294117647058824,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ADER,-1.2200912755419644,-0.0379609791744908,0.055715481108768,0.4472562074928453,1-hop induced structural neighborhood modularity Q,97.0,4.0,0.8434293836092832,node_mean,,2.0,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,0.68,17.0,0.0,0.0,25.0,0.0307085258137396,Sensory,0.68,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ADLL,-0.239247555449999,-0.0220011079190079,0.0364596536509274,0.4298889504713291,1-hop induced structural neighborhood modularity Q,105.0,4.0,2.0082140323914683,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.6666666666666666,16.0,0.0,0.0,24.0,0.06100334008966253,Sensory,0.6666666666666666,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ADLR,0.3055545828186178,-0.0163826686176243,0.0130064956132039,0.4564707756039977,1-hop induced structural neighborhood modularity Q,127.0,5.0,1.0601460078403135,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.56,14.0,0.0,0.0,25.0,0.054201907660213114,Sensory,0.56,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIBL,0.9820569098964484,-0.0362443906814683,0.0210420056080165,0.4803576556739287,1-hop induced structural neighborhood modularity Q,171.0,6.0,-0.4093335848860847,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.5,11.0,0.0,0.0,22.0,0.01771605837546812,Interneuron,0.5,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIBR,0.8827592495661705,-0.018654001099111,0.0187936784794491,0.4907818875041301,1-hop induced structural neighborhood modularity Q,212.0,6.0,-0.7919477653040387,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.0,0.0,0.4,10.0,25.0,-0.008892964148591531,Interneuron,-0.4,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIML,0.9681821108084344,0.003309356207847,0.0051363806056891,0.4884764542936288,1-hop induced structural neighborhood modularity Q,41.0,4.0,1.0498221244986776,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.7222222222222222,13.0,0.0,0.0,18.0,0.0018642364000560146,Interneuron,0.7222222222222222,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIMR,0.7860068505129321,0.006319478465967,0.0144970585762402,0.565523928277917,1-hop induced structural neighborhood modularity Q,71.0,5.0,1.3564413979702097,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.8181818181818182,18.0,0.0,0.0,22.0,0.005007474122541194,Interneuron,0.8181818181818182,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
