species,node,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,PostDCA,PreDCA,Modularity,LogOutIn,OO_fraction,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,ADAL,-0.5633888275944742,0.2033817605912378,0.9006594460487305,-0.2132818767015855,0.8337789466609936,-0.0506460303835138,0.0264221825014289,0.3572965606407512,0.9694005571881036,0.5238095238095238,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,ADAR,-1.1131455752456976,0.2141654556094629,1.919578850130052,-0.6793580447065811,-1.3522503345743968,-0.0456181331762736,0.0322677412610034,0.3931455113085331,0.7348198769605134,0.4444444444444444,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,ADEL,-0.9583976106838344,-0.064911602300625,1.018040673597253,-0.2176332887962328,0.4942254083235189,-0.03157723490657,0.1383355165121818,0.5232073289505723,1.170932950247736,0.5294117647058824,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,ADER,-1.2200912755419644,-0.63206413571546,1.259262468579745,-0.2955419912336096,0.4395484880776998,-0.0379609791744908,0.055715481108768,0.4472562074928453,0.8434293836092832,0.68,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,ADLL,-0.239247555449999,-0.4870459327494272,1.754868713546535,-0.0486743520522009,0.0635377653920349,-0.0220011079190079,0.0364596536509274,0.4298889504713291,2.0082140323914683,0.6666666666666666,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ADLR,0.3055545828186178,-0.2572444944395016,1.0847968182072416,-0.3281148687322128,-0.9223364159310292,-0.0163826686176243,0.0130064956132039,0.4564707756039977,1.0601460078403135,0.56,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AIBL,0.9820569098964484,-0.3747629664811975,-1.4599047262818814,1.4417466559474972,-0.2522708679161414,-0.0362443906814683,0.0210420056080165,0.4803576556739287,-0.4093335848860847,0.5,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIBR,0.8827592495661705,-0.4564328155579609,-1.342647067397087,0.9975964315583956,-0.1836121357217245,-0.018654001099111,0.0187936784794491,0.4907818875041301,-0.7919477653040387,0.0,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIML,0.9681821108084344,-1.505868031541553,0.1390251511711777,-0.1397088147829918,0.819937782427495,0.003309356207847,0.0051363806056891,0.4884764542936288,1.0498221244986776,0.7222222222222222,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIMR,0.7860068505129321,-0.7064674115554626,0.0585674559894783,0.2202357396586161,0.6882119534214624,0.006319478465967,0.0144970585762402,0.565523928277917,1.3564413979702097,0.8181818181818182,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AINL,0.364216525156013,-0.6589906732249817,0.8319645191688704,-0.4635351903899516,-0.0470183767467158,-0.0027406274381846,0.0163902618178463,0.4471630420855222,1.6739764335716716,0.5714285714285714,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AINR,-0.4216258862265929,-0.4445522043094712,0.499293536069961,-0.6669280178430627,-0.1050630204120062,0.0050045042788847,0.0082381453760399,0.5147724614921984,2.0243817644968085,0.7058823529411765,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIYL,-0.7231062055225451,-0.3847643188607111,0.6696625427354942,-0.7700563156186179,1.0148094122713822,0.0387711934053101,0.014331784418101,0.3995716822787896,0.4534743272945249,0.8333333333333334,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIYR,-0.1312169578002816,-0.7718486355879797,0.0424250289397256,-0.6071510307366352,-0.1866328583307618,0.0538733599112803,0.0090704486755844,0.4216142261088249,0.4380086558406358,0.7857142857142857,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIZL,-0.8887195903046528,0.3246659599590268,0.7344502148481464,-0.3610583444712801,0.0131369852524128,0.0204181099660161,0.0474467650663529,0.403145092335744,0.1375555429242481,0.55,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIZR,-1.316377113314144,0.0960115743887343,0.8888211301101686,-0.500715658557288,-0.694485808741311,0.020458202282866,0.0485028683518328,0.3995200126791898,-0.0962768304354198,0.5625,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,ALA,-0.3617826300444622,-0.4090532296357489,1.2081293131907451,0.2118497894725179,-0.05710591639063,-0.0440910493247112,0.0339861142347755,0.5251595457003787,0.6931471805599453,0.4285714285714285,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,AQR,-0.5066244403314731,-0.5581972137863191,0.0966462451544539,-0.4332392485383755,0.1029824570171755,-0.0209444244297973,0.0392952149138182,0.330075863261283,0.9162907318741552,0.5789473684210527,2,other sensory,other sensory,thermo/gas sensory,sensory neurons
C. elegans,ASEL,0.5999583936775703,-0.5180904408485838,0.4927206992630867,0.1671808327193268,0.4189530060888308,0.0406559890302322,0.0092507197028675,0.3711846860219897,1.2299482907291963,0.7647058823529411,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASER,0.7767642771058964,-0.2354860781975471,1.463901926799282,-0.1317297493893244,0.1398738334201192,0.0341258340724581,0.0167177457883876,0.3970476139049279,0.3841423386393431,0.7058823529411765,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASGL,0.879999177469131,-0.402518660251175,-0.2617369140805302,0.3310915101472098,-0.2318511387424855,-0.005239233925971,0.0084972584535816,0.0621280276816608,1.329135947279942,0.75,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASGR,0.2448407951202664,-0.293484572425871,-0.5765816763306326,-0.0838639500981662,0.0515834948094006,-0.0032007243294031,0.0077206012072321,0.22562269161503,1.203972804325936,0.6,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASHL,0.6738876331718797,0.3110970173835121,0.9232957410990386,0.3694228454559929,0.8885555916733329,-0.0173948774511532,0.0224048983033459,0.4376725188340011,1.820332841672111,0.75,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASIL,1.1971120119688037,-0.6522530977963871,1.5971933407842314,1.3934127227055448e-06,0.2664501950299685,0.0315659701679215,0.0068757177773338,0.4106647427926599,0.8938178760220965,0.8823529411764706,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
