species,n,FC_feature,SC_feature,pearson_r,pearson_p,BH_FDR_p,BH_FDR_significant
C. elegans,120,FCV,Post-DCA,0.1654607324078768,0.07091369160416318,0.16116748091855268,False
C. elegans,120,FCV,Pre-DCA,-0.16569079817355828,0.0705168625505251,0.16116748091855268,False
C. elegans,120,FCV,Modularity,0.20320584891381202,0.02601501114639448,0.08129690983248275,False
C. elegans,120,FCV,log(out/in),-0.2758607798304827,0.002290871203983007,0.011454356019915036,True
C. elegans,120,FCV,OO motif,-0.13287602961710887,0.14796074230398346,0.28453988904612204,False
C. elegans,120,FCS,Post-DCA,-0.013485289377414899,0.8837758468504282,0.8837758468504282,False
C. elegans,120,FCS,Pre-DCA,0.03934534541430587,0.6696265321485004,0.72785492624837,False
C. elegans,120,FCS,Modularity,0.04652908950260762,0.6138123481514267,0.7183192867258175,False
C. elegans,120,FCS,log(out/in),0.04414385701451813,0.6321209723187193,0.7183192867258175,False
C. elegans,120,FCS,OO motif,-0.02492053506208232,0.787025340148222,0.8198180626543979,False
C. elegans,120,Profile dist.,Post-DCA,0.11194050372798292,0.22351230783320503,0.39912912113072324,False
C. elegans,120,Profile dist.,Pre-DCA,-0.049458878305056894,0.5916459081462848,0.7183192867258175,False
C. elegans,120,Profile dist.,Modularity,-0.1718342291202058,0.060568680732456755,0.16116748091855268,False
C. elegans,120,Profile dist.,log(out/in),0.46938481733489046,6.37613094515289e-08,1.5940327362882227e-06,True
C. elegans,120,Profile dist.,OO motif,0.4290306156894793,1.0125140067669947e-06,1.2656425084587434e-05,True
C. elegans,120,NetTE,Post-DCA,0.10167745496449179,0.2691469975412168,0.4205421836581512,False
C. elegans,120,NetTE,Pre-DCA,0.08725170853251132,0.34333360926033457,0.451754749026756,False
C. elegans,120,NetTE,Modularity,0.08904717858943065,0.33345611743783093,0.451754749026756,False
C. elegans,120,NetTE,log(out/in),-0.29848502943681443,0.0009285130667012902,0.006107937164019095,True
C. elegans,120,NetTE,OO motif,-0.2972508463600927,0.0009772699462430553,0.006107937164019095,True
C. elegans,120,Neighbor NetTE,Post-DCA,0.22650576589349175,0.012857328912987166,0.0535722038041132,False
C. elegans,120,Neighbor NetTE,Pre-DCA,-0.14508103728222757,0.11387226824797213,0.23723389218327526,False
C. elegans,120,Neighbor NetTE,Modularity,0.10494773634337903,0.25396773268902084,0.4205421836581512,False
C. elegans,120,Neighbor NetTE,log(out/in),0.09010431893258078,0.3277259713878338,0.451754749026756,False
C. elegans,120,Neighbor NetTE,OO motif,0.20876481856163692,0.02212347071680553,0.07901239541716261,False
Drosophila,35,FCV,Post-DCA,-0.2898191689521888,0.09126031846768841,0.20236305781434333,False
Drosophila,35,FCV,Pre-DCA,0.6192214407382318,7.312168414033422e-05,0.0018280421035083555,True
Drosophila,35,FCV,Modularity,0.16891693820564652,0.3320328194337761,0.3952771659925906,False
Drosophila,35,FCV,log(out/in),-0.25072909527645454,0.14628332716257086,0.24380554527095144,False
Drosophila,35,FCV,OO motif,0.3406214384551597,0.04525413154241948,0.14695684349500998,False
Drosophila,35,FCS,Post-DCA,-0.19336733464933903,0.2657191222859868,0.3321489028574835,False
Drosophila,35,FCS,Pre-DCA,0.4274797529201404,0.010424578004853649,0.0517068648199373,False
Drosophila,35,FCS,Modularity,0.24075280152723383,0.16356660719472327,0.2505270925579402,False
Drosophila,35,FCS,log(out/in),-0.3380271958749756,0.04702618991840319,0.14695684349500998,False
Drosophila,35,FCS,OO motif,0.29981587265890497,0.080148668339967,0.20037167084991753,False
Drosophila,35,Profile dist.,Post-DCA,0.2784985124757051,0.10522879006345853,0.20236305781434333,False
Drosophila,35,Profile dist.,Pre-DCA,-0.5345369658558797,0.0009400588333378054,0.011750735416722566,True
Drosophila,35,Profile dist.,Modularity,-0.2173176391400826,0.20983180091967543,0.29143305683288256,False
Drosophila,35,Profile dist.,log(out/in),0.23704042417647359,0.17035842293939932,0.2505270925579402,False
Drosophila,35,Profile dist.,OO motif,-0.20661811348716394,0.23370108566953393,0.30750142851254464,False
Drosophila,35,NetTE,Post-DCA,-0.4485343115464537,0.006883096776836483,0.04301935485522802,True
Drosophila,35,NetTE,Pre-DCA,0.4742363047506581,0.004000720913347509,0.033339340944562576,True
Drosophila,35,NetTE,Modularity,-0.040613621334551465,0.8168154852251748,0.8508494637762237,False
Drosophila,35,NetTE,log(out/in),-0.003026771876553081,0.9862321362857657,0.9862321362857657,False
Drosophila,35,NetTE,OO motif,0.30308400362435794,0.07675314336769327,0.20037167084991753,False
Drosophila,35,Neighbor NetTE,Post-DCA,0.1367393075586506,0.43346797926492675,0.49257724916468953,False
Drosophila,35,Neighbor NetTE,Pre-DCA,-0.4182394974020326,0.01240964755678495,0.0517068648199373,False
Drosophila,35,Neighbor NetTE,Modularity,-0.2569270507373214,0.13624015948608137,0.24328599908228815,False
Drosophila,35,Neighbor NetTE,log(out/in),0.12300851968376103,0.4814454642164456,0.5233102871917886,False
Drosophila,35,Neighbor NetTE,OO motif,-0.27969771000366894,0.10367679711601926,0.20236305781434333,False
Zebrafish,273,FCV,Post-DCA,0.5700174229744616,6.361635938349267e-25,1.5904089845873168e-23,True
Zebrafish,273,FCV,Pre-DCA,-0.30249806619454145,3.4870487557317337e-07,7.264684907774445e-07,True
Zebrafish,273,FCV,Modularity,0.29608347802881496,6.299452082648081e-07,1.2114330928169386e-06,True
Zebrafish,273,FCV,log(out/in),0.39875566717348093,7.686633429383198e-12,6.405527857819333e-11,True
Zebrafish,273,FCV,OO motif,0.5287104969010494,4.617341354658271e-21,5.771676693322839e-20,True
Zebrafish,273,FCS,Post-DCA,-0.34425740588750003,5.173612921898723e-09,1.8477189006781152e-08,True
Zebrafish,273,FCS,Pre-DCA,0.2442571870600993,4.5185227772013844e-05,7.53087129533564e-05,True
Zebrafish,273,FCS,Modularity,-0.1475549674524024,0.014679406745700048,0.017475484221071487,True
Zebrafish,273,FCS,log(out/in),-0.33291736967647356,1.7296253462203492e-08,5.4050792069385913e-08,True
Zebrafish,273,FCS,OO motif,-0.04808611358853074,0.4287541838776642,0.4608665328511574,False
Zebrafish,273,Profile dist.,Post-DCA,0.20736656127951836,0.0005645617899840816,0.0008302379264471789,True
Zebrafish,273,Profile dist.,Pre-DCA,-0.31401555556806454,1.1629457406991902e-07,2.907364351747976e-07,True
Zebrafish,273,Profile dist.,Modularity,0.3893523103783789,2.5819187594993093e-11,1.6136992246870682e-10,True
Zebrafish,273,Profile dist.,log(out/in),0.3713185242694879,2.3739504199410556e-10,1.1869752099705277e-09,True
