species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,global_permutation_p,n_perm,group_i,group_j,n_i,n_j,observed_abs_mean_diff,global_maxT_perm_p
C. elegans,PostDCA,olf./chemo,17.0,0.013882210872926523,0.0178208159686248,0.023010345822094908,,,,,,,,,,
C. elegans,PostDCA,motor / command,33.0,-0.059508203088747,-0.0316193482880172,0.08285713152934249,,,,,,,,,,
C. elegans,PostDCA,state-modulatory,7.0,-0.06990652224221322,-0.0440910493247112,0.04812315130172624,,,,,,,,,,
C. elegans,PostDCA,interneurons,29.0,-0.00682660000988626,-0.0017944493823752,0.04190328765922869,,,,,,,,,,
C. elegans,PostDCA,sensory neurons,34.0,-0.03750155219012045,-0.0353140635094088,0.052942753958748257,,,,,,,,,,
C. elegans,PostDCA,__global_permutation__,120.0,,,,21.507836007275273,0.0002510819014371535,0.00029997000299970003,10000.0,,,,,,
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,motor / command,17.0,33.0,0.07339041396167352,0.015598440155984402
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,state-modulatory,17.0,7.0,0.08378873311513975,0.005499450054994501
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,interneurons,17.0,29.0,0.020708810882812782,0.8553144685531446
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,sensory neurons,17.0,34.0,0.05138376306304697,0.14278572142785723
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,state-modulatory,33.0,7.0,0.010398319153466222,0.9864013598640136
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,interneurons,33.0,29.0,0.05268160307886074,0.1284871512848715
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,sensory neurons,33.0,34.0,0.02200665089862655,0.8264173582641736
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state-modulatory,interneurons,7.0,29.0,0.06307992223232696,0.048995100489951
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state-modulatory,sensory neurons,7.0,34.0,0.03240497005209277,0.5413458654134586
C. elegans,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,interneurons,sensory neurons,29.0,34.0,0.030674952180234187,0.5906409359064093
C. elegans,PreDCA,olf./chemo,17.0,0.017140575300007066,0.014307224674721,0.015679242000149866,,,,,,,,,,
C. elegans,PreDCA,motor / command,33.0,0.03779111137255644,0.0383452695813948,0.03663705048646332,,,,,,,,,,
C. elegans,PreDCA,state-modulatory,7.0,0.019049870404362484,0.0181399683287866,0.0193296092685658,,,,,,,,,,
C. elegans,PreDCA,interneurons,29.0,0.02255500512556791,0.0210420056080165,0.01724809757799697,,,,,,,,,,
