species,measure,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_intercept
C. elegans,PostDCA,120,0.16534877783505597,0.07110744930828673,0.14288492256406693,0.11950792380894955,2.064330080038708,0.07014578752257877
C. elegans,PreDCA,120,-0.16571823067395164,0.07046966581808796,-0.16676158066532396,0.06869352089459875,-4.655669590384454,0.13736623037935278
C. elegans,Modularity,120,0.2035293085801463,0.025773550447511742,0.1864435030210431,0.04145769789479924,1.5353693663365466,-0.5692260948033016
C. elegans,LogOutIn,120,-0.27599216109992136,0.0022793691020869117,-0.26460564033243633,0.0034945623331335096,-0.18405670206922906,0.0639179972580393
Drosophila,PostDCA,37,-0.2599093020139279,0.12029440538951497,-0.1161688003793267,0.4935346356247966,-6.633188407613325,0.10571580160982698
Drosophila,PreDCA,37,0.5771148024939825,0.00018449377460011174,0.5979137031768611,9.307734615956473e-05,8.735449797680944,0.09733239359923342
Drosophila,Modularity,35,0.16891693820564652,0.3320328194337761,-0.2697478991596639,0.11709087791471656,0.7792541549539822,-0.2507399163583092
Drosophila,LogOutIn,37,-0.2715534819222598,0.10398861715987329,-0.04717875770507349,0.7815637567772763,-0.3641427209881352,0.09048300838615167
Zebrafish,PostDCA,424,0.14696209952717132,0.002415831112175157,0.23999086908950654,5.721482597906651e-07,6.3198239518106885,0.08862091266383268
Zebrafish,PreDCA,422,0.06305555734431123,0.19608986518191096,-0.054805088857484384,0.26129050294566253,1.7071764977082533,0.03641289267692189
Zebrafish,Modularity,328,0.16725663739084348,0.002373508752168708,0.1691738630389288,0.002109538832083693,0.9736446022628609,-0.3436483750251046
Zebrafish,LogOutIn,450,0.07387490973946377,0.11760548718565754,0.07588839614592971,0.1079058294841505,0.045548113731477116,-0.015119984310206015
