species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,ADAL,-0.5645734043288303,-0.0506460303835138,0.0264221825014289,0.35729656064075127,1-hop induced structural neighborhood modularity Q,129.0,5.0,0.9694005571881036,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,ADAR,-1.1131455752456976,-0.0456181331762736,0.0322677412610034,0.3931455113085331,1-hop induced structural neighborhood modularity Q,120.0,6.0,0.7348198769605134,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,ADEL,-0.9594206912803368,-0.03157723490657,0.1383355165121818,0.5232073289505723,1-hop induced structural neighborhood modularity Q,114.0,5.0,1.170932950247736,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,ADER,-1.2232546837023324,-0.0379609791744908,0.055715481108768,0.44725620749284534,1-hop induced structural neighborhood modularity Q,97.0,4.0,0.8434293836092832,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,ADLL,-0.239247555449999,-0.0220011079190079,0.0364596536509274,0.42988895047132913,1-hop induced structural neighborhood modularity Q,105.0,4.0,2.0082140323914683,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ADLR,0.3055545828186178,-0.0163826686176243,0.0130064956132039,0.4564707756039977,1-hop induced structural neighborhood modularity Q,127.0,5.0,1.0601460078403135,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AIBL,0.9811485212148382,-0.0362443906814683,0.0210420056080165,0.48035765567392874,1-hop induced structural neighborhood modularity Q,171.0,6.0,-0.4093335848860847,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIBR,0.8820471275512428,-0.018654001099111,0.0187936784794491,0.4907818875041301,1-hop induced structural neighborhood modularity Q,212.0,6.0,-0.7919477653040387,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIML,0.9681821108084344,0.003309356207847,0.0051363806056891,0.4884764542936288,1-hop induced structural neighborhood modularity Q,41.0,4.0,1.0498221244986776,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIMR,0.7860068505129321,0.006319478465967,0.0144970585762402,0.565523928277917,1-hop induced structural neighborhood modularity Q,71.0,5.0,1.3564413979702097,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AINL,0.364216525156013,-0.0027406274381846,0.0163902618178463,0.4471630420855222,1-hop induced structural neighborhood modularity Q,28.0,5.0,1.6739764335716716,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AINR,-0.4216258862265929,0.0050045042788847,0.0082381453760399,0.5147724614921984,1-hop induced structural neighborhood modularity Q,34.0,4.0,2.0243817644968085,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIYL,-0.7231062055225451,0.0387711934053101,0.014331784418101,0.3995716822787896,1-hop induced structural neighborhood modularity Q,64.0,3.0,0.4534743272945249,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
