species,node_i,node_j,sc_profile_corr
C. elegans,ADAL,ADAR,0.9855622763880336
C. elegans,ADAL,ADEL,0.9969762785467282
C. elegans,ADAL,ADER,0.987687826494881
C. elegans,ADAL,ADLL,0.9839556654502053
C. elegans,ADAL,ADLR,0.9973488937853078
C. elegans,ADAL,AIBL,-0.47425573378280295
C. elegans,ADAL,AIBR,-0.6664176471069316
C. elegans,ADAL,AIML,0.9936546433676056
C. elegans,ADAL,AIMR,0.9973196862518094
C. elegans,ADAL,AINL,0.9912813893280957
C. elegans,ADAL,AINR,0.9891357770629334
C. elegans,ADAL,AIYL,0.8835796993651626
C. elegans,ADAL,AIYR,0.8472785764975124
C. elegans,ADAL,AIZL,0.3265927094877548
C. elegans,ADAL,AIZR,-0.2403363466301123
C. elegans,ADAL,ALA,0.9293309777620731
C. elegans,ADAL,AQR,0.9996603480510616
C. elegans,ADAL,ASEL,0.9914819043653624
C. elegans,ADAL,ASER,0.8235759705254557
C. elegans,ADAL,ASGL,0.9405173210395902
C. elegans,ADAL,ASGR,0.9781590515544425
C. elegans,ADAL,ASHL,0.9883440484305054
C. elegans,ADAL,ASIL,0.9929611606679163
C. elegans,ADAL,ASIR,0.9659850164136882
C. elegans,ADAL,ASKL,-0.09915618527096878
C. elegans,ADAL,ASKR,0.9912320726605046
C. elegans,ADAL,AUAL,0.9937806524462566
C. elegans,ADAL,AUAR,0.9957546465184829
C. elegans,ADAL,AVAL,-0.7627364468237088
C. elegans,ADAL,AVAR,-0.7621195092120583
C. elegans,ADAL,AVBL,-0.8328669255833425
C. elegans,ADAL,AVBR,-0.8205505334488901
C. elegans,ADAL,AVDL,-0.6461775758242859
C. elegans,ADAL,AVDR,-0.4389503439407679
C. elegans,ADAL,AVEL,-0.7031618150578852
C. elegans,ADAL,AVER,-0.6261141137851106
C. elegans,ADAL,AVHL,0.6436287552501702
C. elegans,ADAL,AVJL,-0.7997145636842848
C. elegans,ADAL,AVJR,-0.5919778866825395
C. elegans,ADAL,AVKL,-0.6980102625298693
C. elegans,ADAL,AVKR,-0.7025347476786026
C. elegans,ADAL,AVL,-0.22453170616095897
C. elegans,ADAL,AWAL,0.9672312565357085
C. elegans,ADAL,AWAR,0.9917770559338721
C. elegans,ADAL,AWBL,0.9912399493441503
C. elegans,ADAL,AWBR,0.9957380781504506
C. elegans,ADAL,AWCL,0.48361246173261746
C. elegans,ADAL,AWCR,0.9479331655446118
C. elegans,ADAL,BAGL,0.9957875499430148
C. elegans,ADAL,CEPDL,0.9985411399405529
C. elegans,ADAL,CEPDR,0.9862302158587299
C. elegans,ADAL,CEPVL,0.9914958077662843
C. elegans,ADAL,CEPVR,0.9650878171315429
C. elegans,ADAL,FLPL,0.9538161522995436
C. elegans,ADAL,FLPR,0.9513281754547502
C. elegans,ADAL,IL1DL,-0.6058249587803818
C. elegans,ADAL,IL1DR,0.7549808838582811
C. elegans,ADAL,IL1L,0.9701638770136117
C. elegans,ADAL,IL1R,0.9937456937467853
C. elegans,ADAL,IL1VL,0.4678097622356832
C. elegans,ADAL,IL1VR,0.5740869954810751
C. elegans,ADAL,IL2DL,0.9555474361582404
C. elegans,ADAL,IL2DR,0.9770122545232355
C. elegans,ADAL,IL2L,0.9814511211892545
C. elegans,ADAL,IL2R,0.9781195732967606
C. elegans,ADAL,IL2VL,0.9500438848166454
C. elegans,ADAL,IL2VR,0.9528398782224099
C. elegans,ADAL,OLLL,0.9886267150412917
C. elegans,ADAL,OLLR,0.9910194094461232
C. elegans,ADAL,OLQDL,-0.48719713558093547
C. elegans,ADAL,OLQDR,-0.5703442212903377
C. elegans,ADAL,OLQVL,-0.645075879061647
C. elegans,ADAL,OLQVR,0.5965584860636385
C. elegans,ADAL,RIAL,-0.027997129843255506
C. elegans,ADAL,RIAR,0.26548075649869673
C. elegans,ADAL,RIBL,-0.7509467951773499
C. elegans,ADAL,RIBR,-0.8136508052125901
C. elegans,ADAL,RICL,0.3148231650213293
C. elegans,ADAL,RICR,0.05157874930603678
C. elegans,ADAL,RID,-0.7365357814780646
C. elegans,ADAL,RIH,0.9512881627798718
C. elegans,ADAL,RIML,-0.3167477049382542
C. elegans,ADAL,RIMR,-0.6009120173648684
C. elegans,ADAL,RIR,0.7871322309309895
C. elegans,ADAL,RIS,0.993758310259994
