ratio_L2_to_L3_over_L3_to_L2,log2_ratio,layer,layer_mean_FCV_raw_mean,layer_mean_FCV_raw_sem,layer_std_FCV_raw_mean
0.2,-2.321928094887362,2,0.19678761122707672,0.00100541813773114,0.009021019055458709
0.2,-2.321928094887362,3,0.20296444602503377,0.0009971527942820367,0.0068925332519091465
0.3,-1.7369655941662063,2,0.1941368601777108,0.0010026732911598577,0.007958076247514623
0.3,-1.7369655941662063,3,0.2003488403214413,0.000672210661977451,0.007684979948858392
0.45,-1.15200309344505,2,0.1939859300945186,0.000975804741089963,0.008571194386759327
0.45,-1.15200309344505,3,0.19996933644156517,0.0005177462412022585,0.006782882072101308
0.67,-0.5777669993169522,2,0.1941434294771905,0.000339920191974975,0.008371228712964446
0.67,-0.5777669993169522,3,0.20003615917530743,0.0006206681925183229,0.006909659678300793
1.0,0.0,2,0.19294466408035138,0.0009096451438127772,0.008586161325695712
1.0,0.0,3,0.20015995163385225,0.0010666315879896576,0.00711604823776015
1.5,0.5849625007211562,2,0.19439555348935372,0.0005930057577734057,0.008000792632690441
1.5,0.5849625007211562,3,0.20128954915126085,0.0005916106313490503,0.006828003777140599
2.25,1.1699250014423124,2,0.19541006302875963,0.0006303670008280321,0.00835406278710603
2.25,1.1699250014423124,3,0.20029035598094796,0.000466308306208669,0.008002583897250913
3.3,1.722466024471091,2,0.19630600176744306,0.000794437067629102,0.00881656944245466
3.3,1.722466024471091,3,0.20208899050542412,0.000886101106157243,0.007065366053106038
5.0,2.321928094887362,2,0.19442922944266008,0.0006236978418835087,0.008186299308498362
5.0,2.321928094887362,3,0.2004729424642165,0.0005230680152334558,0.0067429601791803954
