ratio_L2_to_L3_over_L3_to_L2,log2_ratio,trial,layer,node,global_node_idx,FCV,PostDCA,PreDCA
0.2,-2.321928094887362,0,2,L2_000,0,-2.0270687894461177,-0.6436045175116654,1.3180709166481601
0.2,-2.321928094887362,0,2,L2_001,1,0.39652564434675597,-1.3114188536168572,1.0240679434706472
0.2,-2.321928094887362,0,2,L2_002,2,1.10339772300666,-1.8503555466768324,0.5204860226682876
0.2,-2.321928094887362,0,2,L2_003,3,1.0297339213492824,-1.8286759148006935,0.8171471765667275
0.2,-2.321928094887362,0,2,L2_004,4,0.2580419025849513,-0.5086474794479974,-0.35803736128584784
0.2,-2.321928094887362,0,2,L2_005,5,1.2527544705887796,-0.3644296023852296,0.8315759061648493
0.2,-2.321928094887362,0,2,L2_006,6,-1.893097174635706,-1.4690842805659863,-0.8419800037554516
0.2,-2.321928094887362,0,2,L2_007,7,-0.5452445261273359,-1.5732722971926179,0.13027391001338026
0.2,-2.321928094887362,0,2,L2_008,8,0.5593800755277647,-0.41374445680156346,0.4792273794127908
0.2,-2.321928094887362,0,2,L2_009,9,1.8503568166520985,-1.3544491192068646,0.6569492576952469
0.2,-2.321928094887362,0,2,L2_010,10,-0.2630650630466576,-1.6051973032522913,0.6499609342827654
0.2,-2.321928094887362,0,2,L2_011,11,-0.5818478532662882,-1.5383199755725063,0.8378868043093651
0.2,-2.321928094887362,0,2,L2_012,12,1.2403307901261102,-1.0740098299435505,-1.3874530155006604
0.2,-2.321928094887362,0,2,L2_013,13,-1.0376057766735307,-1.4793096485913646,-0.7578574737341324
0.2,-2.321928094887362,0,2,L2_014,14,1.3890505520410659,-1.15751187646631,0.12125699209704772
0.2,-2.321928094887362,0,2,L2_015,15,-0.9289995785397451,-0.9027058717852051,0.27055895391111423
0.2,-2.321928094887362,0,2,L2_016,16,0.25683884052207373,-0.6837136306413448,-0.4811825106777553
0.2,-2.321928094887362,0,2,L2_017,17,-0.06725686799354526,-1.7335746858805785,1.1780335016464618
0.2,-2.321928094887362,0,2,L2_018,18,0.593193209634496,-0.6602878292877538,1.7746641454955514
0.2,-2.321928094887362,0,2,L2_019,19,-0.8872601612054157,-0.8624140143626721,0.14832710757893175
0.2,-2.321928094887362,0,2,L2_020,20,-0.8976695738534913,-1.4228050441017777,-1.1176384105384112
0.2,-2.321928094887362,0,2,L2_021,21,-0.8060184426156577,-1.3736523160572252,1.154261041590113
0.2,-2.321928094887362,0,2,L2_022,22,2.458789753348466,-0.7032795774355344,-1.2900937351703008
0.2,-2.321928094887362,0,2,L2_023,23,-0.4773796127737207,0.34536633163852287,-0.03845998458125918
0.2,-2.321928094887362,0,2,L2_024,24,-0.9612953720622268,0.6261194843170685,0.12682938038814437
0.2,-2.321928094887362,0,2,L2_025,25,-0.7179122571144735,-1.3392732161981462,0.8924489807127715
0.2,-2.321928094887362,0,2,L2_026,26,-0.3456606758535451,-0.9924934338507428,0.3345777398165237
0.2,-2.321928094887362,0,2,L2_027,27,-0.7178049379756233,-0.5705383492371926,-1.460634198217792
0.2,-2.321928094887362,0,2,L2_028,28,-0.8325267434579299,-1.061685007426923,0.21565473818978725
0.2,-2.321928094887362,0,2,L2_029,29,-0.810164061328758,0.03803981051733201,0.5473530391051578
0.2,-2.321928094887362,0,2,L2_030,30,1.872998357086751,-0.6023137990151491,-0.1776694015255718
0.2,-2.321928094887362,0,2,L2_031,31,-0.2573667754073397,0.28827850494012935,-0.3502470612541241
0.2,-2.321928094887362,0,2,L2_032,32,0.9437330408645931,-0.45941702854634064,1.1514204381066113
0.2,-2.321928094887362,0,2,L2_033,33,0.9880781119710312,-0.10118503407990828,0.987607845313007
0.2,-2.321928094887362,0,2,L2_034,34,0.19735285779449005,-0.6648714800827695,-1.343727196255169
0.2,-2.321928094887362,0,2,L2_035,35,1.4721296790402603,0.074879706060542,0.6687592884798252
0.2,-2.321928094887362,0,2,L2_036,36,-1.6283308198910815,-0.39388302284077775,0.9680885053178412
0.2,-2.321928094887362,0,2,L2_037,37,-1.7939850622101514,0.33971885639392224,0.14995468698456815
0.2,-2.321928094887362,0,2,L2_038,38,-1.1709639491140929,-0.036790460648333925,1.4562302150997972
0.2,-2.321928094887362,0,2,L2_039,39,0.5294377542959069,-1.1302815717085903,1.5566031611157105
0.2,-2.321928094887362,0,2,L2_040,40,1.601850566837673,0.909786927186188,-1.259636991464696
0.2,-2.321928094887362,0,2,L2_041,41,0.9799067828737422,0.23994732252421716,-1.719247896815123
0.2,-2.321928094887362,0,2,L2_042,42,0.8750193219188296,0.6381953369780138,-0.8859125461595925
0.2,-2.321928094887362,0,2,L2_043,43,0.013737439465001625,-0.22303081073973813,-1.1555231001142823
0.2,-2.321928094887362,0,2,L2_044,44,-1.251403505181334,-0.07794751116651882,-0.7468532356273193
0.2,-2.321928094887362,0,2,L2_045,45,-1.2342506613048752,0.16298904074310114,1.6468181167618245
0.2,-2.321928094887362,0,2,L2_046,46,-0.0010911023627051585,0.33213106265072184,1.0694272970812397
0.2,-2.321928094887362,0,2,L2_047,47,-0.007105229596434904,1.1047431561729153,0.9841590207916543
0.2,-2.321928094887362,0,2,L2_048,48,0.026932497143590386,0.08623139453045325,-1.0851210997831575
0.2,-2.321928094887362,0,2,L2_049,49,-0.2593801343004742,0.6803410154852905,-1.407278480145055
0.2,-2.321928094887362,0,2,L2_050,50,-0.4393762057384685,0.13631074337197546,-0.09441180631506679
0.2,-2.321928094887362,0,2,L2_051,51,0.2393370905535898,0.5170080598936737,-0.8617573262668934
0.2,-2.321928094887362,0,2,L2_052,52,-0.5951476764803798,0.6845203176940793,-0.2251940930609465
0.2,-2.321928094887362,0,2,L2_053,53,-0.764296214462998,0.04845260295712063,-1.4075819780181211
0.2,-2.321928094887362,0,2,L2_054,54,-0.9666786838913666,0.9269283488316707,-0.8233313008397164
0.2,-2.321928094887362,0,2,L2_055,55,1.0727418474344832,0.5545491499485025,-1.347654459495812
0.2,-2.321928094887362,0,2,L2_056,56,0.7646438954230461,0.6923295698094217,-1.3617497769324254
0.2,-2.321928094887362,0,2,L2_057,57,1.56401029562439,0.8998311376201511,-0.8075231283003468
0.2,-2.321928094887362,0,2,L2_058,58,-2.1683280954874133,1.4025763007100074,-0.5422303543748236
0.2,-2.321928094887362,0,2,L2_059,59,-0.7066535244690012,1.1064426568339534,-0.8582190713514711
0.2,-2.321928094887362,0,2,L2_060,60,-0.23555426020279704,0.38774351777469945,0.9019864994741044
0.2,-2.321928094887362,0,2,L2_061,61,-1.2544265006200457,0.04111515736222047,-1.069531647336535
0.2,-2.321928094887362,0,2,L2_062,62,-0.012480357141817233,0.36824409461090263,-1.5475394880735391
0.2,-2.321928094887362,0,2,L2_063,63,0.5716682085754171,0.3685323017413629,-1.0261001042210194
0.2,-2.321928094887362,0,2,L2_064,64,0.4602212408076874,0.7097719754946354,1.1833195874037232
0.2,-2.321928094887362,0,2,L2_065,65,0.181422684940882,1.108208512350049,0.8016178947120951
0.2,-2.321928094887362,0,2,L2_066,66,0.4330258119026633,1.5741321003238045,0.7122327131825202
0.2,-2.321928094887362,0,2,L2_067,67,1.550493093266412,1.4787881723764795,-0.9568271267399231
0.2,-2.321928094887362,0,2,L2_068,68,0.7705371480721153,0.8792759033175698,-1.3317396609923189
