ratio_L2_to_L3_over_L3_to_L2,log2_ratio,predictor,pearson_r_mean,pearson_r_sem,pearson_p_median
0.2,-2.321928094887362,PostDCA,-0.013307407510965288,0.015586563789511631,0.8756683288293226
0.2,-2.321928094887362,PreDCA,-0.04172948436138879,0.055566872222986605,0.37647480582715664
0.3,-1.7369655941662063,PostDCA,0.05998551377104848,0.046856341344428704,0.3963321502018883
0.3,-1.7369655941662063,PreDCA,0.004389813541744999,0.05215642962630343,0.456778418997299
0.45,-1.15200309344505,PostDCA,0.018810460822693026,0.029592609784340005,0.6158285083826254
0.45,-1.15200309344505,PreDCA,-0.0664891190367598,0.05359087430433785,0.5351195260507509
0.67,-0.5777669993169522,PostDCA,-0.022607484368292324,0.025874910862929985,0.6365229334754604
0.67,-0.5777669993169522,PreDCA,-0.05081452521760176,0.05248797785072634,0.4738254000261111
1.0,0.0,PostDCA,0.019160778172840544,0.041107694539925764,0.8031795593460884
1.0,0.0,PreDCA,0.051792926102064055,0.10682541333861666,0.05988121473089138
1.5,0.5849625007211562,PostDCA,0.029546635262543773,0.02879971441264882,0.6708135976963356
1.5,0.5849625007211562,PreDCA,0.010450358523732429,0.0533994503181027,0.4524643293617129
2.25,1.1699250014423124,PostDCA,-0.07550802934637277,0.07252443316549273,0.22648411458081885
2.25,1.1699250014423124,PreDCA,-0.08493993088705097,0.06915103472569342,0.6084989289952716
3.3,1.722466024471091,PostDCA,0.008712510959365996,0.055728369792536654,0.5928993537569589
3.3,1.722466024471091,PreDCA,-0.036898475012546346,0.041825819065215764,0.5283080880021988
5.0,2.321928094887362,PostDCA,0.04359250589094803,0.023330112307414205,0.7713466597683094
5.0,2.321928094887362,PreDCA,-0.11648996412655195,0.04240627456484071,0.33059253543078504
