species,measure,n,pearson_r,pearson_p,spearman_rho,spearman_p
C. elegans,ThresholdedNetTE_z,120,0.05189690943340235,0.5734817059596227,0.10877838738801304,0.2369486452288004
C. elegans,ThresholdedNetTE,120,0.04523774912348822,0.6236958956883637,0.0982846030974373,0.28553278663383486
C. elegans,sig_te_out_strength,120,0.1705453010654298,0.06255466635428326,0.2206194874644072,0.015461544960169602
C. elegans,sig_te_in_strength,120,0.16752047338721493,0.06742457575800047,0.17947774150982704,0.04982547551867345
Drosophila,ThresholdedNetTE_z,39,0.36130335746029835,0.023829132247084356,0.20789473684210527,0.20408790275191355
Drosophila,ThresholdedNetTE,39,0.3747203269007919,0.01875584242442874,0.25971659919028345,0.11033371124288374
Drosophila,sig_te_out_strength,39,0.5955497343269598,6.345063396284398e-05,0.511336032388664,0.0008785387181574172
Drosophila,sig_te_in_strength,39,0.5527912420196034,0.0002629489292906466,0.4510121457489879,0.003956495751430066
Zebrafish,ThresholdedNetTE_z,45,-0.0009758555330933102,0.994923875660026,0.05243741765480895,0.7322773085441452
Zebrafish,ThresholdedNetTE,45,-0.11146560706837169,0.466020634059421,-0.07154150197628459,0.640493229993188
Zebrafish,sig_te_out_strength,45,-0.4285830251442244,0.003310684586203027,-0.3936758893280632,0.0074609641847318015
Zebrafish,sig_te_in_strength,45,-0.31588835609201715,0.03452607521657405,-0.2587615283267457,0.08609852367103586
