species,recording_id,n_nodes,n_time,n_surrogates,fdr_q,n_tested_directed_edges,n_sig_directed_edges,sig_edge_fraction,median_directed_te,median_p,min_p,min_q
C. elegans,2023-01-06-01,65,802,1000,0.05,4160,451,0.1084134615384615,0.0397097120362828,0.2377622377622377,0.0009990009990009,0.0136257185437513
C. elegans,2023-01-05-01,68,802,1000,0.05,4556,1049,0.2302458296751536,0.0421196430725685,0.1478521478521478,0.0009990009990009,0.006864929941853
C. elegans,2023-01-05-18,69,802,1000,0.05,4692,295,0.0628729752770673,0.0438728960682743,0.1998001998001998,0.0009990009990009,0.0214032542799666
C. elegans,2023-01-06-08,71,802,1000,0.05,4970,718,0.144466800804829,0.0411667844204288,0.2047952047952048,0.0009990009990009,0.0113876948739334
C. elegans,2023-01-09-08,42,802,1000,0.05,1722,186,0.1080139372822299,0.0406711115635411,0.2042957042957043,0.0009990009990009,0.0138732235506429
C. elegans,2023-01-06-15,62,803,1000,0.05,3782,549,0.1451612903225806,0.0414295526664718,0.2192807192807193,0.0009990009990009,0.0110474321000636
C. elegans,2023-01-09-22,81,802,1000,0.05,6480,1116,0.1722222222222222,0.0402248681955761,0.2012987012987013,0.0009990009990009,0.0089537018997599
C. elegans,2023-01-09-15,83,803,1000,0.05,6806,1276,0.1874816338524831,0.0400455452741741,0.1918081918081918,0.0009990009990009,0.0085096380465591
C. elegans,2023-01-10-07,82,802,1000,0.05,6642,1222,0.1839807286961758,0.0399552145801158,0.2022977022977022,0.0009990009990009,0.008595031911094
C. elegans,2023-01-10-14,75,803,1000,0.05,5550,510,0.0918918918918919,0.0398288624249485,0.2327672327672327,0.0009990009990009,0.0151902891628919
C. elegans,2023-01-13-07,66,802,1000,0.05,4290,902,0.2102564102564102,0.0433049096380884,0.1458541458541458,0.0009990009990009,0.0075853350189633
C. elegans,2023-01-16-01,67,803,1000,0.05,4422,455,0.1028946178199909,0.0392017652983949,0.2517482517482518,0.0009990009990009,0.0143428000570857
C. elegans,2023-01-16-08,71,803,1000,0.05,4970,699,0.1406438631790744,0.0407470403383913,0.2152847152847152,0.0009990009990009,0.0115198027030973
C. elegans,2023-01-16-15,70,802,1000,0.05,4830,590,0.1221532091097308,0.0391513917798218,0.2577422577422577,0.0009990009990009,0.011973138524007
C. elegans,2023-01-17-07,68,802,1000,0.05,4556,427,0.0937225636523266,0.03972483497837,0.2542457542457542,0.0009990009990009,0.0158587057541761
C. elegans,2023-01-16-22,73,802,1000,0.05,5256,486,0.0924657534246575,0.039376744124048,0.2402597402597402,0.0009990009990009,0.0145048321843901
C. elegans,2023-01-18-01,70,802,1000,0.05,4830,344,0.0712215320910973,0.0396908779267193,0.2467532467532467,0.0009990009990009,0.0176746330592484
C. elegans,2023-01-17-14,87,802,1000,0.05,7482,525,0.070168404170008,0.0396366337160796,0.2452547452547452,0.0009990009990009,0.0187802147601142
Drosophila,2017-10-30_1,64,2000,1000,0.05,4032,103,0.0255456349206349,0.0139162146117315,0.3701298701298701,0.0009990009990009,0.0391065245434177
Drosophila,2017-10-26_1,66,2000,1000,0.05,4290,612,0.1426573426573426,0.0153633380577509,0.2397602397602397,0.0009990009990009,0.0116776956014013
Drosophila,2017-10-30_2,66,2000,1000,0.05,4290,289,0.0673659673659673,0.0138855660986179,0.3761238761238761,0.0009990009990009,0.0170068027210884
Drosophila,2017-11-16_1,66,2000,1000,0.05,4290,134,0.0312354312354312,0.0143373913503259,0.3206793206793207,0.0009990009990009,0.0319829424307036
Drosophila,2018-10-19_1,67,2000,1000,0.05,4422,309,0.0698778833107191,0.0151348382101292,0.2492507492507492,0.0009990009990009,0.0196336996336996
Drosophila,2017-11-08_1,66,4000,1000,0.05,4290,1573,0.3666666666666666,0.008715173188027,0.0909090909090909,0.0009990009990009,0.0041852678571428
Drosophila,2017-11-08_2,66,4000,1000,0.05,4290,983,0.2291375291375291,0.0080318052899757,0.1633366633366633,0.0009990009990009,0.0073260073260073
Drosophila,2018-10-19_2,67,2000,1000,0.05,4422,1301,0.2942107643600181,0.0171461622315372,0.1118881118881118,0.0009990009990009,0.0058202666898319
Drosophila,2018-10-20_1,67,2000,1000,0.05,4422,4411,0.9975124378109452,0.100767551805436,0.0009990009990009,0.0009990009990009,0.0017571926879802
Drosophila,2018-10-31_1,67,2000,1000,0.05,4422,2050,0.4635911352329263,0.0193661902439343,0.0369630369630369,0.0009990009990009,0.0032795712083017
Drosophila,2018-11-03_2,67,2000,1000,0.05,4422,671,0.1517412935323383,0.0150165145542047,0.2567432567432567,0.0009990009990009,0.0093791558759711
Drosophila,2018-11-03_3,66,2000,1000,0.05,4290,2540,0.5920745920745921,0.0232177941275486,0.0049950049950049,0.0009990009990009,0.0022194273877339
Drosophila,2018-11-03_4,66,2000,1000,0.05,4290,899,0.2095571095571095,0.0163163386169438,0.1593406593406593,0.0009990009990009,0.0080862533692722
Drosophila,2018-11-03_5,66,2000,1000,0.05,4290,1229,0.2864801864801864,0.0162213789189857,0.1598401598401598,0.0009990009990009,0.0051635111876075
Drosophila,2018-12-12_2,67,2000,1000,0.05,4422,943,0.2132519222071461,0.0160305951654757,0.1738261738261738,0.0009990009990009,0.0075001399279837
Drosophila,2018-12-12_3,66,2000,1000,0.05,4290,911,0.2123543123543123,0.0156838143835915,0.1973026973026972,0.0009990009990009,0.0076258261311642
Drosophila,2018-12-12_4,66,2000,1000,0.05,4290,2153,0.5018648018648019,0.0199424210057788,0.0249750249750249,0.0009990009990009,0.0027667619662455
Drosophila,2018-12-14_1,67,2000,1000,0.05,4422,2628,0.5943012211668928,0.0235532076345463,0.0039960039960039,0.0009990009990009,0.0021697359614844
Drosophila,2018-12-14_2,66,2000,1000,0.05,4290,356,0.0829836829836829,0.0147925660641732,0.2807192807192807,0.0009990009990009,0.0183936235438381
Drosophila,2018-12-14_3,67,2000,1000,0.05,4422,1538,0.3478064224332881,0.0173288179820663,0.0979020979020979,0.0009990009990009,0.004457701733181
Zebrafish,subject_14,64,500,1000,0.05,4032,832,0.2063492063492063,0.0654711479645659,0.1648351648351648,0.0009990009990009,0.0075999472225887
Zebrafish,subject_12,61,640,1000,0.05,3660,310,0.0846994535519125,0.0455986478229963,0.3456543456543456,0.0009990009990009,0.0162504162504162
Zebrafish,subject_15,64,600,1000,0.05,4032,1075,0.2666170634920635,0.0627143069109703,0.1308691308691308,0.0009990009990009,0.0062838877191451
Zebrafish,subject_16,65,517,1000,0.05,4160,0,0.0,0.0550898359610545,0.412087912087912,0.0009990009990009,0.0903444381705251
Zebrafish,subject_13,66,1200,1000,0.05,4290,565,0.1317016317016317,0.0258506151356279,0.2542457542457542,0.0009990009990009,0.0114285714285714
Zebrafish,subject_17,65,800,1000,0.05,4160,215,0.0516826923076923,0.0381434478866691,0.2882117882117882,0.0009990009990009,0.0227095309062522
Zebrafish,subject_18,65,1000,1000,0.05,4160,135,0.032451923076923,0.028784382462144,0.3806193806193806,0.0009990009990009,0.0307840307840307
