species,recording_id,node,n_nodes_recording,n_time,n_surrogates,fdr_q,ThresholdedNetTE,ThresholdedNetTE_z,sig_te_out_strength,sig_te_in_strength,sig_te_out_count,sig_te_in_count
C. elegans,2023-01-06-01,URADL,65,802,1000,0.05,-0.0009819325770419,-0.1334000283181595,0.0,0.0628436849306859,0,1
C. elegans,2023-01-06-01,IL2L,65,802,1000,0.05,0.0,0.0,0.0,0.0,0,0
C. elegans,2023-01-06-01,RMED,65,802,1000,0.05,-0.0038437029274682,-0.5221846095742069,0.5453497327219479,0.7913467200799147,8,11
C. elegans,2023-01-06-01,ADEL,65,802,1000,0.05,0.0018202313752032,0.2472867513258337,0.1844721973526026,0.0679773893395965,3,1
C. elegans,2023-01-06-01,URYDR,65,802,1000,0.05,0.0035379564076227,0.4806475474997097,0.5824177474571051,0.3559885373692477,8,5
C. elegans,2023-01-06-01,OLLR,65,802,1000,0.05,0.0009414030881975,0.1278939120267021,0.6396195816874584,0.579369784042814,9,8
C. elegans,2023-01-06-01,AIZL,65,802,1000,0.05,0.0029386548376599,0.3992296902319622,0.2456138261864957,0.0575399165762573,4,1
C. elegans,2023-01-06-01,ASKL,65,802,1000,0.05,0.0018789435887838,0.2552630738732294,0.1202523896821685,0.0,2,0
C. elegans,2023-01-06-01,URADR,65,802,1000,0.05,0.0010345225270124,0.1405446133735227,0.0662094417287946,0.0,1,0
C. elegans,2023-01-06-01,IL2DL,65,802,1000,0.05,-0.0002869400814287,-0.0389821214645074,0.047325127585128,0.0656892927965664,1,1
C. elegans,2023-01-06-01,URBL,65,802,1000,0.05,-0.0072962581978243,-0.9912300222673815,0.2306057496031024,0.6975662742638633,4,10
C. elegans,2023-01-06-01,FLPL,65,802,1000,0.05,-0.0021057114500372,-0.2860705242217833,0.0,0.1347655328023842,0,2
C. elegans,2023-01-06-01,CEPDR,65,802,1000,0.05,0.0051904331521869,0.7051440655641453,0.481114612108942,0.148926890368978,8,2
C. elegans,2023-01-06-01,ASKR,65,802,1000,0.05,7.161846406753686e-05,0.0097296956614814,0.124793946994969,0.1202103652946466,2,2
C. elegans,2023-01-06-01,IL1VR,65,802,1000,0.05,0.0022305260997938,0.3030271648316865,0.2644362259493173,0.1216825555625082,4,2
C. elegans,2023-01-06-01,RIVL,65,802,1000,0.05,0.0015922869585383,0.2163194605474138,0.4855016820994655,0.3835953167530119,8,6
C. elegans,2023-01-06-01,AVAR,65,802,1000,0.05,-0.0201865320729173,-2.7424326406246897,0.6019268451466262,1.8938648978133368,9,18
C. elegans,2023-01-06-01,RMDL,65,802,1000,0.05,-0.0059406567024309,-0.8070653636119092,0.4123670332667775,0.7925690622223591,6,11
C. elegans,2023-01-06-01,SMDVL,65,802,1000,0.05,0.0021899741518629,0.2975179973706796,0.6237007901516352,0.4835424444324054,9,8
C. elegans,2023-01-06-01,SAAVL,65,802,1000,0.05,0.0017874605845871,0.2428346896482754,0.1721411036654925,0.0577436262519159,3,1
C. elegans,2023-01-06-01,CEPDL,65,802,1000,0.05,-0.015452412108497,-2.099280807107056,0.5619270860190388,1.5508814609628478,9,19
C. elegans,2023-01-06-01,RID,65,802,1000,0.05,-0.0138914771980467,-1.8872206655806916,1.045621070947928,1.934675611622921,14,25
C. elegans,2023-01-06-01,RIH,65,802,1000,0.05,-0.0001394924895774,-0.0189506922316976,0.1304390033653808,0.1393665226983365,2,2
C. elegans,2023-01-06-01,AINL,65,802,1000,0.05,-0.0110840303601727,-1.5058161817796525,0.1829510277037593,0.8923289707548179,3,13
C. elegans,2023-01-06-01,OLQDL,65,802,1000,0.05,0.0040532201191445,0.5506484776199775,0.7529769557753747,0.4935708681501216,11,8
C. elegans,2023-01-06-01,IL1L,65,802,1000,0.05,0.0008638030842472,0.1173515968347034,0.1813964197157118,0.1261130223238908,3,2
C. elegans,2023-01-06-01,RICL,65,802,1000,0.05,-0.0062337152631532,-0.8468787084517317,0.0464341476632661,0.4453919245050719,1,7
C. elegans,2023-01-06-01,AUAL,65,802,1000,0.05,0.0072822047215993,0.9893207932935998,0.5261222163895236,0.0600611142071652,9,1
C. elegans,2023-01-06-01,AVDL,65,802,1000,0.05,-0.002482421995838,-0.3372483735492338,0.1220940967510628,0.2809691044846949,2,4
C. elegans,2023-01-06-01,AIBL,65,802,1000,0.05,0.0047633331505597,0.6471205783677123,1.7107991497566195,1.4059458281207968,20,21
C. elegans,2023-01-06-01,SMDVR,65,802,1000,0.05,0.0088395925365917,1.2008990456907265,0.760566367231164,0.1948324448892902,12,3
C. elegans,2023-01-06-01,IL1R,65,802,1000,0.05,-0.0020672196089826,-0.2808412316952338,0.0681291374024706,0.2004311923773607,1,3
C. elegans,2023-01-06-01,URXR,65,802,1000,0.05,-0.0009951851157474,-0.1352004462693908,0.2058068169587965,0.2694986643666364,3,4
C. elegans,2023-01-06-01,URAVL,65,802,1000,0.05,0.0027488224677083,0.3734400951830412,1.3972588169169913,1.2213341789836596,17,17
C. elegans,2023-01-06-01,ASEL,65,802,1000,0.05,0.0037965282567187,0.5157757149504657,0.9114425442256936,0.6684647357956934,13,10
C. elegans,2023-01-06-01,AVAL,65,802,1000,0.05,-0.0119623578318778,-1.625140983031321,1.0240376179817914,1.7896285192219734,13,23
C. elegans,2023-01-06-01,AVER,65,802,1000,0.05,0.0120529396720396,1.6374469400035403,1.76194452702397,0.9905563880134308,19,14
C. elegans,2023-01-06-01,CEPVL,65,802,1000,0.05,0.0025235738230292,0.3428390373493802,0.3005635022447435,0.1390547775708732,5,2
C. elegans,2023-01-06-01,RMGL,65,802,1000,0.05,0.000863123821864,0.1172593159355141,0.1751214607648918,0.1198815361655949,3,2
C. elegans,2023-01-06-01,RMDVR,65,802,1000,0.05,0.0057576473981393,0.7822027132163629,0.4899805285361966,0.1214910950552803,8,2
C. elegans,2023-01-06-01,RMDVL,65,802,1000,0.05,0.0010954387005002,0.1488203539470625,0.202456132524206,0.1323480556921921,3,2
C. elegans,2023-01-06-01,RMEL,65,802,1000,0.05,-0.0138654467748739,-1.883684313625811,0.8865613944532735,1.7739499880452083,12,22
C. elegans,2023-01-06-01,RMER,65,802,1000,0.05,0.0077441374219553,1.0520764618082423,0.9613269410142946,0.4657021460091521,13,7
C. elegans,2023-01-06-01,AVEL,65,802,1000,0.05,-0.0012445771790643,-0.1690814978676741,1.4266799226594404,1.5063328621195595,16,22
C. elegans,2023-01-06-01,RMDDR,65,802,1000,0.05,-0.0034167761156416,-0.464184651003723,0.1178559187598407,0.3365295901609086,2,5
C. elegans,2023-01-06-01,SMBVR,65,802,1000,0.05,0.0063330094924867,0.8603682833111687,0.9316897407848868,0.5263771332657328,13,7
C. elegans,2023-01-06-01,RMDDL,65,802,1000,0.05,0.0086709859293141,1.177993067509191,0.6225125373128417,0.067569437836735,9,1
C. elegans,2023-01-06-01,IL1VL,65,802,1000,0.05,0.0009641627554797,0.1309859168455071,0.2432976200319019,0.1815912036811977,4,3
C. elegans,2023-01-06-01,ADAL,65,802,1000,0.05,0.0009804071606708,0.1331927935325315,0.0627460582829342,0.0,1,0
C. elegans,2023-01-06-01,IL2DR,65,802,1000,0.05,0.0,0.0,0.0,0.0,0,0
C. elegans,2023-01-06-01,URYVR,65,802,1000,0.05,-0.0150284215051453,-2.041679745877241,0.418236998053406,1.3800559743827092,6,18
C. elegans,2023-01-06-01,AWBL,65,802,1000,0.05,-0.0009617745715089,-0.1306614711383522,0.0,0.0615535725765714,0,1
C. elegans,2023-01-06-01,OLQDR,65,802,1000,0.05,0.0014967423254249,0.203339285471272,0.8057084529387217,0.7099169441115238,11,11
C. elegans,2023-01-06-01,IL1DL,65,802,1000,0.05,-0.0043859408305845,-0.5958501069027491,0.127552550877565,0.4082527640349749,2,6
C. elegans,2023-01-06-01,OLQVL,65,802,1000,0.05,-0.0062114047144541,-0.8438477184450536,0.2479595932446852,0.6454894949697523,4,10
C. elegans,2023-01-06-01,RMDR,65,802,1000,0.05,-0.0011639203769484,-0.1581239026744021,0.5315787359702631,0.6060696400949652,8,9
C. elegans,2023-01-06-01,ASHL,65,802,1000,0.05,0.0087554530865256,1.1894683168566644,0.6372310922550093,0.0768820947173689,10,1
C. elegans,2023-01-06-01,RIAR,65,802,1000,0.05,-0.0002029610051537,-0.0275731801429323,0.0497565539530944,0.0627460582829342,1,1
C. elegans,2023-01-06-01,OLLL,65,802,1000,0.05,0.0071543395294436,0.971949722556883,0.8887120674128948,0.4308343375285037,13,6
C. elegans,2023-01-06-01,IL1DR,65,802,1000,0.05,-0.0054895863216702,-0.7457853908583528,0.0633645961675011,0.4146981207543976,1,6
C. elegans,2023-01-06-01,AWCL,65,802,1000,0.05,0.019838423032731,2.6951404365524327,1.653762331915949,0.3841032578211645,20,6
C. elegans,2023-01-06-01,URXL,65,802,1000,0.05,0.0216894721544344,2.9466139195866883,1.635504182845282,0.2473779649614762,21,4
C. elegans,2023-01-06-01,AVJL,65,802,1000,0.05,0.0049679556565128,0.6749194809877995,1.0208956173059174,0.7029464552890938,12,10
C. elegans,2023-01-06-01,AWAR,65,802,1000,0.05,-0.002492765484243,-0.3386535837219134,0.5819312735684856,0.7414682645600421,9,10
C. elegans,2023-01-06-01,CEPVR,65,802,1000,0.05,-0.0090357066723075,-1.2275420473282592,0.1850702736406946,0.7633555006683781,3,11
C. elegans,2023-01-05-01,AVER,68,802,1000,0.05,0.0118423039527506,0.7501705084717605,2.7592668169965,1.9658324521622064,30,31
C. elegans,2023-01-05-01,RIH,68,802,1000,0.05,-0.0081486500721311,-0.5161898387643717,0.3883902225888858,0.9343497774216698,7,14
C. elegans,2023-01-05-01,URYVL,68,802,1000,0.05,-0.0056246796789735,-0.3563047217502229,1.5097429139605714,1.8865964524518009,23,26
C. elegans,2023-01-05-01,RMDDR,68,802,1000,0.05,-0.0094349950216018,-0.5976755064743645,0.2924274633798611,0.9245721298271872,5,13
C. elegans,2023-01-05-01,RMDL,68,802,1000,0.05,0.022453403146929,1.4223482966539445,3.2361532807502438,1.731775269906,34,30
C. elegans,2023-01-05-01,RIBL,68,802,1000,0.05,0.0457655488036335,2.899095070814877,4.28806852984483,1.221776760001383,40,22
C. elegans,2023-01-05-01,SMDVL,68,802,1000,0.05,0.0121854845761239,0.7719098578214123,1.936566996160884,1.120139529560579,28,15
C. elegans,2023-01-05-01,IL2VR,68,802,1000,0.05,-0.0211968655429063,-1.3427508249892646,0.4198826684627916,1.840072659837514,7,25
C. elegans,2023-01-05-01,RMED,68,802,1000,0.05,0.0064441372927941,0.4082146319571871,2.28893322287156,1.8571760242543496,32,26
C. elegans,2023-01-05-01,URXL,68,802,1000,0.05,0.0118599711719634,0.7512896679590572,1.9669839441655963,1.1723658756440432,26,16
C. elegans,2023-01-05-01,ADEL,68,802,1000,0.05,0.0062345061554805,0.3949351976935873,0.4177119124171935,0.0,7,0
C. elegans,2023-01-05-01,RMDDL,68,802,1000,0.05,0.0016297268709164,0.103237768621999,0.842241920620856,0.7330502202694564,16,11
C. elegans,2023-01-05-01,ASKR,68,802,1000,0.05,-0.0036079362758223,-0.2285507449704214,0.0715540417717481,0.3132857722518425,1,5
C. elegans,2023-01-05-01,AUAL,68,802,1000,0.05,-0.0163431021385082,-1.035281081296935,1.3014070008654053,2.396394844145459,18,29
C. elegans,2023-01-05-01,AVAR,68,802,1000,0.05,-0.0098344623917919,-0.6229804337426549,1.9313126106065712,2.5902215908566304,25,32
C. elegans,2023-01-05-01,AIZL,68,802,1000,0.05,-0.007686607929046,-0.4869210080709162,1.0335533682622349,1.5485560995083203,17,20
C. elegans,2023-01-05-01,RIVR,68,802,1000,0.05,0.0141566934053981,0.8967793710226137,1.27375193882928,0.3252534806676048,20,5
C. elegans,2023-01-05-01,RID,68,802,1000,0.05,0.0296161245550323,1.8760828386988968,3.0247347090619545,1.0404543638747876,33,14
C. elegans,2023-01-05-01,RMDVL,68,802,1000,0.05,0.0138260769428635,0.8758359194106423,1.6047440047120447,0.6783968495401855,22,11
C. elegans,2023-01-05-01,IL2DR,68,802,1000,0.05,-0.0002798253104581,-0.0177260013142065,0.1788917598996171,0.1976400557003161,3,3
C. elegans,2023-01-05-01,SMDVR,68,802,1000,0.05,0.0100828777309558,0.6387167180025684,1.4482866751854049,0.7727338672113633,22,12
C. elegans,2023-01-05-01,AIBR,68,802,1000,0.05,0.0219660414532095,1.391475556767692,3.097249774535592,1.625524997170554,33,25
C. elegans,2023-01-05-01,IL1DL,68,802,1000,0.05,-0.0045156050251168,-0.2860485367767225,0.2050334807213172,0.5075790174041441,3,8
C. elegans,2023-01-05-01,RICL,68,802,1000,0.05,-0.0023173092657055,-0.1467938229821291,0.1572026500157335,0.3124623708180047,3,5
C. elegans,2023-01-05-01,RICR,68,802,1000,0.05,-0.0010579013840326,-0.0670145287892559,0.0500149472992825,0.1208943400294679,1,2
