species,node,n_recordings,NetTE,NetTE_z
C. elegans,ADAL,12,-0.0010149157540877412,-0.19346678593446548
C. elegans,ADAR,1,-0.004690664283803393,-0.9804027616024935
C. elegans,ADEL,15,-0.001601479097868314,-0.3190433300036468
C. elegans,ADER,8,-0.0021634197302798142,-0.4393484314705476
C. elegans,ADLL,9,-0.0007216407759210907,-0.13067994695001353
C. elegans,ADLR,5,-0.0020769851302433555,-0.4208437661591727
C. elegans,AIBL,16,0.010253703168314983,2.2190164278772735
C. elegans,AIBR,16,0.008981422009343583,1.94663549456118
C. elegans,AIML,3,-0.001185792102789378,-0.2300494697326183
C. elegans,AIMR,4,0.0010904147491212954,0.25726054218735983
C. elegans,AINL,12,-0.003022195031291695,-0.6232024611785231
C. elegans,AINR,11,-0.005273060954601163,-1.1050872683512478
C. elegans,AIYL,3,-0.005481522160349643,-1.149716442792434
C. elegans,AIYR,4,-0.0040095761971971336,-0.8345895446165021
C. elegans,AIZL,15,-0.002651505173647496,-0.5438419765215255
C. elegans,AIZR,16,-0.0032216905363290395,-0.665912181016211
C. elegans,ALA,2,0.0027928520522923755,0.6217330161213199
C. elegans,AQR,4,-0.0041023556859162225,-0.8544525784684901
C. elegans,ASEL,14,0.0011983143539692832,0.28036062102268056
C. elegans,ASER,7,-0.0008406373909626712,-0.15615576952109209
C. elegans,ASGL,15,0.0024133728113976626,0.5404908244248318
C. elegans,ASGR,12,-0.0005048393206799185,-0.08426521990130051
C. elegans,ASHL,7,0.0022690879006277897,0.5096010652062793
C. elegans,ASIL,5,0.00035784779866847955,0.10042628564442538
C. elegans,ASIR,6,-0.003000594665762663,-0.6185780684636901
C. elegans,ASKL,3,-0.002407101954471759,-0.4915180255810232
C. elegans,ASKR,3,-0.0029638469712566624,-0.6107108048040983
C. elegans,AUAL,16,-0.003933581274423151,-0.8183198955326496
C. elegans,AUAR,7,0.003427298575733482,0.7575608046376191
C. elegans,AVAL,16,-0.0006259689736565505,-0.1101977016466906
C. elegans,AVAR,14,2.3999226890166806e-05,0.028953101493259442
C. elegans,AVBL,4,0.008923172664688053,1.9341649720273468
C. elegans,AVBR,2,0.0003135821574711188,0.09094951505943907
C. elegans,AVDL,16,-0.0015830797506485978,-0.31510423892085115
C. elegans,AVDR,12,-0.0021522303008388345,-0.43695290182451185
C. elegans,AVEL,12,0.0033144553902855613,0.7334023613926409
C. elegans,AVER,14,-0.00025198737988962996,-0.030132493705052072
C. elegans,AVHL,6,-0.002066655277366675,-0.41863226208420634
C. elegans,AVJL,17,-0.003794469736000391,-0.7885376965246387
C. elegans,AVJR,14,-0.0013522742276125114,-0.2656914001502885
C. elegans,AVKL,2,-0.004755376003601854,-0.9942568051925476
C. elegans,AVKR,2,-0.001791604883182403,-0.3597470993600796
C. elegans,AVL,5,-0.0030014931775334333,-0.618770429619864
C. elegans,AWAL,11,-0.0027148006811417284,-0.5573928251562198
C. elegans,AWAR,10,-0.0028122966944256382,-0.5782656133018365
C. elegans,AWBL,18,-0.0012073920371581193,-0.23467377014093424
C. elegans,AWBR,10,-0.0011443070460372214,-0.22116799066869894
C. elegans,AWCL,17,-0.0013601006663511292,-0.26736695171617775
C. elegans,AWCR,10,-0.0006624687478740423,-0.11801188839077847
C. elegans,BAGL,7,0.008454490724703405,1.8338254964788565
C. elegans,CEPDL,18,-0.003389657857859728,-0.7018720751658042
C. elegans,CEPDR,17,-0.0025009569719316414,-0.5116113179102038
C. elegans,CEPVL,15,-0.0019193735051434646,-0.38710090889570237
C. elegans,CEPVR,11,-0.0016691501130891699,-0.3335309251034644
C. elegans,FLPL,16,-0.0011012751773948448,-0.21195535676266658
C. elegans,FLPR,9,-0.0016366526922931574,-0.32657359672964803
C. elegans,IL1DL,15,-0.00045945251687247554,-0.07454842114645575
C. elegans,IL1DR,16,-0.00019902965109833351,-0.018794845974627623
C. elegans,IL1L,15,-0.0036141635369102833,-0.7499361889533512
C. elegans,IL1R,13,0.0045499191083419495,0.9979010991358247
C. elegans,IL1VL,11,-0.0004932621144999361,-0.08178667166354629
C. elegans,IL1VR,12,0.002255754341869434,0.5067465018470592
C. elegans,IL2DL,16,-0.0016119239914430875,-0.32127946298433496
C. elegans,IL2DR,16,-0.001920836055798732,-0.3874140243652624
C. elegans,IL2L,15,-0.0004116991403616563,-0.06432496607813767
C. elegans,IL2R,11,0.0018067945097588805,0.41062930540081516
C. elegans,IL2VL,11,-0.0014704154833333199,-0.2909841000141969
C. elegans,IL2VR,13,-0.0037758535502236935,-0.7845521827717336
C. elegans,OLLL,16,-0.0009113053644499145,-0.17128497931743475
C. elegans,OLLR,17,0.004389502283544542,0.9635576805055843
C. elegans,OLQDL,17,0.0038600963383145634,0.8502178857220071
C. elegans,OLQDR,16,-0.001383813983194822,-0.2724437032882338
C. elegans,OLQVL,16,0.001068122674820784,0.25248806248764155
C. elegans,OLQVR,12,0.0007958897723210895,0.19420609270498382
C. elegans,RIAL,12,-0.0015655647815007929,-0.3113544831299702
C. elegans,RIAR,8,-0.0023829381711809356,-0.48634483426337183
C. elegans,RIBL,10,0.025997106002535585,5.5895000095276695
C. elegans,RIBR,3,0.02429932552611827,5.226024509264613
C. elegans,RICL,16,-0.004687379095200781,-0.9796994400674781
C. elegans,RICR,10,-0.003965938480269139,-0.8252472054795773
C. elegans,RID,14,0.0075413278279499035,1.6383277007805883
C. elegans,RIH,14,-0.002615374689225555,-0.5361068505247158
C. elegans,RIML,7,-0.004505440351377331,-0.9407484232269443
C. elegans,RIMR,7,0.002064011324772575,0.4656965015500257
C. elegans,RIR,4,-0.004980101364506433,-1.0423679503677794
C. elegans,RIS,3,0.003178909046194219,0.7043834299631816
