species,measure,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept
C. elegans,SigPartnerNetTE_z,120,0.3583707249169174,5.8446936392034444e-05,0.3799499965275366,1.867015906486939e-05,0.35837072491691757,5.907955128313534e-16
C. elegans,SigOutTE_mean_z,120,0.5922175535125106,1.0460665675206616e-12,0.6503576637266476,9.07910617807216e-16,0.5922175535125109,-1.947288168368438e-16
C. elegans,SigInTE_mean_z,120,0.31248586357451524,0.0005113900371841222,0.306049031182721,0.0006751910846914434,0.31248586357451524,1.840401633172819e-15
C. elegans,n_sig_partners_z,120,0.5177770618762606,1.394600868503771e-09,0.5232605381963719,8.699545436969546e-10,0.5177770618762608,9.280218585167452e-16
Drosophila,SigPartnerNetTE_z,67,0.6449184294946774,3.854630304517497e-09,0.6650171601883631,8.365446412504483e-10,0.6449184294946769,-6.557496931364628e-16
Drosophila,SigOutTE_mean_z,67,0.7393581075096712,8.991133917054235e-13,0.7819857929603321,5.6458584592118555e-15,0.7393581075096709,-8.542315810824227e-16
Drosophila,SigInTE_mean_z,67,0.6497415858388087,2.699275304992202e-09,0.619642429563413,2.2603686707937707e-08,0.6497415858388085,-1.3012583114451321e-15
Drosophila,n_sig_partners_z,67,0.818401358756463,2.7465149203301245e-17,0.792333480297347,1.3856808021398946e-15,0.8184013587564632,-1.3555459575597255e-15
Zebrafish,SigPartnerNetTE_z,49,0.20054662687793115,0.16707328884253703,0.16295918367346937,0.26324051748853045,0.2005466268779312,-5.215033135046085e-16
Zebrafish,SigOutTE_mean_z,49,-0.3984571447775849,0.0045730360308082274,-0.3405102040816326,0.01666273662386546,-0.398457144777585,-7.8626610743513075e-16
Zebrafish,SigInTE_mean_z,49,-0.7080660728504089,1.2680337654497291e-08,-0.7870408163265307,2.0064003959514654e-11,-0.7080660728504091,2.078262842178067e-15
Zebrafish,n_sig_partners_z,49,-0.47729831239976006,0.0005248904514415894,-0.5244897959183673,0.00010954986231107184,-0.4772983123997603,1.3738543410393663e-15
