species,node,n_recordings,SigPartnerNetTE,SigOutTE_mean,SigInTE_mean,n_sig_partners,n_sig_out,n_sig_in,SigPartnerNetTE_z,SigOutTE_mean_z,SigInTE_mean_z,n_sig_partners_z,n_sig_out_z,n_sig_in_z,FCV_z,anatomy_group
C. elegans,ADAL,12.0,-0.0003680920622013,0.0600431506111399,0.0653195572308509,8.166666666666666,4.333333333333333,4.25,0.1552078384430583,-1.017868053413875,-0.7385376260739124,-0.83375630981625,,,-0.8770421049917835,interneurons
C. elegans,ADAR,1.0,0.009579496077269,0.0618392767717924,0.0601002115154286,7.0,4.0,3.0,0.7265277828919268,-0.7538676418080186,-1.7520762970138035,-0.9646924030693156,,,-0.770589860648021,interneurons
C. elegans,ADEL,15.0,-0.002057909806114,0.0624884213870437,0.0646777712694984,4.6,2.0,2.6666666666666665,0.0581565164497104,-0.6584542742103788,-0.8631652950890186,-1.2340466520470506,,,-1.2870582303216525,sensory neurons
C. elegans,ADER,8.0,-0.0036608940304401,0.060222629521955,0.0599266788131243,4.0,2.25,2.125,-0.0339076950108116,-0.99148766468186,-1.785774410541418,-1.3013852142914841,,,-1.3125204099010863,sensory neurons
C. elegans,ADLL,9.0,0.0021118122183464,0.0637049131588783,0.0638962793402602,2.4444444444444446,1.7777777777777777,0.7777777777777778,0.2976362096156975,-0.4796503931050395,-1.0149223034377663,-1.4759666719622382,,,0.2041205974077444,olf./chemo
C. elegans,ADLR,5.0,-0.0040432246829774,0.0609169155716102,0.0643930240969328,4.8,2.4,2.4,-0.0558660957916005,-0.8894392635747814,-0.9184600171809564,-1.2116004646322394,,,0.333552752051696,olf./chemo
C. elegans,AIBL,16.0,0.012873528612083,0.0852532639756043,0.0739848116047109,33.5625,22.5625,19.1875,0.9157139914901112,2.687595655455737,0.944158037385832,2.016441862960302,,,1.1137991053533975,interneurons
C. elegans,AIBR,16.0,0.014302502658265,0.0834134011599549,0.0765042627884199,31.1875,22.0625,17.125,0.9977842743805176,2.417166689344952,1.4334073309685689,1.7498933874094187,,,1.186563992779952,interneurons
C. elegans,AIML,3.0,-0.0137407279389068,0.0668652336616212,0.0733378799465121,11.333333333333334,7.0,8.333333333333334,-0.6128229122370885,-0.0151363006052751,0.8185311314879811,-0.47835834241507197,,,1.5676375161108422,interneurons
C. elegans,AIMR,4.0,0.0064552370930792,0.067025450947664,0.0688348032099903,15.0,10.75,6.25,0.5470921805865966,0.0084129524418009,-0.0559160999319904,-0.066844906476866,,,0.9913381590676247,interneurons
