predictor,label,outcome,method,n,r,abs_r,p,q_bh
IntraPostDCA,Intra Post-DCA,ZFCV,pearson,47,0.5867540731190715,0.5867540731190715,1.4604008356366783e-05,0.0002628721504146021
IntraPostDCA,Intra Post-DCA,ZFCV,spearman,47,0.49410268270120256,0.49410268270120256,0.00041589198192725673,0.007486055674690621
IntraPreDCA,Intra Pre-DCA,ZFCV,pearson,47,-0.27845675649920465,0.27845675649920465,0.05805620927139064,0.11611241854278126
IntraPreDCA,Intra Pre-DCA,ZFCV,spearman,47,-0.09851988899167437,0.09851988899167437,0.5100006939191812,0.6557151778960902
GlobalPreDCA,Global Pre-DCA,ZFCV,pearson,47,-0.21067021505837907,0.21067021505837907,0.15520047894166306,0.23093197453936612
GlobalPreDCA,Global Pre-DCA,ZFCV,spearman,47,-0.15772432932469935,0.15772432932469935,0.2896764484717795,0.4345146727076692
GlobalPostDCA,Global Post-DCA,ZFCV,pearson,47,0.5014095085101726,0.5014095085101726,0.0003303455804423728,0.0014865551119906774
GlobalPostDCA,Global Post-DCA,ZFCV,spearman,47,0.37303422756706756,0.37303422756706756,0.00980905735030049,0.05325660494537114
RegionMeanGlobalDCA,Region mean global DCA,ZFCV,pearson,47,0.019791145582778065,0.019791145582778065,0.8949522349171213,0.9230149099755924
RegionMeanGlobalDCA,Region mean global DCA,ZFCV,spearman,47,-0.19010175763182238,0.19010175763182238,0.2005850902503146,0.41243795891212676
GlobalPostCOut,Target global c_out,ZFCV,pearson,47,-0.052008200256986985,0.052008200256986985,0.7284528568212733,0.865099800505839
GlobalPostCOut,Target global c_out,ZFCV,spearman,47,0.04891304347826087,0.04891304347826087,0.7440485255815388,0.8453582721649028
GlobalPostCIn,Target global c_in,ZFCV,pearson,47,-0.568959707264553,0.568959707264553,3.007253622938615e-05,0.00027065282606447536
GlobalPostCIn,Target global c_in,ZFCV,spearman,47,-0.36840888066605,0.36840888066605,0.010834508459533735,0.05325660494537114
TargetDCAEnrichmentZ,Target-cell DCA enrichment,ZFCV,pearson,47,0.3572401528412103,0.3572401528412103,0.013697027950790948,0.03567869606850143
TargetDCAEnrichmentZ,Target-cell DCA enrichment,ZFCV,spearman,47,0.3642460684551342,0.3642460684551342,0.011834801098971365,0.05325660494537114
MeanTargetLocal2StepPathCount,Target local 2-step paths,ZFCV,pearson,47,0.13857996789967952,0.13857996789967952,0.352906420505181,0.45373682636380414
MeanTargetLocal2StepPathCount,Target local 2-step paths,ZFCV,spearman,47,0.24375578168362627,0.24375578168362627,0.09871469370150975,0.3553728973254351
MeanTargetInterOutDegree,Target inter out-degree,ZFCV,pearson,47,-0.27989126695350314,0.27989126695350314,0.05672212539352581,0.11611241854278126
MeanTargetInterOutDegree,Target inter out-degree,ZFCV,spearman,47,-0.1877890841813136,0.1877890841813136,0.20621897945606338,0.41243795891212676
MeanTargetDownstreamRegionCount,Target downstream regions,ZFCV,pearson,47,-0.24931894667766838,0.24931894667766838,0.09102358316404043,0.14894768154115706
MeanTargetDownstreamRegionCount,Target downstream regions,ZFCV,spearman,47,-0.16362164662349676,0.16362164662349676,0.27178795223021107,0.4345146727076692
AreaDCA,Area-level DCA,ZFCV,pearson,47,0.014485235486446115,0.014485235486446115,0.9230149099755924,0.9230149099755924
AreaDCA,Area-level DCA,ZFCV,spearman,47,-0.006244218316373728,0.006244218316373728,0.9667730478729228,0.9667730478729228
AreaLogOutInStrength,Area out/in strength,ZFCV,pearson,47,0.2669170611634795,0.2669170611634795,0.06972722977236921,0.1255090135902646
AreaLogOutInStrength,Area out/in strength,ZFCV,spearman,47,0.19923681776133212,0.19923681776133212,0.17939373034722622,0.41243795891212676
AreaReach2,Area 2-step reach,ZFCV,pearson,47,-0.35661386456392186,0.35661386456392186,0.013875048471083888,0.03567869606850143
AreaReach2,Area 2-step reach,ZFCV,spearman,47,-0.046835301872633545,0.046835301872633545,0.7545753438322543,0.8453582721649028
LogNRegionNeurons,Region neuron count,ZFCV,pearson,47,-0.0440066084025428,0.0440066084025428,0.7689776004496347,0.865099800505839
LogNRegionNeurons,Region neuron count,ZFCV,spearman,47,0.038274745605920445,0.038274745605920445,0.7983939237112971,0.8453582721649028
LogIntraEdges,Intra-area edges,ZFCV,pearson,47,-0.20504569352089966,0.20504569352089966,0.16678420383398665,0.23093197453936612
LogIntraEdges,Intra-area edges,ZFCV,spearman,47,-0.14269195189639222,0.14269195189639222,0.33866169979692995,0.4689161997188261
LogInterOutEdges,Inter-area out edges,ZFCV,pearson,47,-0.4205652179754142,0.4205652179754142,0.0032457048762545328,0.011684537554516318
LogInterOutEdges,Inter-area out edges,ZFCV,spearman,47,-0.1599213691026827,0.1599213691026827,0.2829246566531275,0.4345146727076692
LogInterInEdges,Inter-area in edges,ZFCV,pearson,47,-0.5061629091439834,0.5061629091439834,0.0002835910104125703,0.0014865551119906774
LogInterInEdges,Inter-area in edges,ZFCV,spearman,47,-0.19438020351526367,0.19438020351526367,0.19045031042161042,0.41243795891212676
IntraPostDCA,Intra Post-DCA,RawFCV,pearson,47,0.5927762707208711,0.5927762707208711,1.1325702510082607e-05,0.00020386264518148692
