x,y,method,n,r,p
IntraPostDCA,ZFCV,pearson,47,0.5867540731190715,1.4604008356366783e-05
IntraPostDCA,ZFCV,spearman,47,0.49410268270120256,0.00041589198192725673
GlobalPostDCA,ZFCV,pearson,47,0.5014095085101726,0.0003303455804423728
GlobalPostDCA,ZFCV,spearman,47,0.37303422756706756,0.00980905735030049
IntraPreDCA,ZFCV,pearson,47,-0.27845675649920465,0.05805620927139064
IntraPreDCA,ZFCV,spearman,47,-0.09851988899167437,0.5100006939191812
GlobalPreDCA,ZFCV,pearson,47,-0.21067021505837907,0.15520047894166306
GlobalPreDCA,ZFCV,spearman,47,-0.15772432932469935,0.2896764484717795
GlobalPostDCA_TargetAreaEqualMean,ZFCV,pearson,47,0.5597658651521182,4.297949721178075e-05
GlobalPostDCA_TargetAreaEqualMean,ZFCV,spearman,47,0.398936170212766,0.005474990095395597
GlobalPostDCA_TargetAreaEdgeWeightedMean,ZFCV,pearson,47,0.5014095085101725,0.0003303455804423751
GlobalPostDCA_TargetAreaEdgeWeightedMean,ZFCV,spearman,47,0.37303422756706756,0.00980905735030049
RegionMeanGlobalDCA,ZFCV,pearson,47,0.019791145582778065,0.8949522349171213
RegionMeanGlobalDCA,ZFCV,spearman,47,-0.19010175763182238,0.2005850902503146
GlobalPostCOut,ZFCV,pearson,47,-0.052008200256986985,0.7284528568212733
GlobalPostCOut,ZFCV,spearman,47,0.04891304347826087,0.7440485255815388
GlobalPostCIn,ZFCV,pearson,47,-0.568959707264553,3.007253622938615e-05
GlobalPostCIn,ZFCV,spearman,47,-0.36840888066605,0.010834508459533735
IntraPostDCA,RawFCV,pearson,47,0.5927762707208711,1.1325702510082607e-05
IntraPostDCA,RawFCV,spearman,47,0.48704902867715083,0.0005169292752509904
GlobalPostDCA,RawFCV,pearson,47,0.5008843882160705,0.00033591624242610335
GlobalPostDCA,RawFCV,spearman,47,0.36979648473635524,0.010517628398589452
IntraPreDCA,RawFCV,pearson,47,-0.2945118527029313,0.04448242044891519
IntraPreDCA,RawFCV,spearman,47,-0.1112395929694727,0.45663476623345434
GlobalPreDCA,RawFCV,pearson,47,-0.22951107359216236,0.12069178639076829
GlobalPreDCA,RawFCV,spearman,47,-0.17183163737280294,0.24812652618877
GlobalPostDCA_TargetAreaEqualMean,RawFCV,pearson,47,0.5560948560803285,4.942146866961631e-05
GlobalPostDCA_TargetAreaEqualMean,RawFCV,spearman,47,0.40575855689176693,0.004659507846903448
GlobalPostDCA_TargetAreaEdgeWeightedMean,RawFCV,pearson,47,0.5008843882160705,0.00033591624242610335
GlobalPostDCA_TargetAreaEdgeWeightedMean,RawFCV,spearman,47,0.36979648473635524,0.010517628398589452
RegionMeanGlobalDCA,RawFCV,pearson,47,0.027913669747356033,0.8522490026177865
RegionMeanGlobalDCA,RawFCV,spearman,47,-0.18709528214616097,0.2079305884459379
GlobalPostCOut,RawFCV,pearson,47,-0.06578433443894618,0.6604246933019002
GlobalPostCOut,RawFCV,spearman,47,0.03295559666975023,0.8259427854169388
GlobalPostCIn,RawFCV,pearson,47,-0.5738351746835544,2.477595761772942e-05
GlobalPostCIn,RawFCV,spearman,47,-0.3712997224791859,0.010183360605489189
IntraPostDCA,ZFCS,pearson,47,-0.3126207484823439,0.032398980051232235
IntraPostDCA,ZFCS,spearman,47,-0.3712997224791859,0.010183360605489189
GlobalPostDCA,ZFCS,pearson,47,-0.47534234909982376,0.0007341420623373807
GlobalPostDCA,ZFCS,spearman,47,-0.4784921369102683,0.0006688370023265056
IntraPreDCA,ZFCS,pearson,47,0.4467180933849089,0.0016456689529073681
IntraPreDCA,ZFCS,spearman,47,0.3847132284921369,0.00758364212700979
GlobalPreDCA,ZFCS,pearson,47,0.3142928883214405,0.03143578693627533
GlobalPreDCA,ZFCS,spearman,47,0.24444958371877892,0.0977290291605171
GlobalPostDCA_TargetAreaEqualMean,ZFCS,pearson,47,-0.42871236698902676,0.002641729312973698
GlobalPostDCA_TargetAreaEqualMean,ZFCS,spearman,47,-0.4194033302497687,0.003341063259765302
GlobalPostDCA_TargetAreaEdgeWeightedMean,ZFCS,pearson,47,-0.47534234909982365,0.0007341420623373807
GlobalPostDCA_TargetAreaEdgeWeightedMean,ZFCS,spearman,47,-0.4784921369102683,0.0006688370023265056
RegionMeanGlobalDCA,ZFCS,pearson,47,0.0665395340245803,0.6567667903633803
RegionMeanGlobalDCA,ZFCS,spearman,47,0.11864014801110083,0.4270410585841443
GlobalPostCOut,ZFCS,pearson,47,0.3476783693254018,0.016637901827618696
GlobalPostCOut,ZFCS,spearman,47,0.14523589269195192,0.33003023277323207
GlobalPostCIn,ZFCS,pearson,47,0.6574163413423004,5.165613672545387e-07
GlobalPostCIn,ZFCS,spearman,47,0.6070767807585569,6.064289786345508e-06
IntraPostDCA,RawFCS,pearson,47,-0.3086679569854396,0.034773300899589514
IntraPostDCA,RawFCS,spearman,47,-0.38748843663274746,0.007124287546896212
GlobalPostDCA,RawFCS,pearson,47,-0.4554798704148046,0.001294881412479701
