threshold,threshold_value,X,Y,Method,R,P,N
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanZFCV,pearson,0.23779517034082012,0.10750153923742162,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanZFCV,spearman,0.03561517113783534,0.8121402678826464,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,pearson,0.24520597955466938,0.09666311529064049,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,spearman,0.042321924144310824,0.7775922404331262,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanZFC,pearson,-0.3580580492168611,0.01346748058804311,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanZFC,spearman,-0.245259019426457,0.09658870988873616,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanRawFC,pearson,-0.3700813917985827,0.0104535605447649,47
all,0.0,RegionSC_DCA_scaled_sqrtN,MeanRawFC,spearman,-0.26248843663274746,0.07467195449938188,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,pearson,0.0430927332063641,0.7736473577185882,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,spearman,-0.01931082331174838,0.8974879270533872,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,pearson,0.04083814435504773,0.7852015341900548,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,spearman,-0.021160962072155412,0.887726549472574,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,pearson,-0.362811383519141,0.01219740011087571,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,spearman,-0.08695652173913043,0.5611098378293565,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,pearson,-0.3606278208682164,0.012767504288557944,47
all,0.0,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,spearman,-0.091581868640148,0.5403817296617073,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,pearson,0.2505660508473694,0.0893651136492392,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,spearman,0.16443108233117484,0.26939101171305446,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,pearson,0.2526903793520842,0.08659430703931831,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,spearman,0.17402867715078632,0.2420384373500984,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,pearson,-0.3340441630555875,0.02174572699010081,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,spearman,-0.06938020351526364,0.643079275608129,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,pearson,-0.3293890771261948,0.023767101980547004,47
all,0.0,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,spearman,-0.04590656799259945,0.7592951602253526,47
all,0.0,out_degree,MeanZFCV,pearson,-0.4029336347331208,0.00498329335631025,47
all,0.0,out_degree,MeanZFCV,spearman,-0.18979525927234253,0.2013254436191963,47
all,0.0,out_degree,MeanRawFCV,pearson,-0.40367937100530976,0.004895965006929955,47
all,0.0,out_degree,MeanRawFCV,spearman,-0.18747856401116042,0.20698380611920655,47
all,0.0,out_degree,MeanZFC,pearson,0.6781243336443222,1.6325495341669154e-07,47
all,0.0,out_degree,MeanZFC,spearman,0.5358516139114169,0.00010373669456343335,47
all,0.0,out_degree,MeanRawFC,pearson,0.6519301536226911,6.906963435128445e-07,47
all,0.0,out_degree,MeanRawFC,spearman,0.509325453170882,0.0002558924401695637,47
all,0.0,in_degree,MeanZFCV,pearson,-0.4558156921984464,0.001282876080730592,47
all,0.0,in_degree,MeanZFCV,spearman,-0.17781667818112637,0.23178186866061812,47
all,0.0,in_degree,MeanRawFCV,pearson,-0.460029387033584,0.0011404533818053576,47
all,0.0,in_degree,MeanRawFCV,spearman,-0.17949637970140409,0.22733067688926492,47
all,0.0,in_degree,MeanZFC,pearson,0.7435415594509904,2.1356795297437415e-09,47
all,0.0,in_degree,MeanZFC,spearman,0.6273974781947755,2.364578234026443e-06,47
all,0.0,in_degree,MeanRawFC,pearson,0.7269250990305984,7.219762691076247e-09,47
all,0.0,in_degree,MeanRawFC,spearman,0.6203311476611932,3.305711704256515e-06,47
all,0.0,out_strength,MeanZFCV,pearson,-0.11233507501647438,0.4521851732613612,47
all,0.0,out_strength,MeanZFCV,spearman,-0.17356614246068455,0.2433116227694611,47
all,0.0,out_strength,MeanRawFCV,pearson,-0.11661565799627835,0.4350274681617226,47
all,0.0,out_strength,MeanRawFCV,spearman,-0.18674838112858466,0.2087901151678906,47
all,0.0,out_strength,MeanZFC,pearson,0.33963319995222857,0.0195116493906502,47
all,0.0,out_strength,MeanZFC,spearman,0.4978029602220167,0.0003703503888822461,47
all,0.0,out_strength,MeanRawFC,pearson,0.31115464192391573,0.03326346863905563,47
all,0.0,out_strength,MeanRawFC,spearman,0.47583256244218325,0.0007236166500630781,47
all,0.0,in_strength,MeanZFCV,pearson,-0.15171214251398127,0.3086843058240027,47
all,0.0,in_strength,MeanZFCV,spearman,-0.1963459759481961,0.18591805368412911,47
all,0.0,in_strength,MeanRawFCV,pearson,-0.1578295336725069,0.2893507722968583,47
all,0.0,in_strength,MeanRawFCV,spearman,-0.20397779833487512,0.16905263999631573,47
all,0.0,in_strength,MeanZFC,pearson,0.244483000776263,0.09768174702267315,47
all,0.0,in_strength,MeanZFC,spearman,0.5615171137835338,4.0185856014017274e-05,47
all,0.0,in_strength,MeanRawFC,pearson,0.2207740332454119,0.1358921462025799,47
all,0.0,in_strength,MeanRawFC,spearman,0.5472941720629046,6.862106494906238e-05,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanZFCV,pearson,0.10953107972038142,0.4636215527746054,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanZFCV,spearman,0.030932901634735152,0.8364752042244284,47
