neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
ADAL,12,0.2935116221919119,0.2860849059255821,0.5076718374502515,0.2366086697887455,0.2876397340598868,0.8240191395251261,0.5846245001448059,0.7769833082177418,1.0106878040928027,1.1191353741091954,Interneuron,0.0488784857946021,0.0056469542714571,0.0432315315231449,-0.0506460303835138,0.026422182501429,0.1663314217665249,0.5238095238095238,11,21,14,86.0,32.0
ADAR,1,0.24620987069822825,0.2422629803070426,0.6621763917460339,0.1919351541221076,0.3039957046831152,-1.2336075409478502,-1.231460609849393,2.1096049721591483,-1.1839528722041242,1.4332498297297585,Interneuron,0.0486086414883051,0.0141533089876855,0.0344553325006195,-0.0456181331762736,0.0322677412610034,0.048304679574555,0.4444444444444444,8,18,16,97.0,46.0
ADEL,15,0.25588804543564075,0.24995501410126975,0.5266811277870649,0.1935404751153196,0.2618828684329911,-0.812606839512118,-0.912684384430441,0.9409408836720796,-1.1050895300730392,0.6244778566033721,Sensory,0.0531048047597098,0.0293717946008489,0.0237330101588609,-0.03157723490657,0.1383355165121818,0.6989700043360189,0.5294117647058824,18,34,6,128.0,39.0
ADER,8,0.2291287856189369,0.22400420269983823,0.521648308914242,0.17298464921087764,0.25833812598209743,-1.976634919020139,-1.9881478998554432,0.8975321732221763,-2.1149194257410993,0.5564015026573548,Sensory,0.0436800243181875,0.0129714985044479,0.0307085258137396,-0.0379609791744908,0.0557154811087681,0.3357921019231931,0.68,17,25,11,85.0,36.0
ADLL,9,0.2902164115094148,0.2855358735382387,0.6779855529730291,0.22652710984933788,0.32599492530833274,0.6806774406666597,0.5618712886077699,2.245961022217741,0.5154189363221661,1.855742225317278,Sensory,0.0652994086313301,0.0042960685416676,0.0610033400896625,-0.0220011079190079,0.0364596536509274,0.3979400086720376,0.6666666666666666,16,24,9,148.0,19.0
ADLR,5,0.2944899939456356,0.28815502305506147,0.6625711284879424,0.2311581693528208,0.3291914196932938,0.8665783209573777,0.6704150910813409,2.1130096273566505,0.7429253550364905,1.9171305168932165,Sensory,0.0628092614443492,0.0086073537841361,0.0542019076602131,-0.0163826686176243,0.0130064956132039,0.1597008428675118,0.56,14,25,17,152.0,52.0
AIBL,16,0.2862492785635354,0.291164801470281,0.2080023034923527,0.23257375263758331,0.1318225077371084,0.5081071163835335,0.7951474867282742,-1.8077049865429122,0.8124676019598932,-1.873315783340043,Interneuron,0.0825139821547291,0.064797923779261,0.0177160583754681,-0.0362443906814683,0.0210420056080165,-0.1567861038602945,0.5,11,22,32,171.0,258.0
AIBR,16,0.2927285421061938,0.2969063107926158,0.2338711119961649,0.23301537502220832,0.13962021138087902,0.7899551476762033,1.0330893261615874,-1.584583184149073,0.8341628375910811,-1.7235618193854403,Interneuron,0.0583709325201346,0.0672638966687261,-0.0088929641485915,-0.018654001099111,0.0187936784794492,-0.1035405919070695,0.0,0,25,32,129.0,286.0
AIML,3,0.2995164259915078,0.2946748281875928,0.383319230725492,0.23783759528127205,0.2193894738920981,1.0852281670746429,0.9406113650726545,-0.295573927679374,1.0710602604305324,-0.1916026928888208,Interneuron,0.0036522831271764,0.0017880467271204,0.001864236400056,0.003309356207847,0.0051363806056892,0.3245110915135041,0.7222222222222222,13,18,8,59.0,20.0
AIMR,4,0.2957913708198056,0.2930922268229503,0.43739237668304937,0.23557286509795217,0.23765331143459878,0.923188228478463,0.8750245901234542,0.17081391485992925,0.9598026415262966,0.15915211826604447,Interneuron,0.0065719655488039,0.0015644914262627,0.0050074741225411,0.006319478465967,0.0144970585762403,0.4586378490256493,0.8181818181818182,18,22,7,65.0,16.0
AINL,12,0.31162181447600995,0.30614765769818125,0.5337745551662372,0.25333215488820093,0.2910171238008421,1.611812691677882,1.4160727819225554,1.0021226076682774,1.8322493064958796,1.1839977393174088,Interneuron,0.0070563795422196,0.0014809431030809,0.0055754364391386,-0.0027406274381846,0.0163902618178463,0.2730012720637376,0.5714285714285714,8,14,7,47.0,8.0
AINR,11,0.28285829689892683,0.27736270269235735,0.5129770656382768,0.2229777670755091,0.27704729228828096,0.36059937881011767,0.22315559628857548,0.8227415840675314,0.34105316480572295,0.9157087993478538,Interneuron,0.0057239804673577,0.0003816210464925,0.0053423594208652,0.0050045042788847,0.0082381453760399,0.6532125137753437,0.7058823529411765,12,17,3,52.0,6.0
AIYL,3,0.24510968847532388,0.24006028168007557,0.49358893552394,0.2025749267899002,0.27320310290722666,-1.2814654790525815,-1.3227456942398224,0.6555164667792878,-0.6612611266621905,0.8418816029956342,Interneuron,0.0920450186433035,0.0124034889663841,0.0796415296769194,0.0387711934053101,0.0143317844181011,0.0,0.8333333333333334,10,12,12,191.0,121.0
