neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
ADAL,12,0.29745975569900346,0.29120106558402215,0.5252850752146817,0.24360823146849406,0.3012358444304309,0.9367422664025478,0.7601928143596673,1.0147431618662968,1.2374113930012731,1.3994148587277297,Interneuron,0.0488784857946021,0.0056469542714571,0.0432315315231449,-0.0506460303835138,0.026422182501429,0.1663314217665249,0.5238095238095238,11,21,14,86.0,32.0
ADAR,1,0.22866504657953554,0.2211561475012287,0.7131634931634983,0.18819813690603662,0.38334687809952184,-1.8118814349389674,-1.9364509254360744,2.5618911945305034,-1.3507907847816738,2.8937353067783405,Interneuron,0.0486086414883051,0.0141533089876855,0.0344553325006195,-0.0456181331762736,0.0322677412610034,0.048304679574555,0.4444444444444444,8,18,16,97.0,46.0
ADEL,15,0.2583739838410002,0.25018607216586725,0.5595219697193016,0.20304201450108278,0.2940706044934345,-0.6248906017235454,-0.8188343051823651,1.2966783865485965,-0.657434156867302,1.2690162499829818,Sensory,0.0531048047597098,0.0293717946008489,0.0237330101588609,-0.03157723490657,0.1383355165121818,0.6989700043360189,0.5294117647058824,18,34,6,128.0,39.0
ADER,8,0.2231144557515376,0.21780686160240256,0.5453374792385173,0.16938924337463615,0.2648835988711556,-2.0336497322623814,-2.065394339163534,1.179871428190728,-2.229353068135757,0.7378484230803548,Sensory,0.0436800243181875,0.0129714985044479,0.0307085258137396,-0.0379609791744908,0.0557154811087681,0.3357921019231931,0.68,17,25,11,85.0,36.0
ADLL,9,0.28044200144728254,0.2773640217241742,0.6483970333029035,0.2291261383309311,0.33384193167848397,0.2568149394527971,0.2274835368952654,2.028549994141842,0.5609536952933921,1.9928057920588873,Sensory,0.0652994086313301,0.0042960685416676,0.0610033400896625,-0.0220011079190079,0.0364596536509274,0.3979400086720376,0.6666666666666666,16,24,9,148.0,19.0
ADLR,5,0.29648512522773657,0.29525578643819556,0.5886033808482442,0.2343924858172058,0.30244171229996497,0.8978018820668614,0.9162946117106439,1.536159049130607,0.8069444690065457,1.421360180014926,Sensory,0.0628092614443492,0.0086073537841361,0.0542019076602131,-0.0163826686176243,0.0130064956132039,0.1597008428675118,0.56,14,25,17,152.0,52.0
AIBL,16,0.2870621124047578,0.29057005551174014,0.19991998233340075,0.23199001284298784,0.13179688313112872,0.5213148423687025,0.7358996977747353,-1.6645851444111062,0.6947251011632617,-1.6841671308303179,Interneuron,0.0825139821547291,0.064797923779261,0.0177160583754681,-0.0362443906814683,0.0210420056080165,-0.1567861038602945,0.5,11,22,32,171.0,258.0
AIBR,16,0.29111443211577115,0.29575595284450795,0.20077831094090082,0.23734253570247058,0.13441977219719464,0.6832212178104828,0.9355504070681915,-1.6575169487611146,0.9447411213656972,-1.6364337557983328,Interneuron,0.0583709325201346,0.0672638966687261,-0.0088929641485915,-0.018654001099111,0.0187936784794492,-0.1035405919070695,0.0,0,25,32,129.0,286.0
AIML,3,0.32642703732284845,0.32775728731988424,0.3739457854131512,0.24849127798611295,0.188594544042644,2.0941009914240842,2.167562673484587,-0.2315111287410668,1.465498201567733,-0.6505191263055465,Interneuron,0.0036522831271764,0.0017880467271204,0.001864236400056,0.003309356207847,0.0051363806056892,0.3245110915135041,0.7222222222222222,13,18,8,59.0,20.0
AIMR,4,0.3174599539988551,0.3150613748231892,0.398025188403015,0.2458550523261295,0.22056483370569938,1.7358301582204665,1.6787855588516638,-0.03322118479633168,1.342360259859195,-0.06869893188278138,Interneuron,0.0065719655488039,0.0015644914262627,0.0050074741225411,0.006319478465967,0.0144970585762403,0.4586378490256493,0.8181818181818182,18,22,7,65.0,16.0
AINL,12,0.3046100786259682,0.30130524672762204,0.5009800745596021,0.24410669165688104,0.27749148443956084,1.2224262575241727,1.1491914394197225,0.8145954580589714,1.2606944383616645,0.967296529743786,Interneuron,0.0070563795422196,0.0014809431030809,0.0055754364391386,-0.0027406274381846,0.0163902618178463,0.2730012720637376,0.5714285714285714,8,14,7,47.0,8.0
AINR,11,0.2849239847218119,0.279456744636863,0.4587869055631178,0.22440685997496396,0.2559753337184901,0.4358880922441575,0.30805081138274404,0.4671416146773275,0.34051648768837484,0.5757288859188621,Interneuron,0.0057239804673577,0.0003816210464925,0.0053423594208652,0.0050045042788847,0.0082381453760399,0.6532125137753437,0.7058823529411765,12,17,3,52.0,6.0
AIYL,3,0.2760071617401403,0.26838412227466785,0.5157096205461061,0.22586419914167224,0.2935035411538492,0.07962536067962137,-0.11823161699903333,0.9358908593288764,0.4085887123403497,1.2586963903268837,Interneuron,0.0920450186433035,0.0124034889663841,0.0796415296769194,0.0387711934053101,0.0143317844181011,0.0,0.8333333333333334,10,12,12,191.0,121.0
