Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile,RawFC,RawFCV,ZFC,ZFCV,LegacyPostDCA,LegacyPreDCA
12,0,MON,863,11366,31,9.5703709715562e-10,0.0021644681186677507,-0.008149873681999995,-0.003705256987055826,222656,81435,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1073350114754424,0.2892205944914553,-0.9404005054162892,-0.4412912299398621,-0.0671279105898621,-0.0764389809752232
12,1,Cb,1625,8051,14,9.622555928915545e-10,-0.0007995932724894212,-0.014691173187050734,0.0018912372191444676,192301,103134,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2352936678035034,0.2822940976249596,0.4647144696522329,-0.6326311484943061,-0.0305807769477171,-0.1062998680086874
12,2,MOS1,1419,59459,14,4.5919106914589807e-10,0.0037890823714881363,-0.012895074917252225,0.006038091583453652,418047,598237,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3019684473164987,0.2896688268964638,1.1968707288810705,-0.4289091046720896,0.0609816420684947,-0.0819059966686164
12,3,MOS2,558,2232,28,6.558744989030633e-10,-0.0024315519183001864,-0.013764358858083298,0.008997195045060417,157234,220431,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3337047281285404,0.2490801110303645,1.5453670690399703,-1.5501456745773228,0.0928836124225779,-0.0924355324702254
12,4,MOS3,1297,13742,13,4.601164214651719e-10,0.0025178057936210093,-0.016639350634425724,0.0011620437751158061,760662,123691,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.298448835124741,0.2975308752543776,1.1582218407246236,-0.2117251917260024,0.0037454569140922,-0.1123496821365833
12,5,MOS4,882,4185,11,1.945520333487912e-10,-0.0032616918266269532,-0.008577713094502117,0.00012033963620367901,257556,66127,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3235077351003373,0.2601274769661418,1.4333938113037883,-1.2449694593656324,-0.0194748938332133,-0.0527855204425864
12,6,MOS5,1182,13256,25,5.378849784377069e-10,-0.0035710324184399203,-0.008917256231427731,0.0016914416682765785,276479,123329,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2560141927877587,0.2871905680561879,0.6922467115664815,-0.497369374530715,-0.0114430742889335,-0.0615307129409128
12,7,IPN,24,14,26,7.754864600134575e-10,-1.0960251225119086e-11,-0.018647683443256447,-0.0008096555345380987,1339,6415,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.014225938225117,-0.0556333968707929
12,8,IO,1,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,9,Hc,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,10,Ra,254,702,15,7.510102913270485e-10,0.003792602546548496,-0.01733401789687156,0.009806026411695642,45217,150248,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2061267534992593,0.3311439463559443,0.1444323625913271,0.7168137812790445,0.1083140463648295,-0.093398684760369
12,11,T,1266,7283,22,7.461223314406575e-10,0.0026454897119690575,-0.01956731955566189,-0.00259095325232959,908139,335438,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3309299740674679,0.3014512024114892,1.514897473662622,-0.103428733443184,-0.0205487548513209,-0.1558596738352327
12,12,aRF,264,607,27,8.037389212287853e-10,-0.00040425973115990223,-0.011536769674222958,,189264,79622,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.301515941053044,0.2771359354302856,1.1919017541720651,-0.7751219852394454,-0.0267930886474619,-0.0816795112204864
12,13,imRF,382,1789,35,8.649364029037686e-10,0.002848362458942822,-0.025345514824120414,0.004720388678853703,146331,153242,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3278270568148391,0.2529074428867948,1.480824315791308,-1.4444181502883098,0.0485831990152887,-0.1970812571594407
12,14,pRF,485,3884,18,2.822562551039663e-10,-0.0032337418925997233,-0.018807737050673026,0.010365770772624674,150068,512232,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3214431076913649,0.2515635991030255,1.4107221220759305,-1.4815409506147024,0.1087958706762507,-0.1340500392358333
12,15,GG,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,16,Hb,309,633,176,9.812583939781538e-10,0.0007755113494196626,0.01865152713942518,0.0057461675495969426,14844,13,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.0595253031829721,0.3403677271833676,-1.465399274574791,0.9716146577249956,0.0545439685060972,0.1826128575152981
12,17,Hi,35,23,41,8.905731402633625e-10,-0.01758235518159365,-0.020548032283871052,-0.007802543137005542,5466,46,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,-0.067920497364222,-0.179441987713516
12,18,HR,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,19,OG,4,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
