Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile
12,0,MON,863,11366,31,9.5703709715562e-10,0.0021644681186677507,-0.008149873681999995,-0.003705256987055826,222656,81435,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,1,Cb,1625,8051,14,9.622555928915545e-10,-0.0007995932724894212,-0.014691173187050734,0.0018912372191444676,192301,103134,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,2,MOS1,1419,59459,14,4.5919106914589807e-10,0.0037890823714881363,-0.012895074917252225,0.006038091583453652,418047,598237,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,3,MOS2,558,2232,28,6.558744989030633e-10,-0.0024315519183001864,-0.013764358858083298,0.008997195045060417,157234,220431,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,4,MOS3,1297,13742,13,4.601164214651719e-10,0.0025178057936210093,-0.016639350634425724,0.0011620437751158061,760662,123691,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,5,MOS4,882,4185,11,1.945520333487912e-10,-0.0032616918266269532,-0.008577713094502117,0.00012033963620367901,257556,66127,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,6,MOS5,1182,13256,25,5.378849784377069e-10,-0.0035710324184399203,-0.008917256231427731,0.0016914416682765785,276479,123329,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,7,IPN,24,14,26,7.754864600134575e-10,-1.0960251225119086e-11,-0.018647683443256447,-0.0008096555345380987,1339,6415,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,8,IO,1,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,9,Hc,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
