species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,AVBL,-0.0284813167066697,21,0.3873349817527458,-0.1313519933416719,0.9244595349435024,0.9244595349435024,1,sensorimotor output,locomotor command interneuron,-0.1313519933416719,signed_PostDCA,3,sensorimotor output,21.0,-0.028481316706669764
C. elegans,BAGL,-0.0052441617902893,19,0.3871291779914279,0.0300907143407224,1.4517242918919655,1.4517242918919655,0,sensory input,thermo/gas sensory,0.0300907143407224,signed_PostDCA,2,other sensory,19.0,-0.005244161790289352
C. elegans,ASIL,0.0322131085676912,17,0.3802040399089336,0.0315659701679215,1.1971120119688037,1.1971120119688037,0,sensory input,chemosensory,0.0315659701679215,signed_PostDCA,0,olfactory / chemosensory,17.0,0.03221310856769127
C. elegans,RID,0.0265366973585774,8,0.3786347558989021,0.0108227569268958,1.206516453563277,1.206516453563277,2,integrative relay,integrative interneuron,0.0108227569268958,signed_PostDCA,4,integrative relay,8.0,0.0265366973585774
C. elegans,AIML,0.0066646005411318,18,0.3765584426919707,0.003309356207847,0.9681821108084344,0.9681821108084344,3,associative / learning,associative interneuron,0.003309356207847,signed_PostDCA,5,associative / learning,18.0,0.006664600541131878
C. elegans,RIS,-0.0293479547742437,25,0.3748638452544535,-0.0219287788226396,0.9586480487944484,0.9586480487944484,4,state-dependent / modulatory,state-modulatory interneuron,-0.0219287788226396,signed_PostDCA,6,state-dependent / modulatory,25.0,-0.029347954774243748
C. elegans,RMDL,-0.002428880623637,26,0.3733656436131191,0.059394912417754,0.9849602606250734,0.9849602606250734,1,sensorimotor output,head motor / command,0.059394912417754,signed_PostDCA,3,sensorimotor output,26.0,-0.002428880623637037
C. elegans,OLQVL,-0.048854043843316,7,0.3733040284769133,-0.0640467284785841,1.1522735251549137,1.1522735251549137,0,sensory input,mechanosensory,-0.0640467284785841,signed_PostDCA,2,other sensory,7.0,-0.048854043843316
C. elegans,RMEL,0.0233703309079851,4,0.3729178332574723,0.0299403921694242,1.206894611334205,1.206894611334205,1,sensorimotor output,head motor / command,0.0299403921694242,signed_PostDCA,3,sensorimotor output,4.0,0.023370330907985175
C. elegans,SMDVL,-0.0027890397590147,17,0.3722961878975545,0.0353375882419749,1.1500043900545958,1.1500043900545958,1,sensorimotor output,head motor / command,0.0353375882419749,signed_PostDCA,3,sensorimotor output,17.0,-0.0027890397590147786
C. elegans,OLQDL,-0.0193252448426388,10,0.3717282314424913,-0.0326671478443268,1.044455240180571,1.044455240180571,0,sensory input,mechanosensory,-0.0326671478443268,signed_PostDCA,2,other sensory,10.0,-0.01932524484263887
C. elegans,AVAL,-0.0090034062082857,42,0.3713074619127138,-0.0295817709980234,0.9531506706687886,0.9531506706687886,1,sensorimotor output,locomotor command interneuron,-0.0295817709980234,signed_PostDCA,3,sensorimotor output,42.0,-0.009003406208285773
C. elegans,RIVL,-0.000529334873281,10,0.3703209061685168,-0.01428840361736,0.997230902250066,0.997230902250066,1,sensorimotor output,head motor / command,-0.01428840361736,signed_PostDCA,3,sensorimotor output,10.0,-0.0005293348732810482
C. elegans,ASGL,0.0035099844373061,4,0.3692082883865347,-0.005239233925971,0.8773969832466972,0.8773969832466972,0,sensory input,chemosensory,-0.005239233925971,signed_PostDCA,0,olfactory / chemosensory,4.0,0.0035099844373061503
C. elegans,AVEL,-0.047074819879594,20,0.3686034438456281,-0.0709595308692543,0.6126277611952423,0.6126277611952423,1,sensorimotor output,locomotor command interneuron,-0.0709595308692543,signed_PostDCA,3,sensorimotor output,20.0,-0.04707481987959409
C. elegans,AIBR,-0.0003540215982086,25,0.368490605860843,-0.018654001099111,0.8820471275512428,0.8820471275512428,3,associative / learning,associative interneuron,-0.018654001099111,signed_PostDCA,5,associative / learning,25.0,-0.0003540215982086872
C. elegans,RIBL,-0.0039140295064979,17,0.3682373099953809,-0.0017944493823752,1.0562991765375076,1.0562991765375076,3,associative / learning,associative interneuron,-0.0017944493823752,signed_PostDCA,5,associative / learning,17.0,-0.003914029506497919
C. elegans,ASER,0.0222783088467986,17,0.3678751214799775,0.0341258340724581,0.7767642771058964,0.7767642771058964,0,sensory input,chemosensory,0.0341258340724581,signed_PostDCA,0,olfactory / chemosensory,17.0,0.022278308846798652
C. elegans,AIBL,-0.0050830114431454,22,0.3669500757456529,-0.0362443906814683,0.9811485212148382,0.9811485212148382,3,associative / learning,associative interneuron,-0.0362443906814683,signed_PostDCA,5,associative / learning,22.0,-0.005083011443145495
C. elegans,RMER,0.0305115326022739,2,0.3665676138667036,0.0352811430380435,0.8615438524198483,0.8615438524198483,1,sensorimotor output,head motor / command,0.0352811430380435,signed_PostDCA,3,sensorimotor output,2.0,0.030511532602273902
C. elegans,RIMR,-0.032417229178082,21,0.3662116515377592,-0.043059513472717,0.9796523400915012,0.9796523400915012,4,state-dependent / modulatory,state-modulatory interneuron,-0.043059513472717,signed_PostDCA,6,state-dependent / modulatory,21.0,-0.032417229178082055
C. elegans,RIVR,-0.0199744128282836,13,0.3661825565950331,0.0019053193605542,0.876074376911276,0.876074376911276,1,sensorimotor output,head motor / command,0.0019053193605542,signed_PostDCA,3,sensorimotor output,13.0,-0.019974412828283643
C. elegans,ASKL,0.0022529987243654,5,0.3658687676584213,-0.0047926839170861,0.5828654075667257,0.5828654075667257,0,sensory input,other sensory neuron,-0.0047926839170861,signed_PostDCA,2,other sensory,5.0,0.00225299872436542
C. elegans,IL1VR,-0.0312176042960224,8,0.3653855047800126,-0.115110472722582,0.9773081250372956,0.9773081250372956,0,sensory input,mechanosensory,-0.115110472722582,signed_PostDCA,2,other sensory,8.0,-0.031217604296022425
C. elegans,AWAL,0.0328311624613653,8,0.3646351405315848,0.0234944405480528,0.5762403946624005,0.5762403946624005,0,sensory input,chemosensory,0.0234944405480528,signed_PostDCA,0,olfactory / chemosensory,8.0,0.03283116246136539
C. elegans,RMEV,-0.0667890749393892,8,0.3645377102612743,-0.0497425749578728,0.8770372523427571,0.8770372523427571,1,sensorimotor output,head motor / command,-0.0497425749578728,signed_PostDCA,3,sensorimotor output,8.0,-0.0667890749393892
