species,recording_id,shared_fine_order,shared_fine_label,mean_fcv,n_nodes
C. elegans,2023-01-05-01,0,olfactory / chemosensory,1.0981404351738009,4
C. elegans,2023-01-05-01,2,other sensory,0.09227288484321682,27
C. elegans,2023-01-05-01,3,sensorimotor output,0.17024206224604302,16
C. elegans,2023-01-05-01,4,integrative relay,-0.4418725140222186,7
C. elegans,2023-01-05-01,5,associative / learning,-0.15110500223529205,8
C. elegans,2023-01-05-01,6,state-dependent / modulatory,-0.944808765842511,5
C. elegans,2023-01-05-18,0,olfactory / chemosensory,0.15242667297376442,10
C. elegans,2023-01-05-18,2,other sensory,0.08537252234364506,26
C. elegans,2023-01-05-18,3,sensorimotor output,0.19256675794676315,19
C. elegans,2023-01-05-18,4,integrative relay,-0.6255179777099289,6
C. elegans,2023-01-05-18,5,associative / learning,-0.5138532364974899,7
C. elegans,2023-01-05-18,6,state-dependent / modulatory,-0.0526401899192507,1
C. elegans,2023-01-06-01,0,olfactory / chemosensory,0.5395461164205556,5
C. elegans,2023-01-06-01,2,other sensory,-0.09225545031559496,26
C. elegans,2023-01-06-01,3,sensorimotor output,0.17284362867822026,22
C. elegans,2023-01-06-01,4,integrative relay,-0.040335124019342285,5
C. elegans,2023-01-06-01,5,associative / learning,-0.13746877042140615,5
C. elegans,2023-01-06-01,6,state-dependent / modulatory,-1.6063146163072175,2
C. elegans,2023-01-06-08,0,olfactory / chemosensory,-0.12940372223960767,10
C. elegans,2023-01-06-08,2,other sensory,0.150630375614389,26
C. elegans,2023-01-06-08,3,sensorimotor output,-0.0038347271516544807,14
C. elegans,2023-01-06-08,4,integrative relay,-0.38331464504934804,6
C. elegans,2023-01-06-08,5,associative / learning,-0.19371524746876967,11
C. elegans,2023-01-06-08,6,state-dependent / modulatory,0.46552230724944416,4
C. elegans,2023-01-06-15,0,olfactory / chemosensory,0.1877801968750334,8
C. elegans,2023-01-06-15,2,other sensory,-0.11711421134267734,25
C. elegans,2023-01-06-15,3,sensorimotor output,-0.0008054121930794097,15
C. elegans,2023-01-06-15,4,integrative relay,0.3927370379204322,6
C. elegans,2023-01-06-15,5,associative / learning,-0.0511190144423623,7
C. elegans,2023-01-06-15,6,state-dependent / modulatory,-0.5608942349633426,1
C. elegans,2023-01-09-08,0,olfactory / chemosensory,-0.022111861336536587,4
C. elegans,2023-01-09-08,2,other sensory,-0.17594600587083395,18
C. elegans,2023-01-09-08,3,sensorimotor output,0.33310123575218537,12
C. elegans,2023-01-09-08,4,integrative relay,-0.7322758432425349,5
C. elegans,2023-01-09-08,5,associative / learning,0.8494752694193686,2
C. elegans,2023-01-09-08,6,state-dependent / modulatory,1.2206893993688621,1
C. elegans,2023-01-09-15,0,olfactory / chemosensory,0.6183809433352062,13
C. elegans,2023-01-09-15,2,other sensory,-0.3181488364657899,28
C. elegans,2023-01-09-15,3,sensorimotor output,0.17468561649913789,20
C. elegans,2023-01-09-15,4,integrative relay,-0.6389406573810927,8
C. elegans,2023-01-09-15,5,associative / learning,-0.06515885979654065,10
C. elegans,2023-01-09-15,6,state-dependent / modulatory,0.7846541711789949,4
C. elegans,2023-01-09-22,0,olfactory / chemosensory,0.3453700462115739,9
C. elegans,2023-01-09-22,2,other sensory,-0.30931466085518616,30
C. elegans,2023-01-09-22,3,sensorimotor output,0.37419764547278656,20
C. elegans,2023-01-09-22,4,integrative relay,-0.3890894450083853,7
C. elegans,2023-01-09-22,5,associative / learning,0.03767484616255423,14
C. elegans,2023-01-09-22,6,state-dependent / modulatory,0.8833347690785366,1
C. elegans,2023-01-10-07,0,olfactory / chemosensory,0.5427348611685158,11
C. elegans,2023-01-10-07,2,other sensory,-0.30005990561534945,29
C. elegans,2023-01-10-07,3,sensorimotor output,0.3007967814096628,20
C. elegans,2023-01-10-07,4,integrative relay,-0.4603557869884056,8
C. elegans,2023-01-10-07,5,associative / learning,0.17736544220236605,10
C. elegans,2023-01-10-07,6,state-dependent / modulatory,-0.34377249107955,4
C. elegans,2023-01-10-14,0,olfactory / chemosensory,0.1914536625339353,9
C. elegans,2023-01-10-14,2,other sensory,-0.2662552435453764,31
C. elegans,2023-01-10-14,3,sensorimotor output,0.44866409887129094,17
C. elegans,2023-01-10-14,4,integrative relay,-0.17329104473519447,5
C. elegans,2023-01-10-14,5,associative / learning,-0.006499187743331217,11
C. elegans,2023-01-10-14,6,state-dependent / modulatory,-0.0792569024290069,2
C. elegans,2023-01-13-07,0,olfactory / chemosensory,0.3367305452664347,11
C. elegans,2023-01-13-07,2,other sensory,-0.1784646639114303,16
C. elegans,2023-01-13-07,3,sensorimotor output,0.21374796894949535,23
C. elegans,2023-01-13-07,4,integrative relay,-0.43882884498576147,5
C. elegans,2023-01-13-07,5,associative / learning,-0.22793603846194574,8
C. elegans,2023-01-13-07,6,state-dependent / modulatory,-0.5823907095207185,3
C. elegans,2023-01-16-01,0,olfactory / chemosensory,0.13779858670942408,8
C. elegans,2023-01-16-01,2,other sensory,0.17247451031803251,24
C. elegans,2023-01-16-01,3,sensorimotor output,0.046035314925130855,17
C. elegans,2023-01-16-01,4,integrative relay,-0.31384927626095077,6
C. elegans,2023-01-16-01,5,associative / learning,-0.050532914079001054,9
C. elegans,2023-01-16-01,6,state-dependent / modulatory,-1.2288284702528822,3
C. elegans,2023-01-16-08,0,olfactory / chemosensory,0.02244393225294674,10
C. elegans,2023-01-16-08,2,other sensory,-0.10551922409441383,23
C. elegans,2023-01-16-08,3,sensorimotor output,0.2613936495258328,20
C. elegans,2023-01-16-08,4,integrative relay,-0.19444081853674414,7
C. elegans,2023-01-16-08,5,associative / learning,0.05861580053336919,8
C. elegans,2023-01-16-08,6,state-dependent / modulatory,-0.7110702777948538,3
C. elegans,2023-01-16-15,0,olfactory / chemosensory,0.27210076558635166,9
C. elegans,2023-01-16-15,2,other sensory,-0.3644465341760158,30
C. elegans,2023-01-16-15,3,sensorimotor output,0.3642318082512166,13
C. elegans,2023-01-16-15,4,integrative relay,-0.03410905196758301,7
C. elegans,2023-01-16-15,5,associative / learning,0.5565392649376452,9
C. elegans,2023-01-16-15,6,state-dependent / modulatory,-0.5103071964640359,2
C. elegans,2023-01-16-22,0,olfactory / chemosensory,0.30281255376303157,7
C. elegans,2023-01-16-22,2,other sensory,-0.22052235985229243,28
C. elegans,2023-01-16-22,3,sensorimotor output,0.136743619607383,17
C. elegans,2023-01-16-22,4,integrative relay,-0.500227412182331,6
C. elegans,2023-01-16-22,5,associative / learning,0.2346462837311237,10
C. elegans,2023-01-16-22,6,state-dependent / modulatory,0.47703966039602486,5
C. elegans,2023-01-17-07,0,olfactory / chemosensory,-0.07449923798986033,8
C. elegans,2023-01-17-07,2,other sensory,-0.05009399504055361,24
C. elegans,2023-01-17-07,3,sensorimotor output,0.2428345089215501,19
C. elegans,2023-01-17-07,4,integrative relay,-0.2179815144799706,7
C. elegans,2023-01-17-07,5,associative / learning,-0.23846422358940586,8
C. elegans,2023-01-17-07,6,state-dependent / modulatory,0.30898925272874656,2
C. elegans,2023-01-17-14,0,olfactory / chemosensory,0.5864674005472932,10
C. elegans,2023-01-17-14,2,other sensory,-0.29662596570369787,32
C. elegans,2023-01-17-14,3,sensorimotor output,0.15220420654556685,22
C. elegans,2023-01-17-14,4,integrative relay,-0.3609100539168125,8
C. elegans,2023-01-17-14,5,associative / learning,0.1407300028776125,11
C. elegans,2023-01-17-14,6,state-dependent / modulatory,0.4045286881809087,4
C. elegans,2023-01-18-01,0,olfactory / chemosensory,0.2372116186034134,10
C. elegans,2023-01-18-01,2,other sensory,0.08384930951224341,25
C. elegans,2023-01-18-01,3,sensorimotor output,0.056610039334131806,17
C. elegans,2023-01-18-01,4,integrative relay,-0.17698864805333922,6
C. elegans,2023-01-18-01,5,associative / learning,-0.2605232110179432,8
C. elegans,2023-01-18-01,6,state-dependent / modulatory,-0.5711505040142069,4
Drosophila,2017-10-26_1,0,olfactory / chemosensory,1.2946207037655117,4
Drosophila,2017-10-26_1,1,visual / optic,-1.142690003109873,6
Drosophila,2017-10-26_1,3,sensorimotor output,0.1330813103130986,10
Drosophila,2017-10-26_1,4,integrative relay,-0.04800781060508234,44
Drosophila,2017-10-26_1,5,associative / learning,1.2295938835445588,2
Drosophila,2017-10-30_1,0,olfactory / chemosensory,1.354944435456757,4
Drosophila,2017-10-30_1,1,visual / optic,-1.1922371118273598,4
Drosophila,2017-10-30_1,3,sensorimotor output,0.6271167826110823,10
Drosophila,2017-10-30_1,4,integrative relay,-0.25168569443639216,44
Drosophila,2017-10-30_1,5,associative / learning,2.0760867172853112,2
Drosophila,2017-10-30_2,0,olfactory / chemosensory,1.329190936893297,4
Drosophila,2017-10-30_2,1,visual / optic,-0.9006945925186668,6
