figure,panel_or_scope,statistics_file,statistics_recorded,key_columns
Fig. 1 / figure9_final.png,C-G,data/final_summary_tables/figure9_stats.csv,Pairwise division comparisons for zebrafish FC measures using Mann-Whitney U tests with Holm-corrected p-values.,"panel, group_1, group_2, n_group_1, n_group_2, p_uncorrected, p_holm, reject_holm_0.05"
Fig. 1 / figure9_final.png,B network nodes,data/final_summary_tables/figure9_panel_b_root_area_nodes.csv,Node-level zebrafish FCV and observed NetTE values used for the region-level directed FC network panel.,"node, anatomy_group, EdgeStdFCV, ObservedNetTE"
Fig. 1 / figure9_final.png,B network edges,data/final_summary_tables/figure9_panel_b_root_area_fc_te_edges.csv,Root-area directed FC/TE edge summaries used in the network panel.,"source, target, source_group, target_group, mean_net_te, n_subjects_te, n_subjects_fc_sig"
Fig. 2 / figure12_final.png,D-H,data/final_summary_tables/figure12_stats.csv,Pairwise division comparisons for zebrafish SC measures using Mann-Whitney U tests with Holm-corrected p-values.,"panel, group_1, group_2, n_group_1, n_group_2, p_uncorrected, p_holm, reject_holm_0.05"
Fig. 3 / figure_sc_fc_final_overview.png,A,data/final_summary_tables/figure_sc_fc_final_overview_pairwise_correlations.csv,All 25 FC-SC feature Pearson correlations with Benjamini-Hochberg FDR-corrected p-values.,"fc_feature, sc_feature, pearson_r, p_value, p_fdr_bh, fdr_bh_significant, n_regions"
Fig. 3 / figure_sc_fc_final_overview.png,"B,E",data/final_summary_tables/figure_sc_fc_final_overview_stats.csv,PLS LV1 score correlation and fivefold cross-validated SC-to-FCV prediction performance.,"panel, test, metric, r, p_value, n_regions, r2_cv"
Fig. 3 / figure_sc_fc_final_overview.png,"C,D,F",data/final_summary_tables/figure_sc_fc_final_overview_weights.csv,"PLS feature weights, leave-one-region-out stability weights, and standardized beta coefficients for FCV prediction.","model, feature_set, feature, weight, left_out_region, left_out_division, standardized_beta"
Fig. 3 / figure_sc_fc_final_overview.png,E,data/final_summary_tables/figure_sc_fc_final_overview_fcv_predictions.csv,"Observed FCV, fivefold cross-validated predicted FCV, and residual by zebrafish region.","region, division, observed_fcv, predicted_fcv_5fold, residual"
Fig. 4 / figure13_final.png,E,data/final_summary_tables/figure13_stats.csv,Simulation/null-model comparisons including Kruskal-Wallis and bootstrap mean-difference tests with Holm correction where applicable.,"metric, test, comparison, statistic, p_value, mean_base, mean_null_in, mean_null_out, ci_low, ci_high, p_holm"
Fig. 4 / figure13_final.png,B-C layer model,data/final_summary_tables/figure13_layer_energy_potential_summary.csv,"Layer-wise potential-landscape summaries across epsilon, run, and layer.","epsilon, run, layer, fc_state_mean, fc_state_std, fc_state_width_p95_p05, fcv_from_fc_state"
