species,node,fcv,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,n_recordings,level,window_config,root_area_id,normalization,node_class,cell_class,fcv_z,rank_high_to_low,percentile,global_rank_high_to_low,global_percentile,class_order,class_label,class_short,fine_class,analysis_note,shared_fine_order,shared_fine_label
Drosophila,AVLP_L,1.6328346151869817,0.2905075904079016,-0.4646533906905917,0.3317792006544209,-0.4556167764285316,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,2.2214221134233174,1,1.0,1,1.0,2,integrative relay,integrative relay,visual-association protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Zebrafish,rSP,1.6255425838240107,-0.1574951752049005,-0.2393960301928908,1.2373570928776072,0.4124918134735601,7,root_area_from_louvain_communities,baseline_highpass,64.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,2.040312187856549,1,1.0,2,0.9957627118644068,3,associative / learning,associative / learning,subpallium,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Zebrafish,SP,1.4702203349418974,-0.4193244379550248,-0.169463736162695,1.106374388488888,0.488012819583613,7,root_area_from_louvain_communities,baseline_highpass,28.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.856904787919362,2,0.9795918367346939,3,0.9915254237288136,3,associative / learning,associative / learning,subpallium,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
C. elegans,BAGL,1.4517242918919655,0.0985685780897919,-0.6664114420577424,1.3293630009149144,-0.2200654543681742,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.8404423972838555,1,1.0,4,0.9872881355932204,0,sensory input,sensory input,thermo/gas sensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
Drosophila,MB_R,1.2804103580774668,1.0918925824522308,-1.33507169189508,1.685950403375582,-0.2426394495459584,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.7473719724066874,2,0.9850746268656716,5,0.9830508474576272,3,associative / learning,associative / learning,mushroom body,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Zebrafish,rP,1.2738165395287406,-0.430950826639782,0.3826596755689774,0.3547206473713294,0.3327969992528315,7,root_area_from_louvain_communities,baseline_highpass,58.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.6249875338634912,3,0.9591836734693877,6,0.9788135593220338,3,associative / learning,associative / learning,pallium,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Zebrafish,rHb,1.2349172807677784,-1.2675328053735366,1.456598742613128,0.1027141395517234,0.7769484413307053,6,root_area_from_louvain_communities,baseline_highpass,52.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.5790545657267319,4,0.9387755102040817,7,0.9745762711864406,4,state-dependent / modulatory,state-dependent / modulatory,habenula,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
C. elegans,RMEL,1.208135070005396,0.0654673714802056,-0.815173567436752,0.5411635219109919,-0.118435883130835,15,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.5299874176885668,2,0.9916666666666667,8,0.9703389830508474,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,RID,1.2079587676968455,-0.6440325876870145,-0.99022915284638,1.031601985030332,-0.1863609011895195,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.5297627200226367,3,0.9833333333333333,9,0.9661016949152542,2,integrative relay,integrative relay,integrative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,SOG,1.202638659885017,0.3741925114381517,-0.2818426049302988,1.6088847634886183,-0.114577651122649,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.6427603182668387,3,0.9701492537313433,10,0.961864406779661,2,integrative relay,integrative relay,other fly brain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Zebrafish,P,1.1980834724781957,-0.7580809042849077,0.5680476666286128,0.2788504085163426,0.6836343486454864,7,root_area_from_louvain_communities,baseline_highpass,22.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.53556051991682,5,0.9183673469387755,11,0.9576271186440678,3,associative / learning,associative / learning,pallium,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
C. elegans,ASIL,1.1971120119688037,-0.6522530977963871,1.5971933407842314,1.3934127227055448e-06,0.2664501950299685,5,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.5159385068569475,4,0.975,12,0.9533898305084746,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,OLQVL,1.1540407671462405,1.3228807285101376,-0.3388963148180512,0.2457113481509564,-0.0425434946521571,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.4610441140387003,5,0.9666666666666667,13,0.9491525423728814,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
C. elegans,SMDVL,1.1515477577291289,0.4559076296597836,-0.5433162988750084,1.19026475988859,0.0855972764224506,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.4578667682525197,6,0.9583333333333334,14,0.9449152542372882,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,AL_R,1.101799983131912,0.6524900749192728,-0.9791295721958332,0.5797275109009007,-0.3183683793881232,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.5071209916018604,4,0.9552238805970149,15,0.940677966101695,0,sensory input,sensory input,olfactory system,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
Zebrafish,rPO,1.083515270117505,0.2889078852669907,-0.2641181115191212,0.7251611180292079,-0.0035286183624302,7,root_area_from_louvain_communities,baseline_highpass,61.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.4002762559965882,6,0.8979591836734694,16,0.9364406779661016,4,state-dependent / modulatory,state-dependent / modulatory,hypothalamic / preoptic state,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
Drosophila,AVLP_R,1.072540610741776,0.0687976049303839,-0.2147836350412668,0.004159117349011,-0.2292929859307987,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.467763855060343,5,0.9402985074626866,17,0.9322033898305084,2,integrative relay,integrative relay,visual-association protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,RIBL,1.0583050683591275,-0.5215289588180163,-1.5475996490657922,3.2744167504232458,-0.2280495002685401,10,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.3390287630174054,7,0.95,18,0.9279661016949152,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
C. elegans,OLQDL,1.045968953881444,1.309108913272731,-0.511329591479642,0.6112659414104895,-0.1720660130249535,17,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.3233063589685194,8,0.9416666666666667,19,0.923728813559322,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
