Subject,StimulusIndex,Region,RegionID,Division,FCV,NeuronCount,NTimepoints,NWindows,SubjectZFCV
12,10,OB,20,Tel,0.5115203406237987,223,150,27,3.056126826669109
12,10,rOB,56,Tel,0.5270962271697881,168,150,27,3.2149784846119314
12,11,OB,20,Tel,0.5107337600252183,223,150,27,3.0481048349949127
12,11,rOB,56,Tel,0.4555297143133506,168,150,27,2.4851029050187656
12,12,OB,20,Tel,0.506582278240562,223,150,27,3.0057656870777185
12,12,rOB,56,Tel,0.544070084184153,168,150,27,3.3880874322442285
13,10,OB,20,Tel,0.3019095638509109,254,50,7,2.2393944550775844
13,10,rOB,56,Tel,0.306145842820425,138,50,7,2.3428111177978
13,11,OB,20,Tel,0.2338874381193727,254,50,7,0.578828358058384
13,11,rOB,56,Tel,0.23704008963665485,138,50,7,0.6557913486884693
13,12,OB,20,Tel,0.24671798379135249,254,50,7,0.8920495183795708
13,12,rOB,56,Tel,0.2509018502001788,138,50,7,0.9941866779910534
14,10,OB,20,Tel,0.17707974818045868,192,25,2,2.1249664385825864
14,10,rOB,56,Tel,0.28008571810516397,129,25,2,4.440866599412225
14,11,OB,20,Tel,0.0848744032922781,192,25,2,0.051898506578443464
14,11,rOB,56,Tel,0.08999243214850688,129,25,2,0.1669679909970173
14,12,OB,20,Tel,0.029511793900352554,192,25,2,-1.1928281445897384
14,12,rOB,56,Tel,0.08461204784741483,129,25,2,0.045999925968042664
15,10,OB,20,Tel,0.4736104915382382,26,282,53,1.3715239010365805
15,10,rOB,56,Tel,0.46187494130707607,5,282,53,1.1441906902620682
15,11,OB,20,Tel,0.5165212311805057,26,240,45,2.2027619791356097
15,11,rOB,56,Tel,0.42001143843578753,5,240,45,0.3332389807523552
15,12,OB,20,Tel,0.44878077707899344,26,240,45,0.8905393200455726
15,12,rOB,56,Tel,0.42836462165358347,5,240,45,0.4950512455106711
16,10,OB,20,Tel,0.2106936927731759,330,80,13,0.042941602332852984
16,10,rOB,56,Tel,0.26276905496447955,114,80,13,0.618731665117878
16,11,OB,20,Tel,0.3150981396862414,330,80,13,1.1973271027595545
16,11,rOB,56,Tel,0.3689916802154106,114,80,13,1.7932205114506174
16,12,OB,20,Tel,0.3424140019549181,330,80,13,1.499354806243007
16,12,rOB,56,Tel,0.3920696975565176,114,80,13,2.048390950879821
17,10,OB,20,Tel,0.4248390844225682,213,192,35,1.3029055612498592
17,10,rOB,56,Tel,0.36578439869095375,129,192,35,0.8188618804766812
17,11,OB,20,Tel,0.4157635699528883,213,192,35,1.2285178073503857
17,11,rOB,56,Tel,0.419687061931057,129,192,35,1.2606768388492209
17,12,OB,20,Tel,0.4427384403888071,213,192,35,1.4496182232178392
17,12,rOB,56,Tel,0.43765240494113333,129,192,35,1.4079303657999995
18,10,OB,20,Tel,0.5215031587714009,33,192,35,1.8042394412835434
18,10,rOB,56,Tel,0.5368403401677545,19,192,35,1.9195649219962228
18,11,OB,20,Tel,0.4690384525223842,33,192,35,1.4097394798984715
18,11,rOB,56,Tel,0.4265892236766733,19,192,35,1.0905492978172955
18,12,OB,20,Tel,0.4144797930860131,33,192,35,0.999494372669398
18,12,rOB,56,Tel,0.42670657870811984,19,192,35,1.0914317301929628
