figure,panel,model,feature_set,feature,weight,left_out_region,left_out_division,standardized_beta
figure_sc_fc_final_overview,C,PLS LV1,FC,FCV,0.6821156408462008,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,FCS,-0.4268152564252514,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,ProfileCorrDistFCV,0.4424499255978045,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Net TE,0.20585075146666162,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Neighbor TE,0.33824624292773886,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,$\mathbf{DCA}_{\mathbf{post}}$,0.6262538795142951,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,$\mathbf{DCA}_{\mathbf{pre}}$,-0.24072125377430376,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Modularity Q,0.30986275915093153,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,log10 (Out/In),0.4706229498308794,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,OO fraction,0.4820357517430369,,,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.682182344599842,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4311143165920084,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44494282005020436,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.20473939984552206,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.329962664224809,OB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6957262994737355,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.40783773524370803,P,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4152411407112611,P,Tel,
